《1739-0000》,# カンマ区切りテキスト形式です。
《1739-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1739-0020》,# ・表の区画内での改行は“/”で表記します。
《1739-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1739-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1739-0050》,# 外部リンク
《1739-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/180 ～ 185
《1739-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1739g　(GitHub上データを表成型)
《1739-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1739h　(翻刻編集データを表成型 - 未実装)
《1739-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1739-0100》,《版元》,出版地○○,出版元□□□,　
《1739-0810》,《暦日0》,廿六／,みつのとのう,たつ,,　,天火 らうしやく
《1739-0820》,《暦日2》,廿七／,きのえたつ,のそく,火,　,●
《1739-0830》,《暦日0》,廿八／,きのとのみ,みつ,,　,十し
《1739-0840》,《暦日1》,廿九／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《1739-0850》,《節中》,清明三月せつむまの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1739-0860》,《月序》,三月,大,建,戊辰,氐宿　壁　水よう
《1739-0870》,《暦日1》,一／,ひのとのひつし,たいら,水,　,神よし めつもん 地火
《1739-0880》,《暦日2》,二／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1739-0890》,《暦日0》,三／,つちのとのとり,とる,,　,神よし 大みやう ふく日
《1739-0900》,《暦日2》,四／,かのえいぬ,やふる,金,　,大みやう
《1739-0910》,《暦日0》,五／,かのとのい,あやふ,,　,●
《1739-0920》,《暦日2》,六／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1739-0930》,《暦日0》,七／,みつのとのうし,おさん,,ま日,十し
《1739-0940》,《暦日2》,八／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1739-0950》,《暦日0》,九／,きのとのう,とつ,,　,神よし  ものたちよし
《1739-0960》,《暦日2》,十／,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
《1739-0970》,《暦日0》,十一／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《1739-0980》,《暦日2》,十二／,つちのえむま,みつ,火,ま日/とようさるの五刻ニ入,神よし ふく日 天火 らうしやく  ふねのりよし
《1739-0990》,《暦日0》,十三／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1739-1000》,《暦日2》,十四／,かのえさる,さたん,木,　,さい下しき 大みやう くゑ日
《1739-1010》,《暦日0》,十五／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1739-1020》,《節中》,穀雨三月中とりの一刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1739-1030》,《暦日2》,十六／,みつのえいぬ,やふる,水,ま日
《1739-1040》,《暦日0》,十七／,みつのとのい,あやふ,,八せんのおはり,●
《1739-1050》,《暦日2》,十八／,きのえね,なる,金,　,くゑ日 きこ
《1739-1060》,《暦日0》,十九／,きのとのうし,おさん,,　,十し
《1739-1070》,《暦日2》,廿／,ひのえとら,ひらく,火,　,くゑ日 ちいみ わうまう
《1739-1080》,《暦日0》,廿一／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1739-1090》,《暦日2》,廿二／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1739-1100》,《暦日0》,廿三／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1739-1110》,《暦日2》,廿四／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1739-1120》,《暦日0》,廿五／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1739-1130》,《暦日2》,廿六／,みつのえさる,さたん,金,八十八や,大みやう くゑ日
《1739-1140》,《暦日0》,廿七／,みつのとのとり,とる,,　,神よし 大みやう
《1739-1150》,《暦日2》,廿八／,きのえいぬ,やふる,火,　, くさかりよし
《1739-1160》,《暦日0》,廿九／,きのとのい,あやふ,,　,●
《1739-1170》,《暦日1》,卅／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1739-1180》,《節中》,立夏四月せついの七刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1739-1190》,《月序》,四月,小,建,己巳,房宿　婁　金よう
《1739-1200》,《暦日1》,一／,ひのとのうし,なる,水,　,大みやう きこ  ものたち  つめとりよし
《1739-1210》,《暦日2》,二／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1739-1220》,《暦日0》,三／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1739-1230》,《暦日2》,四／,かのえたつ,とつ,金,　, けんふくよし
《1739-1240》,《暦日0》,五／,かのとのみ,たつ,,　,●
《1739-1250》,《暦日2》,六／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1739-1260》,《暦日0》,七／,みつのとのひつし,みつ,,　,くゑ日 わうまう
《1739-1270》,《暦日2》,八／,きのえさる,たいら,水,十方くれニ入,神よし きしく 大みやう ちいみ 大くわ 地火
《1739-1280》,《暦日0》,九／,きのとのとり,さたん,,　,十し
《1739-1290》,《暦日2》,十／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1739-1300》,《暦日0》,十一／,ひのとのい,やふる,,　,大みやう ちう日
《1739-1310》,《暦日2》,十二／,つちのえね,あやふ,火,　, けんふくよし
《1739-1320》,《暦日0》,十三／,つちのとのうし,なる,,　,きこ  つめとりよし
《1739-1330》,《暦日2》,十四／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1739-1340》,《暦日0》,十五／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
