«1728-0000»,【 カンマ区切りテキスト形式です。】
«1728-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1728-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1728-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1728-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1728-0050»,【 外部リンク　】
«1728-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/111 ～ 115】
«1728-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1728h　(翻刻編集終了データを表成型して表示します)】
«1728-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1728ht (翻刻編集中データを表成型して表示します)】
«1728-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1728-0100»,«版元»,出版地○○,出版元□□□,　
«1728-1050»,«暦日2»,廿二〳,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
«1728-1060»,«暦日0»,廿三〳,みつのとのとり,とる,,　,神よし 大みやう
«1728-1070»,«暦日2»,廿四〳,きのえいぬ,やふる,火,八十八や, くさかりよし
«1728-1080»,«暦日0»,廿五〳,きのとのい,あやふ,,　,●
«1728-1090»,«暦日2»,廿六〳,ひのえね,なる,水,　,きこ
«1728-1100»,«暦日0»,廿七〳,ひのとのうし,おさん,,　,十し
«1728-1110»,«暦日2»,廿八〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1728-1120»,«暦日0»,廿九〳,つちのとのう,ひらく,,立夏四月せつうの八刻ニ入,神よし 大みやう  入学よし
«1728-1130»,«暦日1»,卅〳,かのえたつ,とつ,金,　, けんふくよし
«1728-1140»,«月序»,四月,大,建,丁巳,危宿　房　日よう
«1728-1150»,«暦日1»,一〳,かのとのみ,たつ,金,　,●
«1728-1160»,«暦日2»,二〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1728-1170»,«暦日0»,三〳,みつのとのひつし,みつ,,　,くゑ日
«1728-1180»,«暦日2»,四〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1728-1190»,«暦日0»,五〳,きのとのとり,さたん,,　,十し
«1728-1200»,«暦日2»,六〳,ひのえいぬ,とる,土,　,五む日 ふく日 わうまう  くさかりよし
«1728-1210»,«暦日0»,七〳,ひのとのい,やふる,,　,大みやう ちう日
«1728-1220»,«暦日2»,八〳,つちのえね,あやふ,火,　, けんふくよし
«1728-1230»,«暦日0»,九〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1728-1240»,«暦日2»,十〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1728-1250»,«暦日0»,十一〳,かのとのう,ひらく,,　,神よし  やたて ものたちよし
«1728-1260»,«暦日2»,十二〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1728-1270»,«暦日0»,十三〳,みつのとのみ,たつ,,天一天上,●
«1728-1280»,«暦日2»,十四〳,きのえむま,のそく,金,四月中むまの四刻,天しや よろつよし
«1728-1290»,«暦日0»,十五〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1728-1300»,«暦日2»,十六〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1728-1310»,«暦日0»,十七〳,ひのとのとり,さたん,,　,十し
«1728-1320»,«暦日2»,十八〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1728-1330»,«暦日0»,十九〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1728-1340»,«暦日2»,廿〳,かのえね,あやふ,土,　,神よし きしく  わたまし たねまきよし
«1728-1350»,«暦日0»,廿一〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1728-1360»,«暦日2»,廿二〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1728-1370»,«暦日0»,廿三〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1728-1380»,«暦日2»,廿四〳,きのえたつ,とつ,火,　,大みやう
«1728-1390»,«暦日0»,廿五〳,きのとのみ,たつ,,　,●
«1728-1400»,«暦日2»,廿六〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1728-1410»,«暦日0»,廿七〳,ひのとのひつし,みつ,,　,くゑ日
«1728-1420»,«暦日2»,廿八〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1728-1430»,«暦日0»,廿九〳,つちのとのとり,たいら,,五月せつとりの一刻ニ入,神よし 大みやう めつもん 地火
«1728-1440»,«暦日1»,卅〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1728-1450»,«月序»,五月,小,建,戊午,室宿　尾　火よう
«1728-1460»,«暦日1»,一〳,かのとのい,とる,金,　,神よし 大みやう ちう日  入学よし
«1728-1470»,«暦日2»,二〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1728-1480»,«暦日0»,三〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1728-1490»,«暦日2»,四〳,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
«1728-1500»,«暦日0»,五〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1728-1510»,«暦日2»,六〳,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
