《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0740》,《暦日2》,十九／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《0750》,《暦日0》,廿／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《0760》,《節中》,清明三月せつたつの四刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0770》,《暦日2》,廿一／,かのえさる,さたん,木,　,大みやう くゑ日
《0780》,《暦日0》,廿二／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《0790》,《暦日2》,廿三／,みつのえいぬ,やふる,水,ま日
《0800》,《暦日0》,廿四／,みつのとのい,あやふ,,八せんのおはり,●
《0810》,《暦日2》,廿五／,きのえね,なる,金,　,くゑ日 きこ
《0820》,《暦日0》,廿六／,きのとのうし,おさん,,　,十し
《0830》,《暦日2》,廿七／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《0840》,《暦日0》,廿八／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《0850》,《暦日1》,廿九／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《0860》,《月序》,三月,大,建,庚辰,箕宿　危　月よう
《0870》,《暦日1》,一／,つちのとのみ,のそく,木,　,神よし ちう日 ふく日  かといてよし
《0880》,《暦日2》,二／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《0890》,《暦日0》,三／,かのとのひつし,たいら,,とようむまの五刻ニ入,大みやう めつもん 地火
《0900》,《暦日2》,四／,みつのえさる,さたん,金,　,大みやう くゑ日
《0910》,《暦日0》,五／,みつのとのとり,とる,,　,神よし 大みやう
《0920》,《暦日1》,六／,きのえいぬ,やふる,火,　, くさかりよし
《0930》,《節中》,穀雨三月中ひつしの一刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《0940》,《暦日1》,七／,きのとのい,あやふ,火,　,●
《0950》,《暦日2》,八／,ひのえね,なる,水,　,きこ
《0960》,《暦日0》,九／,ひのとのうし,おさん,,　,十し
《0970》,《暦日2》,十／,つちのえとら,ひらく,土,　,天しや よろつよし
《0980》,《暦日0》,十一／,つちのとのう,とつ,,　,大みやう ふく日 わうまう
《0990》,《暦日2》,十二／,かのえたつ,たつ,金,　,きしく くゑ日
《1000》,《暦日0》,十三／,かのとのみ,のそく,,　,ちう日
《1010》,《暦日2》,十四／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1020》,《暦日0》,十五／,みつのとのひつし,たいら,,　,めつもん 地火
《1030》,《暦日2》,十六／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1040》,《暦日0》,十七／,きのとのとり,とる,,八十八や,神よし  くさかりよし
《1050》,《暦日2》,十八／,ひのえいぬ,やふる,土,　,五む日
《1060》,《暦日0》,十九／,ひのとのい,あやふ,,　,●
《1070》,《暦日2》,廿／,つちのえね,なる,火,　,きこ ふく日
《1080》,《暦日0》,廿一／,つちのとのうし,なる,,　,きこ  つめとりよし
《1090》,《節中》,立夏四月せつとりの六刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1100》,《暦日2》,廿二／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1110》,《暦日0》,廿三／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1120》,《暦日2》,廿四／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1130》,《暦日0》,廿五／,みつのとのみ,たつ,,天一天上,●
《1140》,《暦日2》,廿六／,きのえむま,のそく,金,　,天しや よろつよし
《1150》,《暦日0》,廿七／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1160》,《暦日2》,廿八／,ひのえさる,たいら,火,　,ちいみ 大くわ ふく日 地火 わうまう  入学よし
