《1726-0000》,# カンマ区切りテキスト形式です。
《1726-1220》,《暦日2》,八／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1726-1230》,《暦日0》,九／,かのとのひつし,みつ,,　,大みやう くゑ日
《1726-1240》,《暦日2》,十／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1726-1250》,《暦日0》,十一／,みつのとのとり,さたん,,　,十し
《1726-1260》,《暦日2》,十二／,きのえいぬ,とる,火,　, やたて くらたてよし
《1726-1270》,《暦日0》,十三／,きのとのい,やふる,,　,ちう日 わうまう
《1726-1280》,《暦日2》,十四／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1726-1290》,《暦日0》,十五／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1726-1300》,《暦日2》,十六／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1726-1310》,《暦日0》,十七／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1726-1320》,《暦日2》,十八／,かのえたつ,とつ,金,　, けんふくよし
《1726-1330》,《暦日0》,十九／,かのとのみ,たつ,,　,●
《1726-1340》,《暦日2》,廿／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1726-1350》,《暦日0》,廿一／,みつのとのひつし,みつ,,　,くゑ日
《1726-1360》,《暦日2》,廿二／,きのえさる,たいら,水,四月中ねの六刻/十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1726-1370》,《暦日0》,廿三／,きのとのとり,さたん,,　,十し
《1726-1380》,《暦日2》,廿四／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1726-1390》,《暦日0》,廿五／,ひのとのい,やふる,,　,大みやう ちう日
《1726-1400》,《暦日2》,廿六／,つちのえね,あやふ,火,　, けんふくよし
《1726-1410》,《暦日0》,廿七／,つちのとのうし,なる,,　,きこ  つめとりよし
《1726-1420》,《暦日2》,廿八／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1726-1430》,《暦日0》,廿九／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1726-1440》,《月序》,五月,大,建,甲午,胃宿　鬼　金よう
《1726-1450》,《暦日2》,一／,みつのえたつ,とつ,水,　,きしく 大みやう 五む日 ふく日
《1726-1460》,《暦日0》,二／,みつのとのみ,たつ,,天一天上,●
《1726-1470》,《暦日2》,三／,きのえむま,のそく,金,　,天しや よろつよし
《1726-1480》,《暦日0》,四／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1726-1490》,《暦日2》,五／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1726-1500》,《暦日0》,六／,ひのとのとり,さたん,,　,十し
《1726-1510》,《暦日2》,七／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1726-1520》,《暦日0》,八／,つちのとのい,とる,,五月せつうの三刻ニ入,神よし ちう日
《1726-1530》,《暦日2》,九／,かのえね,やふる,土,　,●
《1726-1540》,《暦日0》,十／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1726-1550》,《暦日2》,十一／,みつのえとら,なる,金,入梅,大みやう きこ  くさかり  つめとりよし
《1726-1560》,《暦日0》,十二／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1726-1570》,《暦日2》,十三／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1726-1580》,《暦日0》,十四／,きのとのみ,とつ,,　,十し
《1726-1590》,《暦日2》,十五／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1726-1600》,《暦日0》,十六／,ひのとのひつし,のそく,,　,さい下しき 神よし ふく日
《1726-1610》,《暦日2》,十七／,つちのえさる,みつ,土,　,神よし  入学よし
《1726-1620》,《暦日0》,十八／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1726-1630》,《暦日2》,十九／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1726-1640》,《暦日0》,廿／,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
《1726-1650》,《暦日2》,廿一／,みつのえね,やふる,木,八せんのはしめ,●
《1726-1660》,《暦日0》,廿二／,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
《1726-1670》,《暦日2》,廿三／,きのえとら,なる,水,夏至五月中むまの初刻,きこ わうまう  田うへ  つめとりよし
《1726-1680》,《暦日0》,廿四／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1726-1690》,《暦日2》,廿五／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1726-1700》,《暦日0》,廿六／,ひのとのみ,とつ,,　,十し
《1726-1710》,《暦日2》,廿七／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1726-1720》,《暦日0》,廿八／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1726-1730》,《暦日2》,廿九／,かのえさる,みつ,木,　,神よし きしく 大みやう  入学 むきかりよし
《1726-1740》,《暦日0》,卅／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1726-1750》,《月序》,六月,小,建,乙未,昴宿　星　日よう
