«1818-0000»,【 カンマ区切りテキスト形式です。】
«1818-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1818-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1818-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1818-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1818-0050»,【 外部リンク　】
«1818-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/56 ～ 61】
«1818-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1818h　(翻刻編集終了データを表成型して表示します)】
«1818-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1818ht (翻刻編集中データを表成型して表示します)】
«1818-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1818-0100»,«版元»,出版地○○,出版元□□□,　
«1818-1470»,«暦日2»,廿五〳,みつのえたつ,とつ,水,　,きしく 大みやう 五む日 ふく日
«1818-1480»,«暦日0»,廿六〳,みつのとのみ,たつ,,天一天上,●
«1818-1490»,«暦日2»,廿七〳,きのえむま,のそく,金,　,天しや よろつよし
«1818-1500»,«暦日0»,廿八〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1818-1510»,«暦日2»,廿九〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1818-1520»,«暦日0»,卅〳,ひのとのとり,さたん,,　,十し
«1818-1530»,«月序»,五月,小,建,戊午,角宿　角　木よう
«1818-1540»,«暦日2»,一〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1818-1550»,«暦日0»,二〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1818-1560»,«暦日2»,三〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1818-1570»,«暦日0»,四〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1818-1580»,«節中»,芒種五月せつひつしの六刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1818-1590»,«暦日2»,五〳,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
«1818-1600»,«暦日0»,六〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1818-1610»,«暦日2»,七〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1818-1620»,«暦日0»,八〳,きのとのみ,とつ,,　,十し
«1818-1630»,«暦日2»,九〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1818-1640»,«暦日0»,十〳,ひのとのひつし,のそく,,　,神よし ふく日
«1818-1650»,«暦日2»,十一〳,つちのえさる,みつ,土,　,神よし  入学よし
«1818-1660»,«暦日0»,十二〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1818-1670»,«暦日2»,十三〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1818-1680»,«暦日0»,十四〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1818-1690»,«暦日2»,十五〳,みつのえね,やふる,木,八せんのはしめ,●
«1818-1700»,«暦日0»,十六〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1818-1710»,«暦日2»,十七〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1818-1720»,«暦日0»,十八〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1818-1730»,«暦日1»,十九〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく わうまう  けんふく いちたちよし
«1818-1740»,«節中»,夏至五月中いぬの三刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1818-1750»,«暦日1»,廿〳,ひのとのみ,とつ,土,　,十し
«1818-1760»,«暦日2»,廿一〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1818-1770»,«暦日0»,廿二〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1818-1780»,«暦日2»,廿三〳,かのえさる,みつ,木,　,神よし きしく 大みやう  入学 むきかりよし
«1818-1790»,«暦日0»,廿四〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1818-1800»,«暦日2»,廿五〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1818-1810»,«暦日0»,廿六〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1818-1820»,«暦日2»,廿七〳,きのえね,やふる,金,　,●
«1818-1830»,«暦日0»,廿八〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1818-1840»,«暦日1»,廿九〳,ひのえとら,なる,火,はんけしやう,天おん 母倉 月とく きこ  つめとりよし
«1818-1850»,«月序»,六月,大,建,己未,亢宿　亢　金よう
«1818-1860»,«暦日1»,一〳,ひのとのう,おさん,火,　,さい下しき 天おん 母倉 ちいみ 大くわ ふく日
«1818-1870»,«暦日2»,二〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1818-1880»,«暦日0»,三〳,つちのとのみ,とつ,,　,十し
«1818-1890»,«暦日2»,四〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1818-1900»,«暦日0»,五〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1818-1910»,«暦日1»,六〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1818-1920»,«節中»,小暑六月せつ今暁ねの八刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1818-1930»,«暦日1»,七〳,みつのとのとり,みつ,金,　,神よし 大みやう ちいみ  みそすつくりよし
«1818-1940»,«暦日2»,八〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1818-1950»,«暦日0»,九〳,きのとのい,さたん,,　,ちう日
«1818-1960»,«暦日2»,十〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1818-1970»,«暦日0»,十一〳,ひのとのうし,やふる,,　,十し
«1818-1980»,«暦日2»,十二〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1818-1990»,«暦日0»,十三〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1818-2000»,«暦日2»,十四〳,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
«1818-2010»,«暦日0»,十五〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1818-2020»,«暦日2»,十六〳,みつのえむま,とつ,木,　,●
«1818-2030»,«暦日0»,十七〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1818-2040»,«暦日2»,十八〳,きのえさる,のそく,水,とよううの初刻ニ入|十方くれニ入,神よし 大みやう 月とく
