«1772-0000»,【 カンマ区切りテキスト形式です。】
«1772-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1772-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1772-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1772-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1772-0050»,【 外部リンク　】
«1772-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/130 ～ 134】
«1772-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1772h　(翻刻編集終了データを表成型して表示します)】
«1772-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1772ht (翻刻編集中データを表成型して表示します)】
«1772-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1772-0100»,«版元»,出版地○○,出版元□□□,　
«1772-0860»,«月序»,三月,大,建,甲辰,箕宿　鬼　金よう
«1772-0870»,«暦日2»,一〳,ひのえさる,とる,火,　,神よし きしく
«1772-0880»,«暦日0»,二〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1772-0890»,«暦日2»,三〳,つちのえいぬ,あやふ,木,　, かといてよし
«1772-0900»,«暦日0»,四〳,つちのとのい,あやふ,,　,●
«1772-0910»,«節中»,清明三月せつひつしの二刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1772-0920»,«暦日2»,五〳,かのえね,なる,土,　,神よし きこ
«1772-0930»,«暦日0»,六〳,かのとのうし,おさん,,　,十し
«1772-0940»,«暦日2»,七〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1772-0950»,«暦日0»,八〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1772-0960»,«暦日2»,九〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1772-0970»,«暦日0»,十〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1772-0980»,«暦日2»,十一〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1772-0990»,«暦日0»,十二〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1772-1000»,«暦日2»,十三〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1772-1010»,«暦日0»,十四〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1772-1020»,«暦日1»,十五〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1772-1030»,«食記»,月そく皆既,　
«1772-1040»,«暦日1»,十六〳,かのとのい,あやふ,金,とようとりの三刻ニ入,●
«1772-1050»,«暦日2»,十七〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1772-1060»,«暦日0»,十八〳,みつのとのうし,おさん,,ま日,十し
«1772-1070»,«暦日1»,十九〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1772-1080»,«節中»,穀雨三月中とりの七刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1772-1090»,«暦日1»,廿〳,きのとのう,とつ,水,　,神よし  ものたちよし
«1772-1100»,«暦日2»,廿一〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1772-1110»,«暦日0»,廿二〳,ひのとのみ,のそく,,　,さい下しき 母倉 月とく ちう日  いちたちよし
«1772-1120»,«暦日2»,廿三〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1772-1130»,«暦日0»,廿四〳,つちのとのひつし,たいら,,　,大みやう ふく日 めつもん 地火 わうまう
«1772-1140»,«暦日2»,廿五〳,かのえさる,さたん,木,　,大みやう くゑ日
«1772-1150»,«暦日0»,廿六〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1772-1160»,«暦日2»,廿七〳,みつのえいぬ,やふる,水,ま日,月とく
«1772-1170»,«暦日0»,廿八〳,みつのとのい,あやふ,,八せんのおはり,●
«1772-1180»,«暦日2»,廿九〳,きのえね,なる,金,　,きしく くゑ日 きこ
«1772-1190»,«暦日0»,卅〳,きのとのうし,おさん,,八十八や,十し
«1772-1200»,«月序»,四月,小,建,乙巳,斗宿　星　日よう
«1772-1210»,«暦日2»,一〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1772-1220»,«暦日0»,二〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1772-1230»,«暦日2»,三〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1772-1240»,«暦日0»,四〳,つちのとのみ,たつ,,　,●
«1772-1250»,«節中»,立夏四月せつ今夜ねの四刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1772-1260»,«暦日2»,五〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1772-1270»,«暦日0»,六〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1772-1280»,«暦日2»,七〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1772-1290»,«暦日0»,八〳,みつのとのとり,さたん,,　,十し
«1772-1300»,«暦日2»,九〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1772-1310»,«暦日0»,十〳,きのとのい,やふる,,　,月とく ちう日
