《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1770》,《暦日2》,廿五／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1780》,《暦日0》,廿六／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1790》,《暦日2》,廿七／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1800》,《暦日0》,廿八／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1810》,《暦日1》,廿九／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1820》,《節中》,小暑六月せつうしの五刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1830》,《暦日1》,卅／,みつのとのい,さたん,水,八せんのおはり,ちう日
《1840》,《月序》,六月,小,建,乙未,張宿　畢　月よう
《1850》,《暦日2》,一／,きのえね,とる,金,　,きこ 下しきたつの時
《1860》,《暦日0》,二／,きのとのうし,やふる,,　,十し
《1870》,《暦日2》,三／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《1880》,《暦日0》,四／,ひのとのう,なる,,　,神よし 天火 らうしやく
《1890》,《暦日2》,五／,つちのえたつ,おさん,木,　,きしく 五む日 ふく日 めつもん
《1900》,《暦日0》,六／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1910》,《暦日2》,七／,かのえむま,とつ,土,初伏,●
《1920》,《暦日0》,八／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1930》,《暦日2》,九／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1940》,《暦日0》,十／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1950》,《暦日2》,十一／,きのえいぬ,たいら,火,とよううの六刻ニ入,大くわ 地火  わたましよし
《1960》,《暦日0》,十二／,きのとのい,さたん,,　,ちう日
《1970》,《暦日2》,十三／,ひのえね,とる,水,　,きこ 下しきたつの時
《1980》,《暦日0》,十四／,ひのとのうし,やふる,,　,十し
《1990》,《節中》,大暑六月中たつの二刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《2000》,《暦日2》,十五／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《2010》,《暦日0》,十六／,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
《2020》,《暦日2》,十七／,かのえたつ,おさん,金,中伏,めつもん  けんふくよし
《2030》,《暦日0》,十八／,かのとのみ,ひらく,,　,ちう日  ものたちよし
《2040》,《暦日2》,十九／,みつのえむま,とつ,木,　,●
