«1753-0000»,【 カンマ区切りテキスト形式です。】
«1753-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1753-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1753-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1753-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1753-0050»,【 外部リンク　】
«1753-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/38 ～ 43】
«1753-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1753h　(翻刻編集終了データを表成型して表示します)】
«1753-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1753ht (翻刻編集中データを表成型して表示します)】
«1753-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1753-0100»,«版元»,出版地○○,出版元□□□,　
«1753-1220»,«暦日0»,二〳,ひのとのい,あやふ,,　,●
«1753-1230»,«暦日2»,三〳,つちのえね,なる,火,　,きこ ふく日
«1753-1240»,«暦日0»,四〳,つちのとのうし,おさん,,　,十し
«1753-1250»,«暦日1»,五〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1753-1260»,«節中»,立夏四月せつひつしの初刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1753-1270»,«暦日1»,六〳,かのとのう,ひらく,木,　,神よし  やたて ものたちよし
«1753-1280»,«暦日2»,七〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1753-1290»,«暦日0»,八〳,みつのとのみ,たつ,,天一天上,●
«1753-1300»,«暦日2»,九〳,きのえむま,のそく,金,　,天しや よろつよし
«1753-1310»,«暦日0»,十〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1753-1320»,«暦日2»,十一〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1753-1330»,«暦日0»,十二〳,ひのとのとり,さたん,,　,十し
«1753-1340»,«暦日2»,十三〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1753-1350»,«暦日0»,十四〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1753-1360»,«暦日2»,十五〳,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
«1753-1370»,«暦日0»,十六〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1753-1380»,«暦日2»,十七〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1753-1390»,«暦日0»,十八〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1753-1400»,«暦日2»,十九〳,きのえたつ,とつ,火,　,大みやう
«1753-1410»,«暦日0»,廿〳,きのとのみ,たつ,,　,●
«1753-1420»,«節中»,小満四月中とりの五刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1753-1430»,«暦日2»,廿一〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1753-1440»,«暦日0»,廿二〳,ひのとのひつし,みつ,,　,くゑ日
«1753-1450»,«暦日2»,廿三〳,つちのえさる,たいら,土,　,神よし きしく ちいみ 大くわ 地火
«1753-1460»,«暦日0»,廿四〳,つちのとのとり,さたん,,　,十し
«1753-1470»,«暦日2»,廿五〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
