《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1530》,《暦日1》,一／,つちのとのうし,なる,火,　,きこ  つめとりよし
《1540》,《暦日1》,二／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1550》,《節中》,小満四月中みの八刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1560》,《暦日1》,三／,かのとのう,ひらく,木,　,神よし 母倉  やたて ものたちよし
《1570》,《暦日2》,四／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1580》,《暦日0》,五／,みつのとのみ,たつ,,天一天上,●
《1590》,《暦日2》,六／,きのえむま,のそく,金,　,天しや よろつよし
《1600》,《暦日0》,七／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1610》,《暦日2》,八／,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
《1620》,《暦日0》,九／,ひのとのとり,さたん,,　,十し
《1630》,《暦日2》,十／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1640》,《暦日0》,十一／,つちのとのい,やふる,,　,くゑ日 ちう日
《1650》,《暦日2》,十二／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1660》,《暦日0》,十三／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1670》,《暦日2》,十四／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1680》,《暦日0》,十五／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1690》,《暦日2》,十六／,きのえたつ,とつ,火,　,大みやう
《1700》,《暦日0》,十七／,きのとのみ,とつ,,　,十し
《1710》,《節中》,芒種五月せつさるの五刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1720》,《暦日2》,十八／,ひのえむま,たつ,水,　,さい下しき 大みやう くゑ日 下しきうの時
《1730》,《暦日0》,十九／,ひのとのひつし,のそく,,　,神よし ふく日
《1740》,《暦日2》,廿／,つちのえさる,みつ,土,　,神よし  入学よし
《1750》,《暦日0》,廿一／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1760》,《暦日2》,廿二／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1770》,《暦日0》,廿三／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1780》,《暦日2》,廿四／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1790》,《暦日0》,廿五／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1800》,《暦日2》,廿六／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1810》,《暦日0》,廿七／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1820》,《暦日2》,廿八／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1830》,《暦日0》,廿九／,ひのとのみ,とつ,,　,十し
《1840》,《暦日1》,卅／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1850》,《月序》,五月,大,建,戊午,參宿　昴　日よう
《1860》,《暦日1》,一／,つちのとのひつし,のそく,火,　,神よし 大みやう  みそすつくり 田うへよし
《1870》,《暦日1》,二／,かのえさる,みつ,木,　,大みやう わうまう  入学 むきかりよし
《1880》,《節中》,夏至五月中いの二刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1890》,《暦日1》,三／,かのとのとり,たいら,木,　,神よし 大みやう 月とく めつもん 地火
《1900》,《暦日2》,四／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1910》,《暦日0》,五／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1920》,《暦日2》,六／,きのえね,やふる,金,　,●
《1930》,《暦日0》,七／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1940》,《暦日2》,八／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1950》,《暦日0》,九／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1960》,《暦日2》,十／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1970》,《暦日0》,十一／,つちのとのみ,とつ,,　,十し
《1980》,《暦日2》,十二／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1990》,《暦日0》,十三／,かのとのひつし,のそく,,はんけしやう,大みやう 月とく  ふねのり 井ほりよし
《2000》,《暦日2》,十四／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《2010》,《暦日0》,十五／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《2020》,《暦日2》,十六／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《2030》,《暦日0》,十七／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《2040》,《暦日1》,十八／,ひのえね,とる,水,　,きこ 下しきたつの時
《2050》,《節中》,小暑六月せつ今暁うしの七刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《2060》,《暦日1》,十九／,ひのとのうし,やふる,水,　,十し
《2070》,《暦日2》,廿／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《2080》,《暦日0》,廿一／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《2090》,《暦日2》,廿二／,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
《2100》,《暦日0》,廿三／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《2110》,《暦日2》,廿四／,みつのえむま,とつ,木,　,●
《2120》,《暦日0》,廿五／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《2130》,《暦日2》,廿六／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《2140》,《暦日0》,廿七／,きのとのとり,みつ,,　,神よし ちいみ
《2150》,《暦日2》,廿八／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《2160》,《暦日0》,廿九／,ひのとのい,さたん,,　,大みやう ちう日
《2170》,《暦日1》,卅／,つちのえね,とる,火,とよううの八刻ニ入,きこ ふく日 下しきたつの時
《2180》,《月序》,六月,小,建,己未,井宿　觜　火よう
《2190》,《暦日1》,一／,つちのとのうし,やふる,火,　,十し
《2200》,《暦日2》,二／,かのえとら,あやふ,木,中伏,母倉  やたて  つめとりよし
《2210》,《暦日0》,三／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2220》,《節中》,大暑六月中たつの四刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《2230》,《暦日2》,四／,みつのえたつ,おさん,水,　,きしく 大みやう 五む日 めつもん
《2240》,《暦日0》,五／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《2250》,《暦日2》,六／,きのえむま,とつ,金,　,●
《2260》,《暦日0》,七／,きのとのひつし,たつ,,　,大みやう 五む日
《2270》,《暦日2》,八／,ひのえさる,のそく,火,　,神よし
《2280》,《暦日0》,九／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《2290》,《暦日2》,十／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2300》,《暦日0》,十一／,つちのとのい,さたん,,　,月とく ちう日 ふく日 わうまう  ふねのりよし
《2310》,《暦日2》,十二／,かのえね,とる,土,　,きこ 下しきたつの時
《2320》,《暦日0》,十三／,かのとのうし,やふる,,　,十し
《2330》,《暦日2》,十四／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2340》,《暦日0》,十五／,みつのとのう,なる,,　,神よし 天火 らうしやく
《2350》,《暦日2》,十六／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《2360》,《暦日0》,十七／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《2370》,《暦日1》,十八／,ひのえむま,ひらく,水,　,さい下しき 神よし 大みやう 天火 らうしやく  かといてよし
《2380》,《節中》,立秋七月せつひつしの一刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2390》,《暦日1》,十九／,ひのとのひつし,とつ,水,　,神よし 母倉 月とく  いちたちよし
《2400》,《暦日2》,廿／,つちのえさる,たつ,土,　,天しや よろつよし
《2410》,《暦日0》,廿一／,つちのとのとり,のそく,,　,十し
《2420》,《暦日2》,廿二／,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
《2430》,《暦日0》,廿三／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《2440》,《暦日2》,廿四／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《2450》,《暦日0》,廿五／,みつのとのうし,とる,,ま日,●
《2460》,《暦日2》,廿六／,きのえとら,やふる,水,　,ふく日 わうまう  かといて  つめとりよし
《2470》,《暦日0》,廿七／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2480》,《暦日2》,廿八／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《2490》,《暦日0》,廿九／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《2500》,《月序》,七月,大,建,庚申,鬼宿　參　水よう
《2510》,《暦日2》,一／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2520》,《暦日0》,二／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《2530》,《暦日2》,三／,かのえさる,たつ,木,　,きしく 大みやう くゑ日 ふく日 下しきみの時
《2540》,《暦日0》,四／,かのとのとり,のそく,,　,十し
《2550》,《節中》,処暑七月中とりの六刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2560》,《暦日2》,五／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《2570》,《暦日0》,六／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2580》,《暦日2》,七／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2590》,《暦日0》,八／,きのとのうし,とる,,　,●
《2600》,《暦日2》,九／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2610》,《暦日0》,十／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2620》,《暦日2》,十一／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2630》,《暦日0》,十二／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2640》,《暦日2》,十三／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2650》,《暦日0》,十四／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
