«1774-0000»,【 カンマ区切りテキスト形式です。】
«1774-1810»,«暦日0»,廿九〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1774-1820»,«節中»,小暑六月せつたつの六刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1774-1830»,«暦日1»,卅〳,みつのえむま,とつ,木,　,●
«1774-1840»,«月序»,六月,小,建,辛未,尾宿　女　土よう
«1774-1850»,«暦日1»,一〳,みつのとのひつし,たつ,木,　,天おん  たねまきよし
«1774-1860»,«暦日2»,二〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1774-1870»,«暦日0»,三〳,きのとのとり,みつ,,　,神よし ちいみ
«1774-1880»,«暦日2»,四〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1774-1890»,«暦日0»,五〳,ひのとのい,さたん,,　,大みやう ちう日
«1774-1900»,«暦日2»,六〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1774-1910»,«暦日0»,七〳,つちのとのうし,やふる,,　,十し
«1774-1920»,«暦日2»,八〳,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
«1774-1930»,«暦日0»,九〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1774-1940»,«暦日2»,十〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1774-1950»,«暦日0»,十一〳,みつのとのみ,ひらく,,天一天上|とようむまの七刻ニ入,母倉 ちう日  いちたちよし
«1774-1960»,«暦日2»,十二〳,きのえむま,とつ,金,　,●
«1774-1970»,«暦日0»,十三〳,きのとのひつし,たつ,,　,大みやう 五む日
«1774-1980»,«暦日1»,十四〳,ひのえさる,のそく,火,　,神よし きしく
«1774-1990»,«節中»,大暑六月中ひつしの三刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1774-2000»,«暦日1»,十五〳,ひのとのとり,みつ,火,　,神よし ちいみ  くさかりよし
«1774-2010»,«暦日2»,十六〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1774-2020»,«暦日0»,十七〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1774-2030»,«暦日2»,十八〳,かのえね,とる,土,中伏,きこ 下しきたつの時
«1774-2040»,«暦日0»,十九〳,かのとのうし,やふる,,　,十し
«1774-2050»,«暦日2»,廿〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1774-2060»,«暦日0»,廿一〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1774-2070»,«暦日2»,廿二〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん わうまう  わたましよし
