«1688-0000»,【 カンマ区切りテキスト形式です。】
«1688-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1688-1350»,«暦日0»,廿一〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1688-1360»,«暦日2»,廿二〳,きのえね,あやふ,金,四月中いぬの四刻,きしく
«1688-1370»,«暦日0»,廿三〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1688-1380»,«暦日2»,廿四〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1688-1390»,«暦日0»,廿五〳,ひのとのう,ひらく,,　,神よし  わたましよし
«1688-1400»,«暦日2»,廿六〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1688-1410»,«暦日0»,廿七〳,つちのとのみ,たつ,,　,●
«1688-1420»,«暦日2»,廿八〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1688-1430»,«暦日0»,廿九〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1688-1440»,«月序»,五月,大,建,戊午,牛宿　氐　土よう
«1688-1450»,«暦日2»,一〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1688-1460»,«暦日0»,二〳,みつのとのとり,さたん,,　,十し
«1688-1470»,«暦日2»,三〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1688-1480»,«暦日0»,四〳,きのとのい,やふる,,　,ちう日
«1688-1490»,«暦日2»,五〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1688-1500»,«暦日0»,六〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1688-1510»,«暦日2»,七〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1688-1520»,«暦日0»,八〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1688-1530»,«暦日2»,九〳,かのえたつ,ひらく,金,五月せつうしの一刻ニ入, けんふく かといてよし
«1688-1540»,«暦日0»,十〳,かのとのみ,とつ,,　,十し
«1688-1550»,«暦日2»,十一〳,みつのえむま,たつ,木,入梅,大みやう 下しきうの時
«1688-1560»,«暦日0»,十二〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
