《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1740》,《暦日2》,一／,かのえね,とる,土,六月せつひつしの二刻ニ入,きこ 下しきたつの時
《1750》,《暦日0》,二／,かのとのうし,やふる,,　,十し
《1760》,《暦日2》,三／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1770》,《暦日0》,四／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1780》,《暦日2》,五／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1790》,《暦日0》,六／,きのとのみ,ひらく,,　,大みやう ちう日
《1800》,《暦日2》,七／,ひのえむま,とつ,水,　,●
《1810》,《暦日0》,八／,ひのとのひつし,たつ,,　,くゑ日
《1820》,《暦日2》,九／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1830》,《暦日0》,十／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1840》,《暦日2》,十一／,かのえいぬ,たいら,金,初伏,大みやう 大くわ 地火
《1850》,《暦日0》,十二／,かのとのい,さたん,,　,大みやう ちう日
《1860》,《暦日2》,十三／,みつのえね,とる,木,八せんのはしめ/とようとりの三刻ニ入,きしく きこ 下しきたつの時
《1870》,《暦日0》,十四／,みつのとのうし,やふる,,ま日,十し
《1880》,《暦日2》,十五／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1890》,《暦日0》,十六／,きのとのう,なる,,六月中とりの八刻,神よし 天火 らうしやく
《1900》,《暦日2》,十七／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1910》,《暦日0》,十八／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1920》,《暦日2》,十九／,つちのえむま,とつ,火,ま日,●
《1930》,《暦日0》,廿／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1940》,《暦日2》,廿一／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《1950》,《暦日0》,廿二／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1960》,《暦日2》,廿三／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1970》,《暦日0》,廿四／,みつのとのい,さたん,,八せんのおはり,ちう日 わうまう
《1980》,《暦日2》,廿五／,きのえね,とる,金,　,きこ 下しきたつの時
《1990》,《暦日0》,廿六／,きのとのうし,やふる,,　,十し
《2000》,《暦日2》,廿七／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《2010》,《暦日0》,廿八／,ひのとのう,なる,,　,神よし 天火 らうしやく
《2020》,《暦日2》,廿九／,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
《2030》,《暦日0》,卅／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《2040》,《月序》,七月,小,建,壬申,虛宿　室　火よう
《2050》,《暦日2》,一／,かのえむま,とつ,土,　,●
《2060》,《暦日0》,二／,かのとのひつし,とつ,,立秋七月せつねの四刻ニ入,大みやう  ものたちよし
《2070》,《暦日2》,三／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《2080》,《暦日0》,四／,みつのとのとり,のそく,,　,十し
《2090》,《暦日2》,五／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《2100》,《暦日0》,六／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2110》,《暦日2》,七／,ひのえね,さたん,水,　, 田かりよし
《2120》,《暦日0》,八／,ひのとのうし,とる,,　,●
《2130》,《暦日2》,九／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2140》,《暦日0》,十／,つちのとのう,あやふ,,　,大みやう わうまう  みそすつくりよし
《2150》,《暦日2》,十一／,かのえたつ,なる,金,末伏,きしく ちいみ ふく日  かといてよし
《2160》,《暦日0》,十二／,かのとのみ,おさん,,　,大くわ ちう日
《2170》,《暦日2》,十三／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《2180》,《暦日0》,十四／,みつのとのひつし,とつ,,　
《2190》,《暦日2》,十五／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2200》,《暦日0》,十六／,きのとのとり,のそく,,　,十し
《2210》,《暦日2》,十七／,ひのえいぬ,みつ,土,七月中うの一刻,五む日
《2220》,《暦日0》,十八／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《2230》,《暦日2》,十九／,つちのえね,さたん,火,　, けんふく くさかりよし
《2240》,《暦日0》,廿／,つちのとのうし,とる,,　,●
《2250》,《暦日2》,廿一／,かのえとら,やふる,木,　,さい下しき ふく日  つめとりよし
《2260》,《暦日0》,廿二／,かのとのう,あやふ,,　,神よし
《2270》,《暦日2》,廿三／,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
《2280》,《暦日0》,廿四／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2290》,《暦日2》,廿五／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2300》,《暦日0》,廿六／,きのとのひつし,とつ,,　,大みやう 五む日
《2310》,《暦日2》,廿七／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2320》,《暦日0》,廿八／,ひのとのとり,のそく,,二百十日,十し
《2330》,《暦日1》,廿九／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《2340》,《月序》,八月,小,建,癸酉,危宿　壁　水よう
《2350》,《暦日1》,一／,つちのとのい,たいら,木,　,ちう日 めつもん 地火
《2360》,《食記》,日そく四分
《2370》,《暦日2》,二／,かのえね,さたん,土,　,神よし ふく日
《2380》,《暦日0》,三／,かのとのうし,さたん,,八月せつみの六刻ニ入,神よし 五む日 ふく日  ものたち  つめとりよし
《2390》,《暦日2》,四／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2400》,《暦日0》,五／,みつのとのう,やふる,,　, くらたて 田かりよし
《2410》,《暦日2》,六／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《2420》,《暦日0》,七／,きのとのみ,なる,,　,十し
《2430》,《暦日2》,八／,ひのえむま,おさん,水,　,大みやう めつもん
《2440》,《暦日0》,九／,ひのとのひつし,ひらく,,二百廿日,●
《2450》,《暦日2》,十／,つちのえさる,とつ,土,　,天しや よろつよし
《2460》,《暦日0》,十一／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2470》,《暦日2》,十二／,かのえいぬ,のそく,金,　,大みやう ちいみ
《2480》,《暦日0》,十三／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《2490》,《暦日2》,十四／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《2500》,《暦日0》,十五／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《2510》,《暦日2》,十六／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2520》,《暦日0》,十七／,きのとのう,やふる,,　,くゑ日 ふく日
《2530》,《暦日2》,十八／,ひのえたつ,あやふ,土,秋分八月中さるの三刻/ま日,大みやう
《2540》,《暦日0》,十九／,ひのとのみ,なる,,　,十し
《2550》,《暦日2》,廿／,つちのえむま,おさん,火,ま日/社日/ひかんニなる,めつもん わうまう
《2560》,《暦日0》,廿一／,つちのとのひつし,ひらく,,　,●
《2570》,《暦日2》,廿二／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
《2580》,《暦日0》,廿三／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2590》,《暦日2》,廿四／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《2600》,《暦日0》,廿五／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《2610》,《暦日2》,廿六／,きのえね,たいら,金,　,大くわ 地火  わたましよし
《2620》,《暦日0》,廿七／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《2630》,《暦日2》,廿八／,ひのえとら,とる,火,　,きこ  つめとりよし
《2640》,《暦日0》,廿九／,ひのとのう,やふる,,　, 田かりよし
《2650》,《月序》,九月,大,建,甲戌,室宿　奎　木よう
《2660》,《暦日2》,一／,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
《2670》,《暦日0》,二／,つちのとのみ,なる,,　,十し
《2680》,《暦日2》,三／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《2690》,《暦日0》,四／,かのとのひつし,おさん,,かん露九月せついの初刻ニ入,大みやう 大くわ  たねまき 田かりよし
《2700》,《暦日2》,五／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《2710》,《暦日0》,六／,みつのとのとり,とつ,,　,神よし 大みやう
《2720》,《暦日2》,七／,きのえいぬ,たつ,火,　,くゑ日
《2730》,《暦日0》,八／,きのとのい,のそく,,　,ちう日  田かりよし
《2740》,《暦日2》,九／,ひのえね,みつ,水,　,きしく きこ 天火 らうしやく
《2750》,《暦日0》,十／,ひのとのうし,たいら,,　,十し
《2760》,《暦日2》,十一／,つちのえとら,さたん,土,　,●
《2770》,《暦日0》,十二／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《2780》,《暦日2》,十三／,かのえたつ,やふる,金,　
《2790》,《暦日0》,十四／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《2800》,《暦日2》,十五／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《2810》,《暦日0》,十六／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《2820》,《暦日2》,十七／,きのえさる,ひらく,水,とよううしの一刻ニ入/十方くれニ入,大みやう
《2830》,《暦日0》,十八／,きのとのとり,とつ,,　,神よし  田かりよし
《2840》,《暦日2》,十九／,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
《2850》,《暦日0》,廿／,ひのとのい,のそく,,九月中うしの五刻,大みやう ちう日
《2860》,《暦日2》,廿一／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《2870》,《暦日0》,廿二／,つちのとのうし,たいら,,　,十し
《2880》,《暦日2》,廿三／,かのえとら,さたん,木,　,●
《2890》,《暦日0》,廿四／,かのとのう,とる,,　,くゑ日
《2900》,《暦日2》,廿五／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《2910》,《暦日0》,廿六／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《2920》,《暦日2》,廿七／,きのえむま,なる,金,　,くゑ日
《2930》,《暦日0》,廿八／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《2940》,《暦日2》,廿九／,ひのえさる,ひらく,火,　,くゑ日
《2950》,《暦日0》,卅／,ひのとのとり,とつ,,　,くゑ日 わうまう
《2960》,《月序》,十月,小,建,乙亥,壁宿　胃　土よう
《2970》,《暦日2》,一／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《2980》,《暦日0》,二／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《2990》,《暦日2》,三／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《3000》,《暦日0》,四／,かのとのうし,たいら,,　,十し
《3010》,《暦日2》,五／,みつのえとら,たいら,金,立冬十月せつたつの二刻ニ入,大みやう 大くわ ふく日 地火  つめとりよし
《3020》,《暦日0》,六／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3030》,《暦日2》,七／,きのえたつ,とる,火,　,きしく 大みやう  やたて かとたてよし
《3040》,《暦日0》,八／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3050》,《暦日2》,九／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3060》,《暦日0》,十／,ひのとのひつし,なる,,　, 木こりよし
《3070》,《暦日2》,十一／,つちのえさる,おさん,土,　,●
《3080》,《暦日0》,十二／,つちのとのとり,ひらく,,　,十し
《3090》,《暦日2》,十三／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《3100》,《暦日0》,十四／,かのとのい,たつ,,　,大みやう ちいみ ちう日 わうまう 下しきさるの時
《3110》,《暦日2》,十五／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3120》,《暦日0》,十六／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3130》,《暦日2》,十七／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《3140》,《暦日0》,十八／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3150》,《暦日2》,十九／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3160》,《暦日0》,廿／,ひのとのみ,やふる,,十月中むまの七刻,くゑ日 ちう日
《3170》,《暦日2》,廿一／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
