《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2840》,《暦日0》,三／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《2850》,《暦日2》,四／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《2860》,《暦日0》,五／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《2870》,《暦日2》,六／,ひのえね,たいら,水,　,大くわ 地火
《2880》,《暦日0》,七／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《2890》,《暦日2》,八／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《2900》,《暦日0》,九／,つちのとのう,やふる,,　,大みやう 天おん
《2910》,《暦日2》,十／,かのえたつ,あやふ,金,　,きしく 天おん 母倉 月とく
《2920》,《暦日0》,十一／,かのとのみ,なる,,　,十し
《2930》,《暦日1》,十二／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《2940》,《節中》,寒露九月せつ昼九時六分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
