《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2740》,《暦日2》,廿三／,みつのえたつ,あやふ,水,　,さい下しき 大みやう 母倉 五む日 わうまう
《2750》,《暦日0》,廿四／,みつのとのみ,なる,,天一天上,十し
《2760》,《暦日2》,廿五／,きのえむま,おさん,金,　,めつもん
《2770》,《暦日0》,廿六／,きのとのひつし,ひらく,,　,●
《2780》,《暦日2》,廿七／,ひのえさる,とつ,火,　,神よし
《2790》,《暦日0》,廿八／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2800》,《暦日2》,廿九／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《2810》,《暦日0》,卅／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2820》,《月序》,九月,小,建,庚戌,室宿　鬼　金よう
《2830》,《暦日2》,一／,かのえね,たいら,土,　,神よし きしく 月とく 大くわ 地火
《2840》,《暦日0》,二／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2850》,《暦日2》,三／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2860》,《暦日0》,四／,みつのとのう,やふる,,　, くらたて 田かりよし
《2870》,《暦日2》,五／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《2880》,《暦日0》,六／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《2890》,《節中》,寒露九月せつさるの六刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《2900》,《暦日2》,七／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《2910》,《暦日0》,八／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《2920》,《暦日2》,九／,つちのえさる,ひらく,土,　,天しや よろつよし
《2930》,《暦日0》,十／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《2940》,《暦日2》,十一／,かのえいぬ,たつ,金,　,大みやう くゑ日
