《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/145 ～ 150
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1775g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1775h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0960》,《節中》,清明三月せつうの八刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0970》,《暦日2》,九／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《0980》,《暦日0》,十／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《0990》,《暦日2》,十一／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1000》,《暦日0》,十二／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1010》,《暦日2》,十三／,かのえさる,さたん,木,　,さい下しき 大みやう くゑ日
《1020》,《暦日0》,十四／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1030》,《暦日2》,十五／,みつのえいぬ,やふる,水,ま日,月とく
《1040》,《暦日0》,十六／,みつのとのい,あやふ,,八せんのおはり,●
《1050》,《暦日2》,十七／,きのえね,なる,金,　,くゑ日 きこ
《1060》,《暦日0》,十八／,きのとのうし,おさん,,　,十し
《1070》,《暦日2》,十九／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1080》,《暦日0》,廿／,ひのとのう,とつ,,とようみの八刻ニ入,くゑ日  たねまきよし
《1090》,《暦日2》,廿一／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1100》,《暦日0》,廿二／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1110》,《暦日1》,廿三／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1120》,《節中》,穀雨三月中むまの四刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1130》,《暦日1》,廿四／,かのとのひつし,たいら,土,　,大みやう めつもん 地火
《1140》,《暦日2》,廿五／,みつのえさる,さたん,金,　,大みやう くゑ日
《1150》,《暦日0》,廿六／,みつのとのとり,とる,,　,神よし 大みやう
《1160》,《暦日2》,廿七／,きのえいぬ,やふる,火,　, くさかりよし
《1170》,《暦日0》,廿八／,きのとのい,あやふ,,　,●
《1180》,《暦日2》,廿九／,ひのえね,なる,水,　,きしく きこ
《1190》,《暦日0》,卅／,ひのとのうし,おさん,,　,十し
《1200》,《月序》,四月,小,建,辛巳,婁宿　星　日よう
《1210》,《暦日2》,一／,つちのえとら,ひらく,土,　,天しや よろつよし
《1220》,《暦日0》,二／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1230》,《暦日2》,三／,かのえたつ,たつ,金,　,くゑ日
《1240》,《暦日0》,四／,かのとのみ,のそく,,八十八や,天おん 母倉 ちう日
《1250》,《暦日2》,五／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1260》,《暦日0》,六／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1270》,《暦日2》,七／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1280》,《暦日0》,八／,きのとのとり,さたん,,　,十し
《1290》,《節中》,立夏四月せつとりの一刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1300》,《暦日2》,九／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1310》,《暦日0》,十／,ひのとのい,やふる,,　,大みやう ちう日
《1320》,《暦日2》,十一／,つちのえね,あやふ,火,　, けんふくよし
《1330》,《暦日0》,十二／,つちのとのうし,なる,,　,きこ  つめとりよし
《1340》,《暦日2》,十三／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1350》,《暦日0》,十四／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1360》,《暦日2》,十五／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日 わうまう
《1370》,《暦日0》,十六／,みつのとのみ,たつ,,天一天上,●
《1380》,《暦日2》,十七／,きのえむま,のそく,金,　,天しや よろつよし
《1390》,《暦日0》,十八／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1400》,《暦日2》,十九／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1410》,《暦日0》,廿／,ひのとのとり,さたん,,　,十し
《1420》,《暦日2》,廿一／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1430》,《暦日0》,廿二／,つちのとのい,やふる,,　,くゑ日 ちう日
《1440》,《暦日1》,廿三／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1450》,《節中》,小満四月中いの六刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
