«1830-0000»,【 カンマ区切りテキスト形式です。】
«1830-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1830-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1830-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1830-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1830-0050»,【 外部リンク　】
«1830-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/108 ～ 112】
«1830-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1830h　(翻刻編集終了データを表成型して表示します)】
«1830-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1830ht (翻刻編集中データを表成型して表示します)】
«1830-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1830-0100»,«版元»,出版地○○,出版元□□□,　
«1830-0600»,«暦日2»,七〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1830-0610»,«暦日0»,八〳,ひのとのう,のそく,,　,さい下しき 神よし 天おん  あさまきよし
«1830-0620»,«暦日2»,九〳,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
«1830-0630»,«暦日0»,十〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1830-0640»,«暦日2»,十一〳,かのえむま,さたん,土,　,神よし ふく日
«1830-0650»,«暦日0»,十二〳,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
«1830-0660»,«暦日2»,十三〳,みつのえさる,やふる,金,　,神よし 大みやう
«1830-0670»,«暦日0»,十四〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1830-0680»,«節中»,啓蟄二月せつ今暁とらの七刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1830-0690»,«暦日1»,十五〳,きのえいぬ,あやふ,火,　,月とく
«1830-0700»,«食記»,月そく皆既,　
«1830-0710»,«暦日1»,十六〳,きのとのい,なる,火,　,母倉 ちう日 ふく日  みそすつくりよし
«1830-0720»,«暦日2»,十七〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1830-0730»,«暦日0»,十八〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1830-0740»,«暦日2»,十九〳,つちのえとら,とつ,土,　,天しや よろつよし
«1830-0750»,«暦日0»,廿〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1830-0760»,«暦日2»,廿一〳,かのえたつ,のそく,金,　,●
«1830-0770»,«暦日0»,廿二〳,かのとのみ,みつ,,　,十し
«1830-0780»,«暦日2»,廿三〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1830-0790»,«暦日0»,廿四〳,みつのとのひつし,さたん,,ひかんニなる,天おん ちいみ
«1830-0800»,«暦日2»,廿五〳,きのえさる,とる,水,十方くれニ入,神よし きしく 大みやう 月とく  入学よし
«1830-0810»,«暦日0»,廿六〳,きのとのとり,やふる,,　,ふく日
«1830-0820»,«暦日2»,廿七〳,ひのえいぬ,あやふ,土,　,五む日 わうまう  あさまきよし
«1830-0830»,«暦日0»,廿八〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1830-0840»,«暦日1»,廿九〳,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
«1830-0850»,«節中»,春分二月中みの四刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1830-0860»,«月序»,三月,大,建,庚辰,氐宿　軫　水よう
«1830-0870»,«暦日1»,一〳,つちのとのうし,ひらく,火,　,月とく  井ほり  つめとりよし
«1830-0880»,«暦日2»,二〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1830-0890»,«暦日0»,三〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1830-0900»,«暦日2»,四〳,みつのえたつ,のそく,水,　,●
«1830-0910»,«暦日0»,五〳,みつのとのみ,みつ,,天一天上,十し
«1830-0920»,«暦日2»,六〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1830-0930»,«暦日0»,七〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1830-0940»,«暦日2»,八〳,ひのえさる,とる,火,　,神よし
«1830-0950»,«暦日0»,九〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1830-0960»,«暦日2»,十〳,つちのえいぬ,あやふ,木,　, かといてよし
«1830-0970»,«暦日0»,十一〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1830-0980»,«暦日2»,十二〳,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
«1830-0990»,«暦日0»,十三〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1830-1000»,«暦日2»,十四〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1830-1010»,«暦日0»,十五〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1830-1020»,«節中»,清明三月せつさるの一刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1830-1030»,«暦日2»,十六〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1830-1040»,«暦日0»,十七〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1830-1050»,«暦日2»,十八〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1830-1060»,«暦日0»,十九〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1830-1070»,«暦日2»,廿〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1830-1080»,«暦日0»,廿一〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1830-1090»,«暦日2»,廿二〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1830-1100»,«暦日0»,廿三〳,かのとのい,あやふ,,　,●
«1830-1110»,«暦日2»,廿四〳,みつのえね,なる,木,八せんのはしめ,神よし きしく 天おん 母倉 月とく きこ
«1830-1120»,«暦日0»,廿五〳,みつのとのうし,おさん,,ま日,十し
«1830-1130»,«暦日2»,廿六〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1830-1140»,«暦日0»,廿七〳,きのとのう,とつ,,とよういぬの二刻ニ入,神よし  ものたちよし
«1830-1150»,«暦日2»,廿八〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1830-1160»,«暦日0»,廿九〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1830-1170»,«暦日1»,卅〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1830-1180»,«節中»,穀雨三月中いぬの六刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1830-1190»,«月序»,閏三月,小,隨節用之,亢　金よう
«1830-1200»,«暦日1»,一〳,つちのとのひつし,たいら,火,　,神よし 大みやう ふく日 めつもん 地火
«1830-1210»,«暦日2»,二〳,かのえさる,さたん,木,　,大みやう くゑ日
«1830-1220»,«暦日0»,三〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1830-1230»,«暦日2»,四〳,みつのえいぬ,やふる,水,ま日,月とく
«1830-1240»,«暦日0»,五〳,みつのとのい,あやふ,,八せんのおはり,●
«1830-1250»,«暦日2»,六〳,きのえね,なる,金,　,くゑ日 きこ
