《1837-0000》,# カンマ区切りテキスト形式です。
《1837-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1837-0020》,# ・表の区画内での改行は“/”で表記します。
《1837-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1837-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1837-0050》,# 外部リンク
《1837-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/139 ～ 142
《1837-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1837g　(GitHub上データを表成型)
《1837-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1837h　(翻刻編集データを表成型 - 未実装)
《1837-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1837-0100》,《版元》,出版地○○,出版元□□□,　
《1837-1760》,《暦日2》,廿二／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1837-1770》,《暦日0》,廿三／,つちのとのい,とる,,　,神よし ちう日
《1837-1780》,《暦日2》,廿四／,かのえね,やふる,土,　,●
《1837-1790》,《暦日0》,廿五／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1837-1800》,《暦日2》,廿六／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1837-1810》,《暦日0》,廿七／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1837-1820》,《暦日2》,廿八／,きのえたつ,ひらく,火,　,きしく 大みやう  むきかり 田うへよし
《1837-1830》,《暦日0》,廿九／,きのとのみ,とつ,,　,十し
《1837-1840》,《暦日1》,卅／,ひのえむま,たつ,水,はんけしやう,大みやう くゑ日 下しきうの時
《1837-1850》,《月序》,六月,小,建,丁未,尾宿　張　月よう
《1837-1860》,《暦日1》,一／,ひのとのひつし,のそく,水,　,神よし ふく日
《1837-1870》,《暦日2》,二／,つちのえさる,みつ,土,　,神よし  入学よし
《1837-1880》,《暦日0》,三／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1837-1890》,《暦日2》,四／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1837-1900》,《暦日0》,五／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1837-1910》,《節中》,小暑六月せつさるの二刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1837-1920》,《暦日2》,六／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1837-1930》,《暦日0》,七／,みつのとのうし,やふる,,ま日,十し
《1837-1940》,《暦日2》,八／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1837-1950》,《暦日0》,九／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1837-1960》,《暦日2》,十／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1837-1970》,《暦日0》,十一／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1837-1980》,《暦日2》,十二／,つちのえむま,とつ,火,ま日,●
《1837-1990》,《暦日0》,十三／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1837-2000》,《暦日2》,十四／,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
《1837-2010》,《暦日0》,十五／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1837-2020》,《暦日2》,十六／,みつのえいぬ,たいら,水,ま日,大くわ 地火
