«1814-0000»,【 カンマ区切りテキスト形式です。】
«1814-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1814-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1814-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1814-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1814-0050»,【 外部リンク　】
«1814-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/40 ～ 44】
«1814-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1814h　(翻刻編集終了データを表成型して表示します)】
«1814-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1814ht (翻刻編集中データを表成型して表示します)】
«1814-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1814-0100»,«版元»,出版地○○,出版元□□□,　
«1814-1090»,«暦日2»,廿一〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1814-1100»,«暦日0»,廿二〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1814-1110»,«暦日2»,廿三〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1814-1120»,«暦日0»,廿四〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1814-1130»,«暦日2»,廿五〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1814-1140»,«暦日0»,廿六〳,ひのとのみ,たつ,,　,●
«1814-1150»,«暦日2»,廿七〳,つちのえむま,のそく,火,ま日,くゑ日
«1814-1160»,«暦日0»,廿八〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1814-1170»,«暦日2»,廿九〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1814-1180»,«暦日0»,卅〳,かのとのとり,さたん,,　,十し
«1814-1190»,«月序»,四月,小,建,己巳,斗宿　牛　金よう
«1814-1200»,«暦日2»,一〳,みつのえいぬ,とる,水,ま日,ふく日
«1814-1210»,«暦日0»,二〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1814-1220»,«暦日2»,三〳,きのえね,あやふ,金,　,天おん
«1814-1230»,«暦日0»,四〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1814-1240»,«節中»,小満四月中みの四刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1814-1250»,«暦日2»,五〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1814-1260»,«暦日0»,六〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1814-1270»,«暦日2»,七〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1814-1280»,«暦日0»,八〳,つちのとのみ,たつ,,　,●
«1814-1290»,«暦日2»,九〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1814-1300»,«暦日0»,十〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1814-1310»,«暦日2»,十一〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1814-1320»,«暦日0»,十二〳,みつのとのとり,さたん,,　,十し
«1814-1330»,«暦日2»,十三〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1814-1340»,«暦日0»,十四〳,きのとのい,やふる,,　,月とく ちう日
«1814-1350»,«暦日2»,十五〳,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
«1814-1360»,«暦日0»,十六〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1814-1370»,«暦日2»,十七〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1814-1380»,«暦日0»,十八〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1814-1390»,«暦日1»,十九〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1814-1400»,«節中»,芒種五月せつさるの初刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1814-1410»,«暦日1»,廿〳,かのとのみ,とつ,金,　,十し
«1814-1420»,«暦日2»,廿一〳,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
«1814-1430»,«暦日0»,廿二〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1814-1440»,«暦日2»,廿三〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1814-1450»,«暦日0»,廿四〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1814-1460»,«暦日2»,廿五〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1814-1470»,«暦日0»,廿六〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1814-1480»,«暦日2»,廿七〳,つちのえね,やふる,火,　,●
«1814-1490»,«暦日0»,廿八〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1814-1500»,«暦日1»,廿九〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1814-1510»,«月序»,五月,小,建,庚午,牛宿　女　土よう
«1814-1520»,«暦日1»,一〳,かのとのう,おさん,木,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1814-1530»,«暦日2»,二〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1814-1540»,«暦日0»,三〳,みつのとのみ,とつ,,天一天上,十し
«1814-1550»,«暦日2»,四〳,きのえむま,たつ,金,　,天しや よろつよし
«1814-1560»,«暦日0»,五〳,きのとのひつし,のそく,,　,大みやう 五む日 わうまう  むきかりよし
«1814-1570»,«節中»,夏至五月中いぬの六刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1814-1580»,«暦日2»,六〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1814-1590»,«暦日0»,七〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1814-1600»,«暦日2»,八〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1814-1610»,«暦日0»,九〳,つちのとのい,とる,,　,神よし ちう日
«1814-1620»,«暦日2»,十〳,かのえね,やふる,土,　,●
«1814-1630»,«暦日0»,十一〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1814-1640»,«暦日2»,十二〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1814-1650»,«暦日0»,十三〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1814-1660»,«暦日2»,十四〳,きのえたつ,ひらく,火,　,きしく 大みやう  むきかり 田うへよし
«1814-1670»,«暦日0»,十五〳,きのとのみ,とつ,,はんけしやう,十し
«1814-1680»,«暦日2»,十六〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1814-1690»,«暦日0»,十七〳,ひのとのひつし,のそく,,　,神よし ふく日
«1814-1700»,«暦日2»,十八〳,つちのえさる,みつ,土,　,神よし  入学よし
«1814-1710»,«暦日0»,十九〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1814-1720»,«暦日2»,廿〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1814-1730»,«暦日0»,廿一〳,かのとのい,さたん,,　,さい下しき 大みやう 天おん ちう日
«1814-1740»,«節中»,小暑六月せつ今暁うしの二刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1814-1750»,«暦日2»,廿二〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1814-1760»,«暦日0»,廿三〳,みつのとのうし,やふる,,ま日,十し
«1814-1770»,«暦日2»,廿四〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1814-1780»,«暦日0»,廿五〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1814-1790»,«暦日2»,廿六〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1814-1800»,«暦日0»,廿七〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1814-1810»,«暦日2»,廿八〳,つちのえむま,とつ,火,ま日,●
«1814-1820»,«暦日0»,廿九〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1814-1830»,«月序»,六月,小,建,辛未,女宿　虛　日よう
«1814-1840»,«暦日1»,一〳,かのえさる,のそく,木,初伏,大みやう
«1814-1850»,«食記»,日そく四分
«1814-1860»,«暦日1»,二〳,かのとのとり,みつ,木,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1814-1870»,«暦日2»,三〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1814-1880»,«暦日0»,四〳,みつのとのい,さたん,,八せんのおはり|とよううの三刻ニ入,ちう日
«1814-1890»,«暦日2»,五〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1814-1900»,«暦日0»,六〳,きのとのうし,やふる,,　,十し
«1814-1910»,«暦日1»,七〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1814-1920»,«節中»,大暑六月中うの八刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1814-1930»,«暦日1»,八〳,ひのとのう,なる,火,　,神よし 天おん 天火 らうしやく
«1814-1940»,«暦日2»,九〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1814-1950»,«暦日0»,十〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1814-1960»,«暦日2»,十一〳,かのえむま,とつ,土,中伏,●
«1814-1970»,«暦日0»,十二〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1814-1980»,«暦日2»,十三〳,みつのえさる,のそく,金,　,神よし きしく 大みやう  くさかりよし
«1814-1990»,«暦日0»,十四〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1814-2000»,«暦日2»,十五〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火 わうまう  わたましよし
«1814-2010»,«暦日0»,十六〳,きのとのい,さたん,,　,ちう日
«1814-2020»,«暦日2»,十七〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1814-2030»,«暦日0»,十八〳,ひのとのうし,やふる,,　,十し
«1814-2040»,«暦日2»,十九〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1814-2050»,«暦日0»,廿〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1814-2060»,«暦日2»,廿一〳,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
«1814-2070»,«暦日0»,廿二〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1814-2080»,«節中»,立秋七月せつむまの五刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1814-2090»,«暦日2»,廿三〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1814-2100»,«暦日0»,廿四〳,みつのとのひつし,とつ,,　,天おん 母倉
