«1867-0000»,【 カンマ区切りテキスト形式です。】
«1867-1400»,«暦日0»,廿〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1867-1410»,«暦日2»,廿一〳,きのえたつ,とつ,火,　,きしく 大みやう
«1867-1420»,«暦日0»,廿二〳,きのとのみ,たつ,,　,●
«1867-1430»,«暦日2»,廿三〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1867-1440»,«暦日0»,廿四〳,ひのとのひつし,みつ,,　,くゑ日
«1867-1450»,«暦日2»,廿五〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1867-1460»,«暦日0»,廿六〳,つちのとのとり,さたん,,　,十し
«1867-1470»,«暦日2»,廿七〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1867-1480»,«暦日0»,廿八〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1867-1490»,«暦日2»,廿九〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1867-1500»,«暦日0»,卅〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1867-1510»,«月序»,五月,小,建,丙午,角宿　心　月よう
«1867-1520»,«暦日2»,一〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1867-1530»,«暦日0»,二〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1867-1540»,«暦日2»,三〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1867-1550»,«暦日0»,四〳,ひのとのみ,とつ,,　,十し
«1867-1560»,«節中»,芒種五月せつ昼九時九分ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1867-1570»,«暦日2»,五〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1867-1580»,«暦日0»,六〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1867-1590»,«暦日2»,七〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1867-1600»,«暦日0»,八〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
