«1806-0000»,【 カンマ区切りテキスト形式です。】
«1806-1330»,«暦日2»,十三〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1806-1340»,«暦日0»,十四〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1806-1350»,«暦日2»,十五〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1806-1360»,«暦日0»,十六〳,みつのとのみ,たつ,,天一天上,●
«1806-1370»,«暦日2»,十七〳,きのえむま,のそく,金,　,天しや よろつよし
«1806-1380»,«暦日0»,十八〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1806-1390»,«暦日2»,十九〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1806-1400»,«暦日0»,廿〳,ひのとのとり,さたん,,　,十し
«1806-1410»,«暦日1»,廿一〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1806-1420»,«節中»,芒種五月せつさるの七刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1806-1430»,«暦日1»,廿二〳,つちのとのい,とる,木,　,神よし ちう日
«1806-1440»,«暦日2»,廿三〳,かのえね,やふる,土,　,●
«1806-1450»,«暦日0»,廿四〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1806-1460»,«暦日2»,廿五〳,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
«1806-1470»,«暦日0»,廿六〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1806-1480»,«暦日2»,廿七〳,きのえたつ,ひらく,火,　,きしく 大みやう  むきかり 田うへよし
«1806-1490»,«暦日0»,廿八〳,きのとのみ,とつ,,　,十し
«1806-1500»,«暦日2»,廿九〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1806-1510»,«暦日0»,卅〳,ひのとのひつし,のそく,,　,神よし ふく日
«1806-1520»,«月序»,五月,小,建,甲午,星宿　翼　火よう
«1806-1530»,«暦日2»,一〳,つちのえさる,みつ,土,　,神よし  入学よし
«1806-1540»,«暦日0»,二〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1806-1550»,«暦日2»,三〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1806-1560»,«暦日0»,四〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1806-1570»,«暦日2»,五〳,みつのえね,やふる,木,八せんのはしめ,●
«1806-1580»,«暦日0»,六〳,みつのとのうし,あやふ,,ま日,天おん ふく日 わうまう  むきかり  つめとりよし
«1806-1590»,«節中»,夏至五月中いの三刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1806-1600»,«暦日2»,七〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1806-1610»,«暦日0»,八〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1806-1620»,«暦日2»,九〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1806-1630»,«暦日0»,十〳,ひのとのみ,とつ,,　,十し
«1806-1640»,«暦日2»,十一〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1806-1650»,«暦日0»,十二〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1806-1660»,«暦日2»,十三〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
