《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/138 ～ 144
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1732g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1732h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《1060》,《暦日2》,十九／,ひのえね,なる,水,　,きこ
《1070》,《暦日0》,廿／,ひのとのうし,おさん,,　,十し
《1080》,《暦日2》,廿一／,つちのえとら,ひらく,土,　,天しや よろつよし
《1090》,《暦日0》,廿二／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《1100》,《暦日2》,廿三／,かのえたつ,たつ,金,　,くゑ日
《1110》,《暦日0》,廿四／,かのとのみ,のそく,,とよう夜ねの三刻ニ入,ちう日
《1120》,《暦日2》,廿五／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1130》,《暦日0》,廿六／,みつのとのひつし,たいら,,　,めつもん 地火
《1140》,《暦日2》,廿七／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1150》,《暦日0》,廿八／,きのとのとり,とる,,　,神よし  くさかりよし
《1160》,《節中》,穀雨三月中ねの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1170》,《暦日2》,廿九／,ひのえいぬ,やふる,土,　,五む日
《1180》,《暦日0》,卅／,ひのとのい,あやふ,,　,●
《1190》,《月序》,四月,小,建,乙巳,房宿　鬼　金よう
《1200》,《暦日2》,一／,つちのえね,なる,火,　,きしく きこ ふく日
《1210》,《暦日0》,二／,つちのとのうし,おさん,,　,十し
《1220》,《暦日2》,三／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1230》,《暦日0》,四／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1240》,《暦日2》,五／,みつのえたつ,たつ,水,　,大みやう 五む日
《1250》,《暦日0》,六／,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
