《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1100》,《節中》,穀雨三月中たつの五刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1110》,《暦日2》,廿三／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1120》,《暦日0》,廿四／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1130》,《暦日2》,廿五／,みつのえさる,さたん,金,　,大みやう くゑ日
《1140》,《暦日0》,廿六／,みつのとのとり,とる,,　,神よし 大みやう
《1150》,《暦日2》,廿七／,きのえいぬ,やふる,火,　,わうまう  くさかりよし
《1160》,《暦日0》,廿八／,きのとのい,あやふ,,　,●
《1170》,《暦日2》,廿九／,ひのえね,なる,水,　,きこ
《1180》,《暦日0》,卅／,ひのとのうし,おさん,,　,十し
《1190》,《月序》,四月,小,建,乙巳,軫宿　室　火よう
《1200》,《暦日2》,一／,つちのえとら,ひらく,土,　,天しや よろつよし
《1210》,《暦日0》,二／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1220》,《暦日2》,三／,かのえたつ,たつ,金,八十八や,くゑ日
《1230》,《暦日0》,四／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1240》,《暦日2》,五／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1250》,《暦日0》,六／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1260》,《暦日1》,七／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1270》,《節中》,立夏四月せつひつしの一刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1280》,《暦日1》,八／,きのとのとり,さたん,水,　,十し
《1290》,《暦日2》,九／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1300》,《暦日0》,十／,ひのとのい,やふる,,　,大みやう ちう日
《1310》,《暦日2》,十一／,つちのえね,あやふ,火,　,きしく  けんふくよし
《1320》,《暦日0》,十二／,つちのとのうし,なる,,　,きこ  つめとりよし
《1330》,《暦日2》,十三／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1340》,《暦日0》,十四／,かのとのう,ひらく,,　,母倉 わうまう  やたて ものたちよし
《1350》,《暦日2》,十五／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1360》,《暦日0》,十六／,みつのとのみ,たつ,,天一天上,●
《1370》,《暦日2》,十七／,きのえむま,のそく,金,　,天しや よろつよし
《1380》,《暦日0》,十八／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1390》,《暦日2》,十九／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1400》,《暦日0》,廿／,ひのとのとり,さたん,,　,十し
《1410》,《暦日2》,廿一／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1420》,《暦日0》,廿二／,つちのとのい,やふる,,　,くゑ日 ちう日
《1430》,《節中》,小満四月中とりの七刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1440》,《暦日2》,廿三／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1450》,《暦日0》,廿四／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1460》,《暦日2》,廿五／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1470》,《暦日0》,廿六／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1480》,《暦日2》,廿七／,きのえたつ,とつ,火,　,大みやう
《1490》,《暦日0》,廿八／,きのとのみ,たつ,,　,●
《1500》,《暦日1》,廿九／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1510》,《月序》,五月,小,建,丙午,角宿　壁　水よう
《1520》,《暦日1》,一／,ひのとのひつし,みつ,水,　,くゑ日
《1530》,《暦日2》,二／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1540》,《暦日0》,三／,つちのとのとり,さたん,,　,十し
《1550》,《暦日2》,四／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1560》,《暦日0》,五／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1570》,《暦日2》,六／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1580》,《暦日0》,七／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1590》,《暦日1》,八／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1600》,《節中》,芒種五月せつ今夜ねの三刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1610》,《暦日1》,九／,きのとのう,おさん,水,　,母倉 ちいみ 大くわ  ものたちよし
《1620》,《暦日2》,十／,ひのえたつ,ひらく,土,ま日,きしく 大みやう 月とく  けんふく いちたちよし
《1630》,《暦日0》,十一／,ひのとのみ,とつ,,　,十し
《1640》,《暦日2》,十二／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1650》,《暦日0》,十三／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1660》,《暦日2》,十四／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1670》,《暦日0》,十五／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1680》,《暦日2》,十六／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1690》,《暦日0》,十七／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1700》,《暦日2》,十八／,きのえね,やふる,金,　,●
《1710》,《暦日0》,十九／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1720》,《暦日2》,廿／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1730》,《暦日0》,廿一／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1740》,《暦日2》,廿二／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1750》,《暦日0》,廿三／,つちのとのみ,とつ,,　,十し
《1760》,《暦日1》,廿四／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1770》,《節中》,夏至五月中うの初刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1780》,《暦日1》,廿五／,かのとのひつし,のそく,土,　,大みやう 月とく  ふねのり 井ほりよし
《1790》,《暦日2》,廿六／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1800》,《暦日0》,廿七／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1810》,《暦日2》,廿八／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1820》,《暦日0》,廿九／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1830》,《月序》,六月,小,建,丁未,亢宿　奎　木よう
《1840》,《暦日2》,一／,ひのえね,やふる,水,　,●
《1850》,《暦日0》,二／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1860》,《暦日2》,三／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1870》,《暦日0》,四／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1880》,《暦日2》,五／,かのえたつ,ひらく,金,はんけしやう,天おん  けんふく かといてよし
《1890》,《暦日0》,六／,かのとのみ,とつ,,　,十し
《1900》,《暦日2》,七／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1910》,《暦日0》,八／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1920》,《暦日2》,九／,きのえさる,みつ,水,十方くれニ入,神よし きしく 大みやう
《1930》,《暦日0》,十／,きのとのとり,みつ,,　,神よし ちいみ
《1940》,《節中》,小暑六月せつみの五刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1950》,《暦日2》,十一／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1960》,《暦日0》,十二／,ひのとのい,さたん,,　,大みやう ちう日
《1970》,《暦日2》,十三／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1980》,《暦日0》,十四／,つちのとのうし,やふる,,　,十し
《1990》,《暦日2》,十五／,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
《2000》,《暦日0》,十六／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2010》,《暦日2》,十七／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《2020》,《暦日0》,十八／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《2030》,《暦日2》,十九／,きのえむま,とつ,金,　,●
《2040》,《暦日0》,廿／,きのとのひつし,たつ,,　,大みやう 五む日
《2050》,《暦日2》,廿一／,ひのえさる,のそく,火,　,神よし
《2060》,《暦日0》,廿二／,ひのとのとり,みつ,,とようひつしの六刻ニ入,神よし ちいみ  くさかりよし
《2070》,《暦日2》,廿三／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2080》,《暦日0》,廿四／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《2090》,《暦日1》,廿五／,かのえね,とる,土,中伏,きこ 下しきたつの時
《2100》,《節中》,大暑六月中さるの二刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2110》,《暦日1》,廿六／,かのとのうし,やふる,土,　,十し
《2120》,《暦日2》,廿七／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2130》,《暦日0》,廿八／,みつのとのう,なる,,　,神よし 天火 らうしやく
《2140》,《暦日1》,廿九／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《2150》,《月序》,七月,大,建,戊申,氐宿　婁　金よう
《2160》,《暦日1》,一／,きのとのみ,ひらく,火,　,大みやう 母倉 ちう日
《2170》,《暦日2》,二／,ひのえむま,とつ,水,　,●
《2180》,《暦日0》,三／,ひのとのひつし,たつ,,　,くゑ日
《2190》,《暦日2》,四／,つちのえさる,のそく,土,　,ふく日 わうまう  たねまきよし
《2200》,《暦日0》,五／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
