«1769-0000»,【 カンマ区切りテキスト形式です。】
«1769-0910»,«暦日2»,五〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1769-0920»,«暦日0»,六〳,つちのとのうし,おさん,,　,十し
«1769-0930»,«暦日2»,七〳,かのえとら,ひらく,木,　,さい下しき ちいみ  いちたち  つめとりよし
«1769-0940»,«暦日0»,八〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1769-0950»,«暦日2»,九〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1769-0960»,«暦日0»,十〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1769-0970»,«暦日2»,十一〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1769-0980»,«暦日0»,十二〳,きのとのひつし,たいら,,とよういぬの七刻ニ入,大みやう 五む日 めつもん 地火  ものたちよし
«1769-0990»,«暦日2»,十三〳,ひのえさる,さたん,火,　,くゑ日
«1769-1000»,«暦日0»,十四〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1769-1010»,«暦日1»,十五〳,つちのえいぬ,やふる,木,　,ふく日
«1769-1020»,«節中»,穀雨三月中いの三刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1769-1030»,«暦日1»,十六〳,つちのとのい,あやふ,木,　,●
«1769-1040»,«暦日2»,十七〳,かのえね,なる,土,　,神よし きこ
«1769-1050»,«暦日0»,十八〳,かのとのうし,おさん,,　,十し
«1769-1060»,«暦日2»,十九〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1769-1070»,«暦日0»,廿〳,みつのとのう,とつ,,　,わうまう  けんふく かといてよし
«1769-1080»,«暦日2»,廿一〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1769-1090»,«暦日0»,廿二〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1769-1100»,«暦日2»,廿三〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1769-1110»,«暦日0»,廿四〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1769-1120»,«暦日2»,廿五〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1769-1130»,«暦日0»,廿六〳,つちのとのとり,とる,,八十八や,神よし 大みやう 天おん ふく日
«1769-1140»,«暦日2»,廿七〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1769-1150»,«暦日0»,廿八〳,かのとのい,あやふ,,　,●
«1769-1160»,«暦日1»,廿九〳,みつのえね,なる,木,八せんのはしめ,神よし きしく 天おん 母倉 月とく きこ
«1769-1170»,«月序»,四月,小,建,己巳,軫宿　柳　土よう
«1769-1180»,«暦日1»,一〳,みつのとのうし,おさん,木,ま日,十し
«1769-1190»,«暦日1»,二〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1769-1200»,«節中»,立夏四月せつ今暁うしの八刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1769-1210»,«暦日1»,三〳,きのとのう,ひらく,水,　,神よし 母倉 月とく  さひらきよし
«1769-1220»,«暦日2»,四〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1769-1230»,«暦日0»,五〳,ひのとのみ,たつ,,　,●
«1769-1240»,«暦日2»,六〳,つちのえむま,のそく,火,ま日,くゑ日
«1769-1250»,«暦日0»,七〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1769-1260»,«暦日2»,八〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1769-1270»,«暦日0»,九〳,かのとのとり,さたん,,　,十し
«1769-1280»,«暦日2»,十〳,みつのえいぬ,とる,水,ま日,ふく日
«1769-1290»,«暦日0»,十一〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1769-1300»,«暦日2»,十二〳,きのえね,あやふ,金,　,天おん
«1769-1310»,«暦日0»,十三〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1769-1320»,«暦日2»,十四〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1769-1330»,«暦日0»,十五〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1769-1340»,«暦日2»,十六〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1769-1350»,«暦日0»,十七〳,つちのとのみ,たつ,,　,●
«1769-1360»,«節中»,小満四月中たつの五刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1769-1370»,«暦日2»,十八〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
