«1708-0000»,【 カンマ区切りテキスト形式です。】
«1708-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1708-1030»,«暦日2»,廿一〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1708-1040»,«暦日0»,廿二〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1708-1050»,«暦日2»,廿三〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1708-1060»,«暦日0»,廿四〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1708-1070»,«暦日2»,廿五〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1708-1080»,«暦日0»,廿六〳,みつのとのとり,とる,,　,神よし 大みやう
«1708-1090»,«暦日2»,廿七〳,きのえいぬ,やふる,火,　, くさかりよし
«1708-1100»,«暦日0»,廿八〳,きのとのい,あやふ,,　,●
«1708-1110»,«暦日2»,廿九〳,ひのえね,なる,水,とようとらの六刻ニ入,きこ
«1708-1120»,«暦日0»,卅〳,ひのとのうし,おさん,,　,十し
«1708-1130»,«月序»,三月,小,建,丙辰,鬼宿　胃　土よう
«1708-1140»,«暦日2»,一〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1708-1150»,«暦日0»,二〳,つちのとのう,とつ,,三月中うの二刻,神よし 大みやう ふく日
«1708-1160»,«暦日2»,三〳,かのえたつ,たつ,金,　,くゑ日
«1708-1170»,«暦日0»,四〳,かのとのみ,のそく,,　,ちう日
«1708-1180»,«暦日2»,五〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1708-1190»,«暦日0»,六〳,みつのとのひつし,たいら,,　,めつもん 地火
«1708-1200»,«暦日2»,七〳,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日 わうまう
«1708-1210»,«暦日0»,八〳,きのとのとり,とる,,　,神よし  くさかりよし
«1708-1220»,«暦日2»,九〳,ひのえいぬ,やふる,土,　,五む日
«1708-1230»,«暦日0»,十〳,ひのとのい,あやふ,,　,●
«1708-1240»,«暦日2»,十一〳,つちのえね,なる,火,　,きこ ふく日
«1708-1250»,«暦日0»,十二〳,つちのとのうし,おさん,,　,十し
«1708-1260»,«暦日2»,十三〳,かのえとら,ひらく,木,八十八や,ちいみ  いちたち  つめとりよし
«1708-1270»,«暦日0»,十四〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1708-1280»,«暦日2»,十五〳,みつのえたつ,たつ,水,　,大みやう 五む日
«1708-1290»,«暦日0»,十六〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1708-1300»,«暦日2»,十七〳,きのえむま,のそく,金,立夏四月せつみの八刻ニ入,天しや よろつよし
«1708-1310»,«暦日0»,十八〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1708-1320»,«暦日2»,十九〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1708-1330»,«暦日0»,廿〳,ひのとのとり,さたん,,　,十し
«1708-1340»,«暦日2»,廿一〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1708-1350»,«暦日0»,廿二〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1708-1360»,«暦日2»,廿三〳,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
