《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1210》,《暦日0》,八／,かのとのとり,さたん,,　,十し
《1220》,《暦日2》,九／,みつのえいぬ,とる,水,ま日,ふく日 わうまう
《1230》,《暦日0》,十／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1240》,《暦日2》,十一／,きのえね,あやふ,金,　
《1250》,《暦日0》,十二／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1260》,《暦日2》,十三／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1270》,《暦日0》,十四／,ひのとのう,ひらく,,　,神よし  わたましよし
《1280》,《暦日2》,十五／,つちのえたつ,とつ,木,　,きしく 五む日 くゑ日
《1290》,《暦日0》,十六／,つちのとのみ,たつ,,　,●
《1300》,《暦日2》,十七／,かのえむま,のそく,土,四月中さるの一刻,神よし  さひらき みそすつくりよし
《1310》,《暦日0》,十八／,かのとのひつし,みつ,,　,大みやう くゑ日
《1320》,《暦日2》,十九／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1330》,《暦日0》,廿／,みつのとのとり,さたん,,　,十し
《1340》,《暦日2》,廿一／,きのえいぬ,とる,火,　, やたて くらたてよし
《1350》,《暦日0》,廿二／,きのとのい,やふる,,　,ちう日
《1360》,《暦日2》,廿三／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1370》,《暦日0》,廿四／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1380》,《暦日2》,廿五／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1390》,《暦日0》,廿六／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1400》,《暦日2》,廿七／,かのえたつ,とつ,金,　, けんふくよし
《1410》,《暦日0》,廿八／,かのとのみ,たつ,,　,●
《1420》,《暦日1》,廿九／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1430》,《月序》,五月,大,建,丙午,胃宿　女　土よう
《1440》,《暦日1》,一／,みつのとのひつし,みつ,木,　,くゑ日
《1450》,《暦日2》,二／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1460》,《暦日0》,三／,きのとのとり,たいら,,五月せついぬの六刻ニ入,神よし めつもん 地火
《1470》,《暦日2》,四／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1480》,《暦日0》,五／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1490》,《暦日2》,六／,つちのえね,やふる,火,　,●
《1500》,《暦日0》,七／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1510》,《暦日2》,八／,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
《1520》,《暦日0》,九／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1530》,《暦日2》,十／,みつのえたつ,ひらく,水,入梅,大みやう 五む日
《1540》,《暦日0》,十一／,みつのとのみ,とつ,,天一天上,十し
《1550》,《暦日2》,十二／,きのえむま,たつ,金,　,天しや よろつよし
《1560》,《暦日0》,十三／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1570》,《暦日2》,十四／,ひのえさる,みつ,火,　,神よし きしく  入学 いちたちよし
《1580》,《暦日0》,十五／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1590》,《暦日2》,十六／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1600》,《暦日0》,十七／,つちのとのい,とる,,　,神よし ちう日
《1610》,《暦日2》,十八／,かのえね,やふる,土,　,●
《1620》,《暦日0》,十九／,かのとのうし,あやふ,,夏至五月中うしの三刻,神よし 五む日  つめとりよし
《1630》,《暦日2》,廿／,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
《1640》,《暦日0》,廿一／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1650》,《暦日2》,廿二／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1660》,《暦日0》,廿三／,きのとのみ,とつ,,　,十し
《1670》,《暦日2》,廿四／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1680》,《暦日0》,廿五／,ひのとのひつし,のそく,,　,神よし ふく日
《1690》,《暦日2》,廿六／,つちのえさる,みつ,土,　,神よし  入学よし
《1700》,《暦日0》,廿七／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1710》,《暦日2》,廿八／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1720》,《暦日0》,廿九／,かのとのい,とる,,はんけしやう,神よし 大みやう ちう日  入学よし
《1730》,《暦日1》,卅／,みつのえね,やふる,木,八せんのはしめ,●
《1740》,《月序》,六月,小,建,丁未,昴宿　危　月よう
《1750》,《暦日1》,一／,みつのとのうし,あやふ,木,ま日,ふく日  つめとりよし
《1760》,《食記》,日そく九分
《1770》,《暦日2》,二／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1780》,《暦日0》,三／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1790》,《暦日2》,四／,ひのえたつ,おさん,土,六月せつたつの初刻ニ入/ま日,大みやう めつもん  けんふくよし
《1800》,《暦日0》,五／,ひのとのみ,ひらく,,　,さい下しき くゑ日 ちう日
《1810》,《暦日2》,六／,つちのえむま,とつ,火,ま日,●
《1820》,《暦日0》,七／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1830》,《暦日2》,八／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
《1840》,《暦日0》,九／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1850》,《暦日2》,十／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1860》,《暦日0》,十一／,みつのとのい,さたん,,八せんのおはり,ちう日
《1870》,《暦日2》,十二／,きのえね,とる,金,　,きしく きこ 下しきたつの時
《1880》,《暦日0》,十三／,きのとのうし,やふる,,　,十し
《1890》,《暦日2》,十四／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《1900》,《暦日0》,十五／,ひのとのう,なる,,　,神よし 天火 らうしやく
《1910》,《暦日2》,十六／,つちのえたつ,おさん,木,とようむまの一刻ニ入,五む日 ふく日 めつもん
《1920》,《暦日0》,十七／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1930》,《暦日2》,十八／,かのえむま,とつ,土,初伏,●
