«1693-0000»,【 カンマ区切りテキスト形式です。】
«1693-1170»,«暦日0»,四〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1693-1180»,«暦日2»,五〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1693-1190»,«暦日0»,六〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1693-1200»,«暦日2»,七〳,かのえたつ,とつ,金,　, けんふくよし
«1693-1210»,«暦日0»,八〳,かのとのみ,たつ,,　,●
«1693-1220»,«暦日2»,九〳,みつのえむま,のそく,木,　,大みやう ふく日 わうまう
«1693-1230»,«暦日0»,十〳,みつのとのひつし,みつ,,　,くゑ日
«1693-1240»,«暦日2»,十一〳,きのえさる,たいら,水,十方くれニ入,神よし きしく 大みやう ちいみ 大くわ 地火
«1693-1250»,«暦日0»,十二〳,きのとのとり,さたん,,　,十し
«1693-1260»,«暦日2»,十三〳,ひのえいぬ,とる,土,　,さい下しき 五む日 ふく日  くさかりよし
«1693-1270»,«暦日0»,十四〳,ひのとのい,やふる,,　,大みやう ちう日
«1693-1280»,«暦日2»,十五〳,つちのえね,あやふ,火,　, けんふくよし
«1693-1290»,«暦日0»,十六〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1693-1300»,«暦日2»,十七〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1693-1310»,«暦日0»,十八〳,かのとのう,ひらく,,四月中うしの初刻,神よし  やたて ものたちよし
«1693-1320»,«暦日2»,十九〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1693-1330»,«暦日0»,廿〳,みつのとのみ,たつ,,天一天上,●
«1693-1340»,«暦日2»,廿一〳,きのえむま,のそく,金,　,天しや よろつよし
«1693-1350»,«暦日0»,廿二〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1693-1360»,«暦日2»,廿三〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1693-1370»,«暦日0»,廿四〳,ひのとのとり,さたん,,　,十し
«1693-1380»,«暦日2»,廿五〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1693-1390»,«暦日0»,廿六〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1693-1400»,«暦日2»,廿七〳,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
«1693-1410»,«暦日0»,廿八〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1693-1420»,«暦日2»,廿九〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1693-1430»,«暦日0»,卅〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1693-1440»,«月序»,五月,小,建,戊午,室宿　奎　木よう
«1693-1450»,«暦日2»,一〳,きのえたつ,とつ,火,　,大みやう
«1693-1460»,«暦日0»,二〳,きのとのみ,たつ,,　,●
«1693-1470»,«暦日2»,三〳,ひのえむま,たつ,水,五月せつうの五刻ニ入,大みやう くゑ日 下しきうの時
«1693-1480»,«暦日0»,四〳,ひのとのひつし,のそく,,　,神よし ふく日
«1693-1490»,«暦日2»,五〳,つちのえさる,みつ,土,　,神よし  入学よし
«1693-1500»,«暦日0»,六〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1693-1510»,«暦日2»,七〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1693-1520»,«暦日0»,八〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1693-1530»,«暦日2»,九〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1693-1540»,«暦日0»,十〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1693-1550»,«暦日2»,十一〳,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
«1693-1560»,«暦日0»,十二〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1693-1570»,«暦日2»,十三〳,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
«1693-1580»,«暦日0»,十四〳,ひのとのみ,とつ,,　,十し
«1693-1590»,«暦日2»,十五〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1693-1600»,«暦日0»,十六〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1693-1610»,«暦日2»,十七〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1693-1620»,«暦日0»,十八〳,かのとのとり,たいら,,夏至五月中むまの二刻,大みやう めつもん 地火 わうまう
«1693-1630»,«暦日2»,十九〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1693-1640»,«暦日0»,廿〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1693-1650»,«暦日2»,廿一〳,きのえね,やふる,金,　,●
«1693-1660»,«暦日0»,廿二〳,きのとのうし,あやふ,,　,神よし  つめとりよし
«1693-1670»,«暦日2»,廿三〳,ひのえとら,なる,火,　,きこ  つめとりよし
«1693-1680»,«暦日0»,廿四〳,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
«1693-1690»,«暦日2»,廿五〳,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
«1693-1700»,«暦日0»,廿六〳,つちのとのみ,とつ,,　,十し
«1693-1710»,«暦日2»,廿七〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1693-1720»,«暦日0»,廿八〳,かのとのひつし,のそく,,はんけしやう,大みやう  ふねのり 井ほりよし
«1693-1730»,«暦日1»,廿九〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1693-1740»,«月序»,六月,大,建,己未,壁宿　婁　金よう
«1693-1750»,«暦日1»,一〳,みつのとのとり,たいら,金,　,神よし 大みやう ふく日 めつもん 地火
«1693-1760»,«暦日2»,二〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1693-1770»,«暦日0»,三〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1693-1780»,«暦日2»,四〳,ひのえね,とる,水,六月せつさるの七刻ニ入,きこ 下しきたつの時
«1693-1790»,«暦日0»,五〳,ひのとのうし,やふる,,　,十し
«1693-1800»,«暦日2»,六〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1693-1810»,«暦日0»,七〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1693-1820»,«暦日2»,八〳,かのえたつ,おさん,金,　,きしく めつもん  けんふくよし
«1693-1830»,«暦日0»,九〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1693-1840»,«暦日2»,十〳,みつのえむま,とつ,木,　,●
«1693-1850»,«暦日0»,十一〳,みつのとのひつし,たつ,,　, たねまきよし
«1693-1860»,«暦日2»,十二〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
«1693-1870»,«暦日0»,十三〳,きのとのとり,みつ,,　,神よし ちいみ
«1693-1880»,«暦日2»,十四〳,ひのえいぬ,たいら,土,　,さい下しき 五む日 大くわ 地火
«1693-1890»,«暦日0»,十五〳,ひのとのい,さたん,,　,大みやう ちう日
«1693-1900»,«食記»,月帯そく皆既,　
«1693-1910»,«暦日2»,十六〳,つちのえね,とる,火,とよういの初刻ニ入,きこ ふく日 下しきたつの時
«1693-1920»,«暦日0»,十七〳,つちのとのうし,やふる,,　,十し
«1693-1930»,«暦日2»,十八〳,かのえとら,あやふ,木,初伏, やたて  つめとりよし
«1693-1940»,«暦日0»,十九〳,かのとのう,なる,,六月中いの四刻,神よし 天火 らうしやく
«1693-1950»,«暦日2»,廿〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1693-1960»,«暦日0»,廿一〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1693-1970»,«暦日2»,廿二〳,きのえむま,とつ,金,　,●
«1693-1980»,«暦日0»,廿三〳,きのとのひつし,たつ,,　,大みやう 五む日
«1693-1990»,«暦日2»,廿四〳,ひのえさる,のそく,火,　,神よし
«1693-2000»,«暦日0»,廿五〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1693-2010»,«暦日2»,廿六〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1693-2020»,«暦日0»,廿七〳,つちのとのい,さたん,,　,ちう日 ふく日 わうまう  ふねのりよし
«1693-2030»,«暦日2»,廿八〳,かのえね,とる,土,中伏,きこ 下しきたつの時
«1693-2040»,«暦日0»,廿九〳,かのとのうし,やふる,,　,十し
«1693-2050»,«暦日1»,卅〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1693-2060»,«月序»,七月,小,建,庚申,奎宿　昴　日よう
«1693-2070»,«暦日1»,一〳,みつのとのう,なる,金,　,神よし 天火 らうしやく
«1693-2080»,«暦日2»,二〳,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
«1693-2090»,«暦日0»,三〳,きのとのみ,ひらく,,　,大みやう ちう日
«1693-2100»,«暦日2»,四〳,ひのえむま,とつ,水,　,●
«1693-2110»,«暦日0»,五〳,ひのとのひつし,とつ,,立秋七月せつとらの一刻ニ入,神よし  いちたちよし
«1693-2120»,«暦日2»,六〳,つちのえさる,たつ,土,　,天しや よろつよし
«1693-2130»,«暦日0»,七〳,つちのとのとり,のそく,,　,十し
«1693-2140»,«暦日2»,八〳,かのえいぬ,みつ,金,末伏,大みやう ふく日
