《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1820》,《暦日2》,廿八／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1830》,《暦日0》,廿九／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1840》,《暦日1》,卅／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1850》,《月序》,六月,大,建,癸未,女宿　斗　木よう
《1860》,《暦日1》,一／,きのとのみ,ひらく,火,　,大みやう 母倉 ちう日
《1870》,《暦日2》,二／,ひのえむま,とつ,水,とよう今暁とらの八刻ニ入,●
《1880》,《暦日0》,三／,ひのとのひつし,たつ,,　,くゑ日
《1890》,《暦日2》,四／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1900》,《暦日0》,五／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1910》,《節中》,大暑六月中うの四刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1920》,《暦日2》,六／,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
《1930》,《暦日0》,七／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1940》,《暦日2》,八／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1950》,《暦日0》,九／,みつのとのうし,やふる,,ま日,十し
《1960》,《暦日2》,十／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1970》,《暦日0》,十一／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1980》,《暦日2》,十二／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1990》,《暦日0》,十三／,ひのとのみ,ひらく,,　,くゑ日 ちう日 わうまう
《2000》,《暦日2》,十四／,つちのえむま,とつ,火,ま日,●
《2010》,《暦日0》,十五／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《2020》,《暦日2》,十六／,かのえさる,のそく,木,　,神よし きしく 大みやう  くさかりよし
《2030》,《暦日0》,十七／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《2040》,《暦日2》,十八／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《2050》,《暦日0》,十九／,みつのとのい,さたん,,八せんのおはり,ちう日
