«1724-0000»,【 カンマ区切りテキスト形式です。】
«1724-1140»,«暦日0»,二〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1724-1150»,«暦日2»,三〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1724-1160»,«暦日0»,四〳,ひのとのひつし,たいら,,　,めつもん 地火 わうまう
«1724-1170»,«暦日2»,五〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1724-1180»,«暦日0»,六〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1724-1190»,«暦日2»,七〳,かのえいぬ,やふる,金,　,大みやう
«1724-1200»,«暦日0»,八〳,かのとのい,あやふ,,　,●
«1724-1210»,«暦日2»,九〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1724-1220»,«暦日0»,十〳,みつのとのうし,おさん,,ま日,十し
«1724-1230»,«暦日2»,十一〳,きのえとら,ひらく,水,八十八や,ちいみ  やたて  つめとりよし
«1724-1240»,«暦日0»,十二〳,きのとのう,とつ,,　,神よし  ものたちよし
«1724-1250»,«暦日2»,十三〳,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
«1724-1260»,«暦日0»,十四〳,ひのとのみ,のそく,,　,さい下しき ちう日  いちたちよし
«1724-1270»,«暦日2»,十五〳,つちのえむま,のそく,火,立夏四月せつたつの三刻ニ入|ま日,くゑ日
«1724-1280»,«暦日0»,十六〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1724-1290»,«暦日2»,十七〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1724-1300»,«暦日0»,十八〳,かのとのとり,さたん,,　,十し
«1724-1310»,«暦日2»,十九〳,みつのえいぬ,とる,水,ま日,ふく日
«1724-1320»,«暦日0»,廿〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1724-1330»,«暦日2»,廿一〳,きのえね,あやふ,金,　
«1724-1340»,«暦日0»,廿二〳,きのとのうし,なる,,　,きこ わうまう  かまぬり  つめとりよし
«1724-1350»,«暦日2»,廿三〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1724-1360»,«暦日0»,廿四〳,ひのとのう,ひらく,,　,神よし  わたましよし
«1724-1370»,«暦日2»,廿五〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1724-1380»,«暦日0»,廿六〳,つちのとのみ,たつ,,　,●
«1724-1390»,«暦日2»,廿七〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1724-1400»,«暦日0»,廿八〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1724-1410»,«暦日2»,廿九〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1724-1420»,«暦日0»,卅〳,みつのとのとり,さたん,,四月中むまの八刻,十し
«1724-1430»,«月序»,閏四月,小,隨節用之,室　火よう
«1724-1440»,«暦日2»,一〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1724-1450»,«暦日0»,二〳,きのとのい,やふる,,　,ちう日
«1724-1460»,«暦日2»,三〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1724-1470»,«暦日0»,四〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1724-1480»,«暦日2»,五〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1724-1490»,«暦日0»,六〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1724-1500»,«暦日2»,七〳,かのえたつ,とつ,金,　, けんふくよし
«1724-1510»,«暦日0»,八〳,かのとのみ,たつ,,　,●
«1724-1520»,«暦日2»,九〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1724-1530»,«暦日0»,十〳,みつのとのひつし,みつ,,　,くゑ日
«1724-1540»,«暦日2»,十一〳,きのえさる,たいら,水,十方くれニ入,神よし きしく 大みやう ちいみ 大くわ 地火
«1724-1550»,«暦日0»,十二〳,きのとのとり,さたん,,　,十し
«1724-1560»,«暦日2»,十三〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1724-1570»,«暦日0»,十四〳,ひのとのい,やふる,,　,大みやう ちう日
«1724-1580»,«暦日2»,十五〳,つちのえね,やふる,火,五月せつとりの五刻ニ入,●
«1724-1590»,«暦日0»,十六〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1724-1600»,«暦日2»,十七〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1724-1610»,«暦日0»,十八〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1724-1620»,«暦日2»,十九〳,みつのえたつ,ひらく,水,入梅,大みやう 五む日
«1724-1630»,«暦日0»,廿〳,みつのとのみ,とつ,,天一天上,十し
«1724-1640»,«暦日2»,廿一〳,きのえむま,たつ,金,　,天しや よろつよし
«1724-1650»,«暦日0»,廿二〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1724-1660»,«暦日2»,廿三〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1724-1670»,«暦日0»,廿四〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1724-1680»,«暦日2»,廿五〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1724-1690»,«暦日0»,廿六〳,つちのとのい,とる,,　,神よし ちう日
«1724-1700»,«暦日2»,廿七〳,かのえね,やふる,土,　,●
«1724-1710»,«暦日0»,廿八〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1724-1720»,«暦日1»,廿九〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1724-1730»,«月序»,五月,小,建,庚午,參宿　壁　水よう
«1724-1740»,«暦日1»,一〳,みつのとのう,おさん,金,夏至五月中夜ねの一刻,ちいみ 大くわ ふく日 わうまう
«1724-1750»,«暦日2»,二〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1724-1760»,«暦日0»,三〳,きのとのみ,とつ,,　,十し
«1724-1770»,«暦日2»,四〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1724-1780»,«暦日0»,五〳,ひのとのひつし,のそく,,　,神よし ふく日
«1724-1790»,«暦日2»,六〳,つちのえさる,みつ,土,　,神よし  入学よし
«1724-1800»,«暦日0»,七〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1724-1810»,«暦日2»,八〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1724-1820»,«暦日0»,九〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1724-1830»,«暦日2»,十〳,みつのえね,やふる,木,八せんのはしめ,●
«1724-1840»,«暦日0»,十一〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1724-1850»,«暦日2»,十二〳,きのえとら,なる,水,はんけしやう,きこ  田うへ  つめとりよし
«1724-1860»,«暦日0»,十三〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1724-1870»,«暦日2»,十四〳,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
«1724-1880»,«暦日0»,十五〳,ひのとのみ,とつ,,　,十し
«1724-1890»,«暦日2»,十六〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1724-1900»,«暦日0»,十七〳,つちのとのひつし,たつ,,六月せつとらの七刻ニ入,大みやう くゑ日 ふく日
«1724-1910»,«暦日2»,十八〳,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
«1724-1920»,«暦日0»,十九〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1724-1930»,«暦日2»,廿〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1724-1940»,«暦日0»,廿一〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1724-1950»,«暦日2»,廿二〳,きのえね,とる,金,　,きこ 下しきたつの時
«1724-1960»,«暦日0»,廿三〳,きのとのうし,やふる,,　,十し
«1724-1970»,«暦日2»,廿四〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
«1724-1980»,«暦日0»,廿五〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1724-1990»,«暦日2»,廿六〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1724-2000»,«暦日0»,廿七〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1724-2010»,«暦日2»,廿八〳,かのえむま,とつ,土,初伏,●
«1724-2020»,«暦日0»,廿九〳,かのとのひつし,たつ,,とようたつの七刻ニ入,大みやう  かといて ふねのりよし
«1724-2030»,«月序»,六月,大,建,辛未,井宿　奎　木よう
«1724-2040»,«暦日2»,一〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1724-2050»,«暦日0»,二〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1724-2060»,«暦日2»,三〳,きのえいぬ,たいら,火,六月中みの三刻,大くわ 地火  わたましよし
«1724-2070»,«暦日0»,四〳,きのとのい,さたん,,　,ちう日
«1724-2080»,«暦日2»,五〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1724-2090»,«暦日0»,六〳,ひのとのうし,やふる,,　,十し
«1724-2100»,«暦日2»,七〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1724-2110»,«暦日0»,八〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1724-2120»,«暦日2»,九〳,かのえたつ,おさん,金,中伏,きしく めつもん  けんふくよし
«1724-2130»,«暦日0»,十〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1724-2140»,«暦日2»,十一〳,みつのえむま,とつ,木,　,●
«1724-2150»,«暦日0»,十二〳,みつのとのひつし,たつ,,　, たねまきよし
«1724-2160»,«暦日2»,十三〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
«1724-2170»,«暦日0»,十四〳,きのとのとり,みつ,,　,神よし ちいみ
«1724-2180»,«暦日2»,十五〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1724-2190»,«暦日0»,十六〳,ひのとのい,さたん,,　,大みやう ちう日
«1724-2200»,«暦日2»,十七〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1724-2210»,«暦日0»,十八〳,つちのとのうし,とる,,立秋七月せつさるの初刻ニ入,●
«1724-2220»,«暦日2»,十九〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1724-2230»,«暦日0»,廿〳,かのとのう,あやふ,,　,神よし
«1724-2240»,«暦日2»,廿一〳,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
«1724-2250»,«暦日0»,廿二〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1724-2260»,«暦日2»,廿三〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1724-2270»,«暦日0»,廿四〳,きのとのひつし,とつ,,　,大みやう 五む日
«1724-2280»,«暦日2»,廿五〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1724-2290»,«暦日0»,廿六〳,ひのとのとり,のそく,,　,十し
«1724-2300»,«暦日2»,廿七〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
