«1817-0000»,【 カンマ区切りテキスト形式です。】
«1817-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1817-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1817-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1817-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1817-0050»,【 外部リンク　】
«1817-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/52 ～ 56】
«1817-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1817h　(翻刻編集終了データを表成型して表示します)】
«1817-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1817ht (翻刻編集中データを表成型して表示します)】
«1817-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1817-0100»,«版元»,出版地○○,出版元□□□,　
«1817-1100»,«節中»,立夏四月せついの四刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1817-1110»,«暦日2»,廿三〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1817-1120»,«暦日0»,廿四〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1817-1130»,«暦日2»,廿五〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1817-1140»,«暦日0»,廿六〳,つちのとのみ,たつ,,　,●
«1817-1150»,«暦日2»,廿七〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1817-1160»,«暦日0»,廿八〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1817-1170»,«暦日2»,廿九〳,みつのえさる,たいら,金,　,大みやう ちいみ 大くわ ふく日 地火 わうまう
«1817-1180»,«暦日0»,卅〳,みつのとのとり,さたん,,　,十し
«1817-1190»,«月序»,四月,大,建,乙巳,婁宿　牛　金よう
«1817-1200»,«暦日1»,一〳,きのえいぬ,とる,火,　
«1817-1210»,«食記»,日そくニ分,　
«1817-1220»,«暦日1»,二〳,きのとのい,やふる,火,　,月とく ちう日
«1817-1230»,«暦日2»,三〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1817-1240»,«暦日0»,四〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1817-1250»,«暦日2»,五〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1817-1260»,«暦日0»,六〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1817-1270»,«暦日2»,七〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1817-1280»,«暦日0»,八〳,かのとのみ,たつ,,　,●
