《1766-0000》,# カンマ区切りテキスト形式です。
《1766-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1766-0020》,# ・表の区画内での改行は“/”で表記します。
《1766-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1766-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1766-0050》,# 外部リンク
《1766-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/101 ～ 105
《1766-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1766g　(GitHub上データを表成型)
《1766-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1766h　(翻刻編集データを表成型 - 未実装)
《1766-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1766-0100》,《版元》,出版地○○,出版元□□□,　
《1766-0970》,《暦日0》,十／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1766-0980》,《暦日2》,十一／,かのえたつ,たつ,金,とよう今暁とらの一刻ニ入,くゑ日
《1766-0990》,《暦日0》,十二／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1766-1000》,《暦日2》,十三／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1766-1010》,《暦日0》,十四／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1766-1020》,《節中》,穀雨三月中今暁とらの六刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1766-1030》,《暦日2》,十五／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1766-1040》,《暦日0》,十六／,きのとのとり,とる,,　,神よし  くさかりよし
《1766-1050》,《暦日2》,十七／,ひのえいぬ,やふる,土,　,五む日
《1766-1060》,《暦日0》,十八／,ひのとのい,あやふ,,　,●
《1766-1070》,《暦日2》,十九／,つちのえね,なる,火,　,母倉 きこ ふく日
《1766-1080》,《暦日0》,廿／,つちのとのうし,おさん,,　,十し
《1766-1090》,《暦日2》,廿一／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1766-1100》,《暦日0》,廿二／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1766-1110》,《暦日2》,廿三／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1766-1120》,《暦日0》,廿四／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1766-1130》,《暦日2》,廿五／,きのえむま,みつ,金,八十八や,神よし 母倉 天火 らうしやく  ふねのりよし
《1766-1140》,《暦日0》,廿六／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1766-1150》,《暦日2》,廿七／,ひのえさる,さたん,火,　,くゑ日
《1766-1160》,《暦日0》,廿八／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1766-1170》,《暦日1》,廿九／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1766-1180》,《節中》,立夏四月せつみの三刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1766-1190》,《暦日1》,卅／,つちのとのい,やふる,木,　,くゑ日 ちう日
《1766-1200》,《月序》,四月,小,建,癸巳,觜宿　鬼　金よう
《1766-1210》,《暦日2》,一／,かのえね,あやふ,土,　,神よし きしく 月とく  わたまし たねまきよし
《1766-1220》,《暦日0》,二／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1766-1230》,《暦日2》,三／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1766-1240》,《暦日0》,四／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1766-1250》,《暦日2》,五／,きのえたつ,とつ,火,　,大みやう
《1766-1260》,《暦日0》,六／,きのとのみ,たつ,,　,●
《1766-1270》,《暦日2》,七／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1766-1280》,《暦日0》,八／,ひのとのひつし,みつ,,　,くゑ日
《1766-1290》,《暦日2》,九／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1766-1300》,《暦日0》,十／,つちのとのとり,さたん,,　,十し
《1766-1310》,《暦日2》,十一／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1766-1320》,《暦日0》,十二／,かのとのい,やふる,,　,さい下しき 神よし 大みやう 天おん ちう日  さひらきよし
《1766-1330》,《暦日2》,十三／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1766-1340》,《暦日0》,十四／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1766-1350》,《節中》,小満四月中ひつしの八刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1766-1360》,《暦日2》,十五／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1766-1370》,《暦日0》,十六／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1766-1380》,《暦日2》,十七／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1766-1390》,《暦日0》,十八／,ひのとのみ,たつ,,　,●
《1766-1400》,《暦日2》,十九／,つちのえむま,のそく,火,ま日,くゑ日
《1766-1410》,《暦日0》,廿／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1766-1420》,《暦日2》,廿一／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1766-1430》,《暦日0》,廿二／,かのとのとり,さたん,,　,十し
《1766-1440》,《暦日2》,廿三／,みつのえいぬ,とる,水,ま日,ふく日
《1766-1450》,《暦日0》,廿四／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1766-1460》,《暦日2》,廿五／,きのえね,あやふ,金,　,天おん
《1766-1470》,《暦日0》,廿六／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1766-1480》,《暦日2》,廿七／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1766-1490》,《暦日0》,廿八／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1766-1500》,《暦日1》,廿九／,つちのえたつ,ひらく,木,　,きしく 天おん 五む日  かまぬり 田うへよし
《1766-1510》,《節中》,芒種五月せついぬの五刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1766-1520》,《月序》,五月,大,建,甲午,參宿　柳　土よう
《1766-1530》,《暦日1》,一／,つちのとのみ,とつ,木,　,十し
《1766-1540》,《暦日2》,二／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1766-1550》,《暦日0》,三／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1766-1560》,《暦日2》,四／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1766-1570》,《暦日0》,五／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1766-1580》,《暦日2》,六／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1766-1590》,《暦日0》,七／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1766-1600》,《暦日2》,八／,ひのえね,やふる,水,　,●
《1766-1610》,《暦日0》,九／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1766-1620》,《暦日2》,十／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1766-1630》,《暦日0》,十一／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1766-1640》,《暦日2》,十二／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1766-1650》,《暦日0》,十三／,かのとのみ,とつ,,　,十し
《1766-1660》,《暦日2》,十四／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1766-1670》,《暦日0》,十五／,みつのとのひつし,のそく,,　,天おん ふく日 わうまう  田うへよし
《1766-1680》,《暦日1》,十六／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
