《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1220》,《暦日0》,二／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1230》,《暦日2》,三／,ひのえむま,みつ,水,　,大みやう 母倉 天火 らうしやく わうまう
《1240》,《暦日0》,四／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1250》,《暦日2》,五／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1260》,《暦日0》,六／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1270》,《暦日2》,七／,かのえいぬ,やふる,金,　,大みやう 天おん
《1280》,《暦日0》,八／,かのとのい,あやふ,,　,●
《1290》,《暦日2》,九／,みつのえね,なる,木,八十八や/八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1300》,《暦日0》,十／,みつのとのうし,おさん,,ま日,十し
《1310》,《暦日2》,十一／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1320》,《暦日0》,十二／,きのとのう,とつ,,　,神よし  ものたちよし
《1330》,《暦日2》,十三／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1340》,《暦日0》,十四／,ひのとのみ,たつ,,　,●
《1350》,《節中》,立夏四月せつ今暁とらの四刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1360》,《暦日2》,十五／,つちのえむま,のそく,火,ま日,くゑ日
《1370》,《暦日0》,十六／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1380》,《暦日2》,十七／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1390》,《暦日0》,十八／,かのとのとり,さたん,,　,十し
《1400》,《暦日2》,十九／,みつのえいぬ,とる,水,ま日,ふく日
《1410》,《暦日0》,廿／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1420》,《暦日2》,廿一／,きのえね,あやふ,金,　,天おん わうまう
《1430》,《暦日0》,廿二／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1440》,《暦日2》,廿三／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1450》,《暦日0》,廿四／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1460》,《暦日2》,廿五／,つちのえたつ,とつ,木,　,きしく 五む日 くゑ日
《1470》,《暦日0》,廿六／,つちのとのみ,たつ,,　,●
《1480》,《暦日2》,廿七／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1490》,《暦日0》,廿八／,かのとのひつし,みつ,,　,大みやう くゑ日
《1500》,《暦日1》,廿九／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1510》,《節中》,小満四月中みの一刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1520》,《月序》,五月,大,建,甲午,心宿　軫　水よう
《1530》,《暦日1》,一／,みつのとのとり,さたん,金,　,十し
《1540》,《暦日2》,二／,きのえいぬ,とる,火,　, やたて くらたてよし
《1550》,《暦日0》,三／,きのとのい,やふる,,　,月とく ちう日
《1560》,《暦日2》,四／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1570》,《暦日0》,五／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1580》,《暦日2》,六／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1590》,《暦日0》,七／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1600》,《暦日2》,八／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1610》,《暦日0》,九／,かのとのみ,たつ,,　,●
《1620》,《暦日2》,十／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1630》,《暦日0》,十一／,みつのとのひつし,みつ,,　,くゑ日
《1640》,《暦日2》,十二／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1650》,《暦日0》,十三／,きのとのとり,さたん,,　,十し
《1660》,《暦日2》,十四／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1670》,《暦日0》,十五／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1680》,《節中》,芒種五月せつひつしの六刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1690》,《暦日2》,十六／,つちのえね,やふる,火,　,●
《1700》,《暦日0》,十七／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1710》,《暦日2》,十八／,かのえとら,なる,木,　,さい下しき 母倉 きこ  井ほり  つめとりよし
《1720》,《暦日0》,十九／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1730》,《暦日2》,廿／,みつのえたつ,ひらく,水,入梅,大みやう 五む日
《1740》,《暦日0》,廿一／,みつのとのみ,とつ,,天一天上,十し
《1750》,《暦日2》,廿二／,きのえむま,たつ,金,　,天しや よろつよし
《1760》,《暦日0》,廿三／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1770》,《暦日2》,廿四／,ひのえさる,みつ,火,　,神よし きしく 月とく  入学 いちたちよし
《1780》,《暦日0》,廿五／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1790》,《暦日2》,廿六／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1800》,《暦日0》,廿七／,つちのとのい,とる,,　,神よし ちう日
《1810》,《暦日2》,廿八／,かのえね,やふる,土,　,●
《1820》,《暦日0》,廿九／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1830》,《暦日1》,卅／,みつのえとら,なる,金,　,大みやう 母倉 きこ わうまう  くさかり  つめとりよし
《1840》,《節中》,夏至五月中いぬの三刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1850》,《月序》,閏五月,小,隨節用之,亢　金よう
《1860》,《暦日1》,一／,みつのとのう,おさん,金,　,母倉 ちいみ 大くわ ふく日
《1870》,《暦日2》,二／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1880》,《暦日0》,三／,きのとのみ,とつ,,　,十し
《1890》,《暦日2》,四／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1900》,《暦日0》,五／,ひのとのひつし,のそく,,　,神よし ふく日
《1910》,《暦日2》,六／,つちのえさる,みつ,土,　,神よし  入学よし
《1920》,《暦日0》,七／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1930》,《暦日2》,八／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1940》,《暦日0》,九／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1950》,《暦日2》,十／,みつのえね,やふる,木,はんけしやう/八せんのはしめ,●
《1960》,《暦日0》,十一／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1970》,《暦日2》,十二／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1980》,《暦日0》,十三／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1990》,《暦日2》,十四／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《2000》,《暦日0》,十五／,ひのとのみ,とつ,,　,十し
《2010》,《暦日1》,十六／,つちのえむま,とつ,火,ま日,●
《2020》,《節中》,小暑六月せつ今暁うしの初刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《2030》,《暦日1》,十七／,つちのとのひつし,たつ,火,　,大みやう くゑ日 ふく日
《2040》,《暦日2》,十八／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
