《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/186 ～ 190
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1740g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1740h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0720》,《暦日2》,十七／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《0730》,《暦日0》,十八／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《0740》,《暦日2》,十九／,かのえとら,とつ,木,　,きこ  つめとりよし
《0750》,《暦日0》,廿／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0760》,《暦日2》,廿一／,みつのえたつ,のそく,水,　,●
《0770》,《暦日0》,廿二／,みつのとのみ,みつ,,天一天上,十し
《0780》,《暦日2》,廿三／,きのえむま,たいら,金,　,大くわ 地火 わうまう
《0790》,《暦日0》,廿四／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0800》,《暦日1》,廿五／,ひのえさる,とる,火,　,神よし
《0810》,《節中》,春分二月中むまの七刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0820》,《暦日1》,廿六／,ひのとのとり,やふる,火,　,さい下しき  あさまき たねかしよし
《0830》,《暦日2》,廿七／,つちのえいぬ,あやふ,木,社日/ひかんニなる, かといてよし
《0840》,《暦日0》,廿八／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《0850》,《暦日2》,廿九／,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
《0860》,《暦日0》,卅／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0870》,《月序》,三月,小,建,庚辰,奎宿　心　月よう
《0880》,《暦日2》,一／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0890》,《暦日0》,二／,みつのとのう,たつ,,　,天火 らうしやく
《0900》,《暦日2》,三／,きのえたつ,のそく,火,　,●
《0910》,《暦日0》,四／,きのとのみ,みつ,,　,十し
《0920》,《暦日2》,五／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0930》,《暦日0》,六／,ひのとのひつし,さたん,,　,神よし ちいみ
《0940》,《暦日2》,七／,つちのえさる,とる,土,　,神よし  たねまきよし
《0950》,《暦日0》,八／,つちのとのとり,やふる,,　,大みやう
《0960》,《暦日2》,九／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《0970》,《暦日0》,十／,かのとのい,あやふ,,　,●
《0980》,《節中》,清明三月せつとりの四刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0990》,《暦日2》,十一／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1000》,《暦日0》,十二／,みつのとのうし,おさん,,ま日,十し
《1010》,《暦日2》,十三／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1020》,《暦日0》,十四／,きのとのう,とつ,,　,神よし  ものたちよし
《1030》,《暦日2》,十五／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1040》,《暦日0》,十六／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《1050》,《暦日2》,十七／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《1060》,《暦日0》,十八／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1070》,《暦日2》,十九／,かのえさる,さたん,木,　,きしく 大みやう くゑ日
《1080》,《暦日0》,廿／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1090》,《暦日2》,廿一／,みつのえいぬ,やふる,水,ま日
《1100》,《暦日0》,廿二／,みつのとのい,あやふ,,八せんのおはり/とよういの五刻ニ入,●
《1110》,《暦日2》,廿三／,きのえね,なる,金,　,くゑ日 きこ
《1120》,《暦日0》,廿四／,きのとのうし,おさん,,　,十し
《1130》,《暦日1》,廿五／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1140》,《節中》,穀雨三月中夜ねの一刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1150》,《暦日1》,廿六／,ひのとのう,とつ,火,　,くゑ日  たねまきよし
《1160》,《暦日2》,廿七／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1170》,《暦日0》,廿八／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1180》,《暦日1》,廿九／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1190》,《月序》,四月,小,建,辛巳,婁宿　尾　火よう
《1200》,《暦日1》,一／,かのとのひつし,たいら,土,　,大みやう めつもん 地火 わうまう
《1210》,《暦日2》,二／,みつのえさる,さたん,金,　,大みやう くゑ日
《1220》,《暦日0》,三／,みつのとのとり,とる,,　,神よし 大みやう
《1230》,《暦日2》,四／,きのえいぬ,やふる,火,　, くさかりよし
《1240》,《暦日0》,五／,きのとのい,あやふ,,　,●
《1250》,《暦日2》,六／,ひのえね,なる,水,　,きこ
《1260》,《暦日0》,七／,ひのとのうし,おさん,,八十八や,十し
《1270》,《暦日2》,八／,つちのえとら,ひらく,土,　,天しや よろつよし
《1280》,《暦日0》,九／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《1290》,《暦日2》,十／,かのえたつ,たつ,金,　,くゑ日
《1300》,《暦日0》,十一／,かのとのみ,のそく,,　,ちう日
《1310》,《節中》,立夏四月せつ翌とらの六刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1320》,《暦日2》,十二／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1330》,《暦日0》,十三／,みつのとのひつし,みつ,,　,くゑ日
《1340》,《暦日2》,十四／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1350》,《暦日0》,十五／,きのとのとり,さたん,,　,十し
《1360》,《暦日2》,十六／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1370》,《暦日0》,十七／,ひのとのい,やふる,,　,大みやう ちう日
《1380》,《暦日2》,十八／,つちのえね,あやふ,火,　,きしく  けんふくよし
《1390》,《暦日0》,十九／,つちのとのうし,なる,,　,きこ わうまう  つめとりよし
《1400》,《暦日2》,廿／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1410》,《暦日0》,廿一／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1420》,《暦日2》,廿二／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1430》,《暦日0》,廿三／,みつのとのみ,たつ,,天一天上,●
《1440》,《暦日2》,廿四／,きのえむま,のそく,金,　,天しや よろつよし
《1450》,《暦日0》,廿五／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1460》,《暦日2》,廿六／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1470》,《暦日0》,廿七／,ひのとのとり,さたん,,　,十し
《1480》,《節中》,小満四月中みの三刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1490》,《暦日2》,廿八／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1500》,《暦日0》,廿九／,つちのとのい,やふる,,　,くゑ日 ちう日
《1510》,《月序》,五月,大,建,壬午,胃宿　箕　水よう
《1520》,《暦日2》,一／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1530》,《暦日0》,二／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1540》,《暦日2》,三／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1550》,《暦日0》,四／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1560》,《暦日2》,五／,きのえたつ,とつ,火,　,大みやう
《1570》,《暦日0》,六／,きのとのみ,たつ,,　,●
《1580》,《暦日2》,七／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
