«1686-0000»,【 カンマ区切りテキスト形式です。】
«1686-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1686-1110»,«暦日2»,廿八〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1686-1120»,«暦日0»,廿九〳,みつのとのひつし,たいら,,三月中いの三刻,めつもん 地火
«1686-1130»,«暦日1»,卅〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1686-1140»,«月序»,閏三月,小,觜　火よう
«1686-1150»,«暦日1»,一〳,きのとのとり,とる,水,　,神よし  くさかりよし
«1686-1160»,«暦日2»,二〳,ひのえいぬ,やふる,土,　,五む日
«1686-1170»,«暦日0»,三〳,ひのとのい,あやふ,,　,●
«1686-1180»,«暦日2»,四〳,つちのえね,なる,火,　,きしく きこ ふく日 わうまう
«1686-1190»,«暦日0»,五〳,つちのとのうし,おさん,,　,十し
«1686-1200»,«暦日2»,六〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1686-1210»,«暦日0»,七〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1686-1220»,«暦日2»,八〳,みつのえたつ,たつ,水,　,大みやう 五む日
«1686-1230»,«暦日0»,九〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1686-1240»,«暦日2»,十〳,きのえむま,みつ,金,八十八や,神よし 天火 らうしやく  ふねのりよし
«1686-1250»,«暦日0»,十一〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1686-1260»,«暦日2»,十二〳,ひのえさる,さたん,火,　,くゑ日
«1686-1270»,«暦日0»,十三〳,ひのとのとり,とる,,　,神よし  いちたちよし
«1686-1280»,«暦日2»,十四〳,つちのえいぬ,やふる,木,　,ふく日
«1686-1290»,«暦日0»,十五〳,つちのとのい,やふる,,立夏四月せつうしの八刻ニ入,くゑ日 ちう日
«1686-1300»,«暦日2»,十六〳,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
«1686-1310»,«暦日0»,十七〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1686-1320»,«暦日2»,十八〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1686-1330»,«暦日0»,十九〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1686-1340»,«暦日2»,廿〳,きのえたつ,とつ,火,　,大みやう
«1686-1350»,«暦日0»,廿一〳,きのとのみ,たつ,,　,●
«1686-1360»,«暦日2»,廿二〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日 わうまう
«1686-1370»,«暦日0»,廿三〳,ひのとのひつし,みつ,,　,くゑ日
«1686-1380»,«暦日2»,廿四〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1686-1390»,«暦日0»,廿五〳,つちのとのとり,さたん,,　,十し
«1686-1400»,«暦日2»,廿六〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
