《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1070》,《暦日0》,廿／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1080》,《暦日2》,廿一／,かのえさる,さたん,木,　,大みやう くゑ日
《1090》,《暦日0》,廿二／,かのとのとり,とる,,　,大みやう わうまう  井ほりよし
《1100》,《暦日2》,廿三／,みつのえいぬ,やふる,水,ま日,月とく
《1110》,《暦日0》,廿四／,みつのとのい,あやふ,,八せんのおはり,●
《1120》,《暦日2》,廿五／,きのえね,なる,金,　,くゑ日 きこ
《1130》,《暦日0》,廿六／,きのとのうし,おさん,,　,十し
《1140》,《暦日2》,廿七／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1150》,《暦日0》,廿八／,ひのとのう,とつ,,八十八や,くゑ日  たねまきよし
《1160》,《暦日2》,廿九／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1170》,《暦日0》,卅／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1180》,《月序》,四月,小,建,癸巳,婁宿　室　火よう
《1190》,《暦日2》,一／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1200》,《暦日0》,二／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1210》,《暦日1》,三／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1220》,《節中》,立夏四月せつ今暁とらの七刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1230》,《暦日1》,四／,みつのとのとり,さたん,金,　,十し
《1240》,《暦日2》,五／,きのえいぬ,とる,火,　, やたて くらたてよし
《1250》,《暦日0》,六／,きのとのい,やふる,,　,月とく ちう日
《1260》,《暦日2》,七／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1270》,《暦日0》,八／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1280》,《暦日2》,九／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1290》,《暦日0》,十／,つちのとのう,ひらく,,　,大みやう 天おん 母倉 わうまう  入学よし
《1300》,《暦日2》,十一／,かのえたつ,とつ,金,　,きしく 天おん 月とく  けんふくよし
《1310》,《暦日0》,十二／,かのとのみ,たつ,,　,●
《1320》,《暦日2》,十三／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
