«1810-0000»,【 カンマ区切りテキスト形式です。】
«1810-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1810-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1810-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1810-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1810-0050»,【 外部リンク　】
«1810-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/24 ～ 27】
«1810-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1810h　(翻刻編集終了データを表成型して表示します)】
«1810-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1810ht (翻刻編集中データを表成型して表示します)】
«1810-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1810-0100»,«版元»,出版地○○,出版元□□□,　
«1810-1080»,«暦日1»,廿〳,きのえいぬ,やふる,火,　, くさかりよし
«1810-1090»,«節中»,穀雨三月中今暁ねの五刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1810-1100»,«暦日1»,廿一〳,きのとのい,あやふ,火,　,●
«1810-1110»,«暦日2»,廿二〳,ひのえね,なる,水,　,きこ
«1810-1120»,«暦日0»,廿三〳,ひのとのうし,おさん,,　,十し
«1810-1130»,«暦日2»,廿四〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1810-1140»,«暦日0»,廿五〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1810-1150»,«暦日2»,廿六〳,かのえたつ,たつ,金,　,くゑ日
«1810-1160»,«暦日0»,廿七〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1810-1170»,«暦日2»,廿八〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1810-1180»,«暦日0»,廿九〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1810-1190»,«月序»,四月,大,建,辛巳,婁宿　奎　木よう
«1810-1200»,«暦日2»,一〳,きのえさる,さたん,水,八十八や|十方くれニ入,大みやう くゑ日
«1810-1210»,«暦日0»,二〳,きのとのとり,とる,,　,神よし  くさかりよし
«1810-1220»,«暦日2»,三〳,ひのえいぬ,やふる,土,　,五む日
«1810-1230»,«暦日0»,四〳,ひのとのい,あやふ,,　,●
