《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/105 ～ 111
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1767g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1767h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《1280》,《暦日0》,八／,かのとのうし,おさん,,　,十し
《1290》,《暦日2》,九／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1300》,《暦日0》,十／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1310》,《節中》,立夏四月せつさるの二刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1320》,《暦日2》,十一／,きのえたつ,とつ,火,　,きしく 大みやう
《1330》,《暦日0》,十二／,きのとのみ,たつ,,　,●
《1340》,《暦日2》,十三／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1350》,《暦日0》,十四／,ひのとのひつし,みつ,,　,くゑ日
《1360》,《暦日2》,十五／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1370》,《暦日0》,十六／,つちのとのとり,さたん,,　,十し
《1380》,《暦日2》,十七／,かのえいぬ,とる,金,　,大みやう 天おん 月とく わうまう  やたて くさかりよし
《1390》,《暦日0》,十八／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1400》,《暦日2》,十九／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1410》,《暦日0》,廿／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1420》,《暦日2》,廿一／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1430》,《暦日0》,廿二／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1440》,《暦日2》,廿三／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1450》,《暦日0》,廿四／,ひのとのみ,たつ,,　,●
《1460》,《暦日1》,廿五／,つちのえむま,のそく,火,ま日,くゑ日
《1470》,《節中》,小満四月中いぬの七刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1480》,《暦日1》,廿六／,つちのとのひつし,みつ,火,　,大みやう くゑ日
《1490》,《暦日2》,廿七／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1500》,《暦日0》,廿八／,かのとのとり,さたん,,　,十し
