《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1360》,《暦日2》,十六／,きのえむま,のそく,金,　,天しや よろつよし
《1370》,《暦日0》,十七／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1380》,《暦日2》,十八／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1390》,《暦日0》,十九／,ひのとのとり,さたん,,　,十し
《1400》,《暦日2》,廿／,つちのえいぬ,とる,木,　,わうまう  くらたて かまぬりよし
《1410》,《暦日0》,廿一／,つちのとのい,やふる,,　,くゑ日 ちう日
《1420》,《暦日2》,廿二／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1430》,《暦日0》,廿三／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1440》,《暦日2》,廿四／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1450》,《暦日0》,廿五／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1460》,《暦日2》,廿六／,きのえたつ,とつ,火,　,大みやう
《1470》,《暦日0》,廿七／,きのとのみ,たつ,,　,●
《1480》,《暦日2》,廿八／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1490》,《暦日0》,廿九／,ひのとのひつし,みつ,,　,くゑ日
《1500》,《節中》,小満四月中明六時一分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1510》,《月序》,閏四月,小,隨節用之,鬼　金よう
《1520》,《暦日2》,一／,つちのえさる,たいら,土,　,神よし きしく ちいみ 大くわ 地火
《1530》,《暦日0》,二／,つちのとのとり,さたん,,　,十し
《1540》,《暦日2》,三／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1550》,《暦日0》,四／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1560》,《暦日2》,五／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1570》,《暦日0》,六／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1580》,《暦日2》,七／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1590》,《暦日0》,八／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1600》,《暦日2》,九／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1610》,《暦日0》,十／,ひのとのみ,たつ,,　,●
《1620》,《暦日2》,十一／,つちのえむま,のそく,火,ま日,くゑ日
《1630》,《暦日0》,十二／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1640》,《暦日2》,十三／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1650》,《暦日0》,十四／,かのとのとり,さたん,,　,十し
《1660》,《暦日1》,十五／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1670》,《節中》,芒種五月せつ暮六時三分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1680》,《暦日1》,十六／,みつのとのい,とる,水,八せんのおはり,ちう日 ふく日
《1690》,《暦日2》,十七／,きのえね,やふる,金,　,●
《1700》,《暦日0》,十八／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1710》,《暦日2》,十九／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1720》,《暦日0》,廿／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1730》,《暦日2》,廿一／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1740》,《暦日0》,廿二／,つちのとのみ,とつ,,　,十し
《1750》,《暦日2》,廿三／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1760》,《暦日0》,廿四／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1770》,《暦日2》,廿五／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1780》,《暦日0》,廿六／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1790》,《暦日2》,廿七／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1800》,《暦日0》,廿八／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1810》,《暦日1》,廿九／,ひのえね,やふる,水,　,●
《1820》,《月序》,五月,大,建,戊午,室宿　柳　土よう
《1830》,《暦日1》,一／,ひのとのうし,あやふ,水,　,大みやう ふく日 わうまう  ものたち  つめとりよし
《1840》,《暦日1》,二／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1850》,《節中》,夏至五月中昼九時四分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1860》,《暦日1》,三／,つちのとのう,おさん,土,　,大みやう 天おん 母倉 ちいみ 大くわ
《1870》,《暦日2》,四／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1880》,《暦日0》,五／,かのとのみ,とつ,,　,十し
《1890》,《暦日2》,六／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1900》,《暦日0》,七／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1910》,《暦日2》,八／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1920》,《暦日0》,九／,きのとのとり,たいら,,　,神よし めつもん 地火
《1930》,《暦日2》,十／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1940》,《暦日0》,十一／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1950》,《暦日2》,十二／,つちのえね,やふる,火,　,●
《1960》,《暦日0》,十三／,つちのとのうし,あやふ,,はんけしやう, 田うへ  つめとりよし
《1970》,《暦日2》,十四／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1980》,《暦日0》,十五／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1990》,《暦日2》,十六／,みつのえたつ,ひらく,水,　,大みやう 五む日
《2000》,《暦日0》,十七／,みつのとのみ,とつ,,天一天上,十し
《2010》,《暦日1》,十八／,きのえむま,とつ,金,　,●
《2020》,《節中》,小暑六月せつ朝五時ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《2030》,《暦日1》,十九／,きのとのひつし,たつ,金,　,大みやう 五む日
《2040》,《暦日2》,廿／,ひのえさる,のそく,火,　,神よし
《2050》,《暦日0》,廿一／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《2060》,《暦日2》,廿二／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2070》,《暦日0》,廿三／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《2080》,《暦日2》,廿四／,かのえね,とる,土,初伏,きこ 下しきたつの時
《2090》,《暦日0》,廿五／,かのとのうし,やふる,,　,十し
《2100》,《暦日2》,廿六／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2110》,《暦日0》,廿七／,みつのとのう,なる,,　,神よし 天火 らうしやく
《2120》,《暦日2》,廿八／,きのえたつ,おさん,火,　,きしく 大みやう 月とく めつもん  わたましよし
《2130》,《暦日0》,廿九／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《2140》,《暦日1》,卅／,ひのえむま,とつ,水,とよう朝四時九分ニ入,●
《2150》,《月序》,六月,小,建,己未,壁宿　張　月よう
《2160》,《暦日1》,一／,ひのとのひつし,たつ,水,　,くゑ日
《2170》,《暦日2》,二／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2180》,《暦日0》,三／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《2190》,《暦日1》,四／,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
《2200》,《節中》,大暑六月中今暁九時日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2210》,《暦日1》,五／,かのとのい,さたん,金,　,大みやう 天おん ちう日
《2220》,《暦日2》,六／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《2230》,《暦日0》,七／,みつのとのうし,やふる,,ま日,十し
《2240》,《暦日2》,八／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《2250》,《暦日0》,九／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2260》,《暦日2》,十／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《2270》,《暦日0》,十一／,ひのとのみ,ひらく,,　,さい下しき くゑ日 ちう日 わうまう
《2280》,《暦日2》,十二／,つちのえむま,とつ,火,ま日,●
《2290》,《暦日0》,十三／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《2300》,《暦日2》,十四／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
《2310》,《暦日0》,十五／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《2320》,《暦日2》,十六／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《2330》,《暦日0》,十七／,みつのとのい,さたん,,八せんのおはり,ちう日
《2340》,《暦日2》,十八／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《2350》,《暦日0》,十九／,きのとのうし,とる,,　,●
《2360》,《節中》,立秋七月せつ昼八時七分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《2370》,《暦日2》,廿／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2380》,《暦日0》,廿一／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2390》,《暦日2》,廿二／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2400》,《暦日0》,廿三／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2410》,《暦日2》,廿四／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《2420》,《暦日0》,廿五／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2430》,《暦日2》,廿六／,みつのえさる,たつ,金,　,神よし きしく 大みやう 月とく 下しきみの時
《2440》,《暦日0》,廿七／,みつのとのとり,のそく,,　,十し
《2450》,《暦日2》,廿八／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2460》,《暦日0》,廿九／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2470》,《月序》,七月,小,建,庚申,奎宿　翼　火よう
《2480》,《暦日2》,一／,ひのえね,さたん,水,　, 田かりよし
《2490》,《暦日0》,二／,ひのとのうし,とる,,　,●
《2500》,《暦日2》,三／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2510》,《暦日0》,四／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2520》,《暦日2》,五／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《2530》,《暦日0》,六／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2540》,《節中》,処暑七月中明六時八分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《2550》,《暦日2》,七／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2560》,《暦日0》,八／,みつのとのひつし,とつ,,　,天おん 母倉
《2570》,《暦日2》,九／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2580》,《暦日0》,十／,きのとのとり,のそく,,　,十し
《2590》,《暦日2》,十一／,ひのえいぬ,みつ,土,　,母倉 五む日
《2600》,《暦日0》,十二／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2610》,《暦日2》,十三／,つちのえね,さたん,火,　, けんふく くさかりよし
《2620》,《暦日0》,十四／,つちのとのうし,とる,,二百十日,●
《2630》,《暦日2》,十五／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2640》,《暦日0》,十六／,かのとのう,あやふ,,　,神よし
《2650》,《暦日2》,十七／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2660》,《暦日0》,十八／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2670》,《暦日2》,十九／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2680》,《暦日0》,廿／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2690》,《暦日1》,廿一／,ひのえさる,とつ,火,　,神よし
