《1866-0000》,# カンマ区切りテキスト形式です。
《1866-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1866-1330》,《暦日2》,十三／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1866-1340》,《暦日0》,十四／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1866-1350》,《暦日2》,十五／,きのえたつ,とつ,火,　,大みやう
《1866-1360》,《暦日0》,十六／,きのとのみ,たつ,,　,●
《1866-1370》,《暦日2》,十七／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1866-1380》,《暦日0》,十八／,ひのとのひつし,みつ,,　,くゑ日
《1866-1390》,《暦日2》,十九／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1866-1400》,《暦日0》,廿／,つちのとのとり,さたん,,　,十し
《1866-1410》,《暦日2》,廿一／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1866-1420》,《暦日0》,廿二／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1866-1430》,《暦日1》,廿三／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1866-1440》,《節中》,芒種五月せつ朝五時七分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1866-1450》,《暦日1》,廿四／,みつのとのうし,あやふ,木,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1866-1460》,《暦日2》,廿五／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1866-1470》,《暦日0》,廿六／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1866-1480》,《暦日2》,廿七／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1866-1490》,《暦日0》,廿八／,ひのとのみ,とつ,,　,十し
《1866-1500》,《暦日1》,廿九／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1866-1510》,《月序》,五月,小,建,甲午,胃宿　壁　水よう
《1866-1520》,《暦日1》,一／,つちのとのひつし,のそく,火,　,神よし 大みやう  みそすつくり 田うへよし
《1866-1530》,《暦日2》,二／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1866-1540》,《暦日0》,三／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1866-1550》,《暦日2》,四／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1866-1560》,《暦日0》,五／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1866-1570》,《暦日2》,六／,きのえね,やふる,金,　,●
《1866-1580》,《暦日0》,七／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1866-1590》,《暦日2》,八／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1866-1600》,《暦日0》,九／,ひのとのう,おさん,,　,さい下しき 天おん 母倉 ちいみ 大くわ ふく日 わうまう
《1866-1610》,《暦日1》,十／,つちのえたつ,ひらく,木,　,きしく 天おん 五む日  かまぬり 田うへよし
《1866-1620》,《節中》,夏至五月中今暁八時一分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1866-1630》,《暦日1》,十一／,つちのとのみ,とつ,木,　,十し
《1866-1640》,《暦日2》,十二／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1866-1650》,《暦日0》,十三／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1866-1660》,《暦日2》,十四／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1866-1670》,《暦日0》,十五／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1866-1680》,《暦日2》,十六／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1866-1690》,《暦日0》,十七／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1866-1700》,《暦日2》,十八／,ひのえね,やふる,水,　,●
《1866-1710》,《暦日0》,十九／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1866-1720》,《暦日2》,廿／,つちのえとら,なる,土,はんけしやう,母倉 きこ  みそすつくり  つめとりよし
《1866-1730》,《暦日0》,廿一／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1866-1740》,《暦日2》,廿二／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1866-1750》,《暦日0》,廿三／,かのとのみ,とつ,,　,十し
《1866-1760》,《暦日2》,廿四／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1866-1770》,《暦日0》,廿五／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1866-1780》,《節中》,小暑六月せつ夕七時七分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1866-1790》,《暦日2》,廿六／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《1866-1800》,《暦日0》,廿七／,きのとのとり,みつ,,　,神よし ちいみ
《1866-1810》,《暦日2》,廿八／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1866-1820》,《暦日0》,廿九／,ひのとのい,さたん,,　,大みやう ちう日
《1866-1830》,《月序》,六月,小,建,乙未,昴宿　奎　木よう
《1866-1840》,《暦日2》,一／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1866-1850》,《暦日0》,二／,つちのとのうし,やふる,,　,十し
《1866-1860》,《暦日2》,三／,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
《1866-1870》,《暦日0》,四／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
