《1836-0000》,# カンマ区切りテキスト形式です。
《1836-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1836-0020》,# ・表の区画内での改行は“/”で表記します。
《1836-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1836-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1836-0050》,# 外部リンク
《1836-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/134 ～ 138
《1836-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1836g　(GitHub上データを表成型)
《1836-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1836h　(翻刻編集データを表成型 - 未実装)
《1836-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1836-0100》,《版元》,出版地○○,出版元□□□,　
《1836-0900》,《暦日0》,四／,ひのとのい,あやふ,,とよううの五刻ニ入,●
《1836-0910》,《暦日2》,五／,つちのえね,なる,火,　,母倉 きこ ふく日
《1836-0920》,《暦日0》,六／,つちのとのうし,おさん,,　,十し
《1836-0930》,《暦日1》,七／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1836-0940》,《節中》,穀雨三月中たつの一刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1836-0950》,《暦日1》,八／,かのとのう,とつ,木,　,神よし  わたまし ものたちよし
《1836-0960》,《暦日2》,九／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1836-0970》,《暦日0》,十／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1836-0980》,《暦日2》,十一／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1836-0990》,《暦日0》,十二／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火 わうまう  ものたちよし
《1836-1000》,《暦日2》,十三／,ひのえさる,さたん,火,　,くゑ日
《1836-1010》,《暦日0》,十四／,ひのとのとり,とる,,　,さい下しき 神よし 月とく  いちたちよし
《1836-1020》,《暦日2》,十五／,つちのえいぬ,やふる,木,　,ふく日
《1836-1030》,《暦日0》,十六／,つちのとのい,あやふ,,　,●
《1836-1040》,《暦日2》,十七／,かのえね,なる,土,　,神よし きこ
《1836-1050》,《暦日0》,十八／,かのとのうし,おさん,,八十八や,十し
《1836-1060》,《暦日2》,十九／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1836-1070》,《暦日0》,廿／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1836-1080》,《暦日2》,廿一／,きのえたつ,たつ,火,　,きしく 大みやう くゑ日
《1836-1090》,《暦日0》,廿二／,きのとのみ,たつ,,　,●
《1836-1100》,《節中》,立夏四月せつむまの七刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1836-1110》,《暦日2》,廿三／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1836-1120》,《暦日0》,廿四／,ひのとのひつし,みつ,,　,くゑ日
《1836-1130》,《暦日2》,廿五／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1836-1140》,《暦日0》,廿六／,つちのとのとり,さたん,,　,十し
《1836-1150》,《暦日2》,廿七／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1836-1160》,《暦日0》,廿八／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1836-1170》,《暦日1》,廿九／,みつのえね,あやふ,木,八せんのはしめ,天おん ふく日 わうまう  くらたてよし
《1836-1180》,《月序》,四月,大,建,癸巳,觜宿　房　日よう
《1836-1190》,《暦日1》,一／,みつのとのうし,なる,木,ま日,天おん きこ  つめとりよし
《1836-1200》,《暦日2》,二／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1836-1210》,《暦日0》,三／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1836-1220》,《暦日2》,四／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1836-1230》,《暦日0》,五／,ひのとのみ,たつ,,　,●
《1836-1240》,《暦日2》,六／,つちのえむま,のそく,火,ま日,くゑ日
《1836-1250》,《暦日0》,七／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1836-1260》,《暦日1》,八／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1836-1270》,《節中》,小満四月中とりの三刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1836-1280》,《暦日1》,九／,かのとのとり,さたん,木,　,十し
《1836-1290》,《暦日2》,十／,みつのえいぬ,とる,水,ま日,ふく日
《1836-1300》,《暦日0》,十一／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1836-1310》,《暦日2》,十二／,きのえね,あやふ,金,　,天おん
《1836-1320》,《暦日0》,十三／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1836-1330》,《暦日2》,十四／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1836-1340》,《暦日0》,十五／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1836-1350》,《暦日2》,十六／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1836-1360》,《暦日0》,十七／,つちのとのみ,たつ,,　,●
《1836-1370》,《暦日2》,十八／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1836-1380》,《暦日0》,十九／,かのとのひつし,みつ,,　,大みやう くゑ日
《1836-1390》,《暦日2》,廿／,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
《1836-1400》,《暦日0》,廿一／,みつのとのとり,さたん,,　,十し
《1836-1410》,《暦日2》,廿二／,きのえいぬ,とる,火,　, やたて くらたてよし
