«1799-0000»,【 カンマ区切りテキスト形式です。】
«1799-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1799-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1799-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1799-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1799-0050»,【 外部リンク　】
«1799-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/256 ～ 261】
«1799-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1799h　(翻刻編集終了データを表成型して表示します)】
«1799-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1799ht (翻刻編集中データを表成型して表示します)】
«1799-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1799-0100»,«版元»,出版地○○,出版元□□□,　
«1799-0790»,«暦日0»,廿三〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1799-0800»,«暦日2»,廿四〳,みつのえね,おさん,木,八せんのはしめ,神よし きしく 天おん 母倉 めつもん  あさまきよし
«1799-0810»,«暦日0»,廿五〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1799-0820»,«暦日2»,廿六〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1799-0830»,«暦日0»,廿七〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1799-0840»,«暦日2»,廿八〳,ひのえたつ,のそく,土,ま日,●
«1799-0850»,«暦日0»,廿九〳,ひのとのみ,みつ,,　,十し
«1799-0860»,«暦日1»,卅〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1799-0870»,«月序»,三月,大,建,戊辰,鬼宿　亢　金よう
«1799-0880»,«暦日1»,一〳,つちのとのひつし,さたん,火,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1799-0890»,«暦日2»,二〳,かのえさる,とる,木,　,さい下しき 神よし 大みやう
«1799-0900»,«暦日0»,三〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1799-0910»,«節中»,清明三月せつ今暁うしの八刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1799-0920»,«暦日2»,四〳,みつのえいぬ,やふる,水,ま日,月とく
«1799-0930»,«暦日0»,五〳,みつのとのい,あやふ,,八せんのおはり,●
«1799-0940»,«暦日2»,六〳,きのえね,なる,金,　,くゑ日 きこ
