《1778-0000》,# カンマ区切りテキスト形式です。
《1778-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1778-0020》,# ・表の区画内での改行は“/”で表記します。
《1778-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1778-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1778-0050》,# 外部リンク
《1778-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/160 ～ 164
《1778-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1778g　(GitHub上データを表成型)
《1778-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1778h　(翻刻編集データを表成型 - 未実装)
《1778-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1778-0100》,《版元》,出版地○○,出版元□□□,　
《1778-0770》,《暦日0》,廿二／,みつのとのうし,ひらく,,ま日,天おん わうまう  つめとりよし
《1778-0780》,《暦日2》,廿三／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《1778-0790》,《暦日0》,廿四／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1778-0800》,《節中》,春分二月中とりの八刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1778-0810》,《暦日2》,廿五／,ひのえたつ,のそく,土,ま日,●
《1778-0820》,《暦日0》,廿六／,ひのとのみ,みつ,,　,十し
《1778-0830》,《暦日2》,廿七／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《1778-0840》,《暦日0》,廿八／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《1778-0850》,《暦日2》,廿九／,かのえさる,とる,木,　,神よし きしく 大みやう
《1778-0860》,《暦日0》,卅／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1778-0870》,《月序》,三月,小,建,丙辰,鬼宿　星　日よう
《1778-0880》,《暦日2》,一／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1778-0890》,《暦日0》,二／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1778-0900》,《暦日2》,三／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1778-0910》,《暦日0》,四／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1778-0920》,《暦日2》,五／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1778-0930》,《暦日0》,六／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《1778-0940》,《暦日2》,七／,つちのえたつ,のそく,木,　,●
《1778-0950》,《暦日0》,八／,つちのとのみ,みつ,,　,十し
《1778-0960》,《暦日2》,九／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1778-0970》,《暦日0》,十／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1778-0980》,《節中》,清明三月せつ今暁ねの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1778-0990》,《暦日2》,十一／,みつのえさる,さたん,金,　,大みやう くゑ日
《1778-1000》,《暦日0》,十二／,みつのとのとり,とる,,　,神よし 大みやう
《1778-1010》,《暦日2》,十三／,きのえいぬ,やふる,火,　, くさかりよし
《1778-1020》,《暦日0》,十四／,きのとのい,あやふ,,　,●
《1778-1030》,《暦日2》,十五／,ひのえね,なる,水,　,きこ
《1778-1040》,《暦日0》,十六／,ひのとのうし,おさん,,　,十し
《1778-1050》,《暦日2》,十七／,つちのえとら,ひらく,土,　,天しや よろつよし
《1778-1060》,《暦日0》,十八／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1778-1070》,《暦日2》,十九／,かのえたつ,たつ,金,　,くゑ日
《1778-1080》,《暦日0》,廿／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1778-1090》,《暦日2》,廿一／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1778-1100》,《暦日0》,廿二／,みつのとのひつし,たいら,,とよう今暁とらの六刻ニ入,天おん めつもん 地火
《1778-1110》,《暦日2》,廿三／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1778-1120》,《暦日0》,廿四／,きのとのとり,とる,,　,神よし  くさかりよし
《1778-1130》,《暦日1》,廿五／,ひのえいぬ,やふる,土,　,五む日
《1778-1140》,《節中》,穀雨三月中うの二刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1778-1150》,《暦日1》,廿六／,ひのとのい,あやふ,土,　,●
《1778-1160》,《暦日2》,廿七／,つちのえね,なる,火,　,きしく 母倉 きこ ふく日
《1778-1170》,《暦日0》,廿八／,つちのとのうし,おさん,,　,十し
《1778-1180》,《暦日1》,廿九／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1778-1190》,《月序》,四月,小,建,丁巳,柳宿　張　月よう
《1778-1200》,《暦日1》,一／,かのとのう,とつ,木,　,わうまう  わたまし ものたちよし
《1778-1210》,《暦日2》,二／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1778-1220》,《暦日0》,三／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1778-1230》,《暦日2》,四／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1778-1240》,《暦日0》,五／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1778-1250》,《暦日2》,六／,ひのえさる,さたん,火,　,くゑ日
《1778-1260》,《暦日0》,七／,ひのとのとり,とる,,八十八や,神よし 月とく  いちたちよし
《1778-1270》,《暦日2》,八／,つちのえいぬ,やふる,木,　,ふく日
《1778-1280》,《暦日0》,九／,つちのとのい,あやふ,,　,●
《1778-1290》,《暦日2》,十／,かのえね,なる,土,　,神よし きこ
《1778-1300》,《暦日0》,十一／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1778-1310》,《節中》,立夏四月せつみの七刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1778-1320》,《暦日2》,十二／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1778-1330》,《暦日0》,十三／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1778-1340》,《暦日2》,十四／,きのえたつ,とつ,火,　,大みやう
《1778-1350》,《暦日0》,十五／,きのとのみ,たつ,,　,●
《1778-1360》,《暦日2》,十六／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1778-1370》,《暦日0》,十七／,ひのとのひつし,みつ,,　,くゑ日
《1778-1380》,《暦日2》,十八／,つちのえさる,たいら,土,　,ちいみ 大くわ 地火 わうまう
《1778-1390》,《暦日0》,十九／,つちのとのとり,さたん,,　,十し
《1778-1400》,《暦日2》,廿／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1778-1410》,《暦日0》,廿一／,かのとのい,やふる,,　,さい下しき 神よし 大みやう 天おん ちう日  さひらきよし
《1778-1420》,《暦日2》,廿二／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1778-1430》,《暦日0》,廿三／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1778-1440》,《暦日2》,廿四／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1778-1450》,《暦日0》,廿五／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1778-1460》,《暦日1》,廿六／,ひのえたつ,とつ,土,ま日,きしく 大みやう ふく日
《1778-1470》,《節中》,小満四月中さるの四刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1778-1480》,《暦日1》,廿七／,ひのとのみ,たつ,土,　,●
《1778-1490》,《暦日2》,廿八／,つちのえむま,のそく,火,ま日,くゑ日
《1778-1500》,《暦日0》,廿九／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1778-1510》,《月序》,五月,大,建,戊午,星宿　翼　火よう
《1778-1520》,《暦日2》,一／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1778-1530》,《暦日0》,二／,かのとのとり,さたん,,　,十し
《1778-1540》,《暦日2》,三／,みつのえいぬ,とる,水,ま日,ふく日
《1778-1550》,《暦日0》,四／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1778-1560》,《暦日2》,五／,きのえね,あやふ,金,　,天おん
《1778-1570》,《暦日0》,六／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1778-1580》,《暦日2》,七／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1778-1590》,《暦日0》,八／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1778-1600》,《暦日2》,九／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1778-1610》,《暦日0》,十／,つちのとのみ,たつ,,　,●
《1778-1620》,《暦日2》,十一／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1778-1630》,《暦日0》,十二／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1778-1640》,《節中》,芒種五月せついの一刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1778-1650》,《暦日2》,十三／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1778-1660》,《暦日0》,十四／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1778-1670》,《暦日2》,十五／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1778-1680》,《暦日0》,十六／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1778-1690》,《暦日2》,十七／,ひのえね,やふる,水,　,●
《1778-1700》,《暦日0》,十八／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1778-1710》,《暦日2》,十九／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1778-1720》,《暦日0》,廿／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1778-1730》,《暦日2》,廿一／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1778-1740》,《暦日0》,廿二／,かのとのみ,とつ,,　,十し
《1778-1750》,《暦日2》,廿三／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1778-1760》,《暦日0》,廿四／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1778-1770》,《暦日2》,廿五／,きのえさる,みつ,水,十方くれニ入,神よし きしく 大みやう
《1778-1780》,《暦日0》,廿六／,きのとのとり,たいら,,　,神よし めつもん 地火
《1778-1790》,《暦日2》,廿七／,ひのえいぬ,さたん,土,　,月とく 五む日 わうまう  むきかりよし
《1778-1800》,《暦日0》,廿八／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1778-1810》,《節中》,夏至五月中今暁うしの六刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1778-1820》,《暦日2》,廿九／,つちのえね,やふる,火,　,●
《1778-1830》,《暦日0》,卅／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1778-1840》,《月序》,六月,小,建,己未,張宿　角　木よう
《1778-1850》,《暦日2》,一／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1778-1860》,《暦日0》,二／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1778-1870》,《暦日2》,三／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1778-1880》,《暦日0》,四／,みつのとのみ,とつ,,天一天上,十し
《1778-1890》,《暦日2》,五／,きのえむま,たつ,金,　,天しや よろつよし
《1778-1900》,《暦日0》,六／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1778-1910》,《暦日2》,七／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1778-1920》,《暦日0》,八／,ひのとのとり,たいら,,はんけしやう,神よし ふく日 めつもん 地火
《1778-1930》,《暦日2》,九／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1778-1940》,《暦日0》,十／,つちのとのい,とる,,　,神よし ちう日
《1778-1950》,《暦日2》,十一／,かのえね,やふる,土,　,●
《1778-1960》,《暦日0》,十二／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1778-1970》,《暦日1》,十三／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1778-1980》,《節中》,小暑六月せつたつの三刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1778-1990》,《暦日1》,十四／,みつのとのう,なる,金,　,神よし 天火 らうしやく
《1778-2000》,《暦日2》,十五／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1778-2010》,《暦日0》,十六／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《1778-2020》,《暦日2》,十七／,ひのえむま,とつ,水,　,●
《1778-2030》,《暦日0》,十八／,ひのとのひつし,たつ,,　,くゑ日
《1778-2040》,《暦日2》,十九／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1778-2050》,《暦日0》,廿／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1778-2060》,《暦日2》,廿一／,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
《1778-2070》,《暦日0》,廿二／,かのとのい,さたん,,　,さい下しき 大みやう 天おん ちう日
《1778-2080》,《暦日2》,廿三／,みつのえね,とる,木,八せんのはしめ,きしく 天おん きこ 下しきたつの時
《1778-2090》,《暦日0》,廿四／,みつのとのうし,やふる,,ま日,十し
《1778-2100》,《暦日2》,廿五／,きのえとら,あやふ,水,とようむまの四刻ニ入,母倉 月とく  やたて  つめとりよし
《1778-2110》,《暦日0》,廿六／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1778-2120》,《暦日2》,廿七／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1778-2130》,《暦日0》,廿八／,ひのとのみ,ひらく,,　,くゑ日 ちう日
