«1750-0000»,【 カンマ区切りテキスト形式です。】
«1750-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1750-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1750-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1750-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1750-0050»,【 外部リンク　】
«1750-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/23 ～ 28】
«1750-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1750h　(翻刻編集終了データを表成型して表示します)】
«1750-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1750ht (翻刻編集中データを表成型して表示します)】
«1750-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1750-0100»,«版元»,出版地○○,出版元□□□,　
«1750-1350»,«暦日0»,十七〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1750-1360»,«節中»,小満四月中いぬの二刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1750-1370»,«暦日2»,十八〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1750-1380»,«暦日0»,十九〳,かのとのう,ひらく,,　,神よし  やたて ものたちよし
«1750-1390»,«暦日2»,廿〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1750-1400»,«暦日0»,廿一〳,みつのとのみ,たつ,,天一天上,●
«1750-1410»,«暦日2»,廿二〳,きのえむま,のそく,金,　,天しや よろつよし
«1750-1420»,«暦日0»,廿三〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1750-1430»,«暦日2»,廿四〳,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
«1750-1440»,«暦日0»,廿五〳,ひのとのとり,さたん,,　,十し
«1750-1450»,«暦日2»,廿六〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1750-1460»,«暦日0»,廿七〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1750-1470»,«暦日2»,廿八〳,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
«1750-1480»,«暦日0»,廿九〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1750-1490»,«月序»,五月,大,建,壬午,星宿　角　木よう
«1750-1500»,«暦日2»,一〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1750-1510»,«暦日0»,二〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1750-1520»,«暦日1»,三〳,きのえたつ,とつ,火,　,大みやう
«1750-1530»,«節中»,芒種五月せつ翌ねの八刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1750-1540»,«暦日1»,四〳,きのとのみ,とつ,火,　,十し
«1750-1550»,«暦日2»,五〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1750-1560»,«暦日0»,六〳,ひのとのひつし,のそく,,　,さい下しき 神よし ふく日
«1750-1570»,«暦日2»,七〳,つちのえさる,みつ,土,　,神よし  入学よし
«1750-1580»,«暦日0»,八〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1750-1590»,«暦日2»,九〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1750-1600»,«暦日0»,十〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1750-1610»,«暦日2»,十一〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1750-1620»,«暦日0»,十二〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1750-1630»,«暦日2»,十三〳,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
«1750-1640»,«暦日0»,十四〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1750-1650»,«暦日2»,十五〳,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
«1750-1660»,«暦日0»,十六〳,ひのとのみ,とつ,,　,十し
«1750-1670»,«食記»,月帯そく
«1750-1680»,«暦日2»,十七〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1750-1690»,«暦日0»,十八〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1750-1700»,«暦日1»,十九〳,かのえさる,みつ,木,　,大みやう わうまう  入学 むきかりよし
«1750-1710»,«節中»,夏至五月中翌うの五刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1750-1720»,«暦日1»,廿〳,かのとのとり,たいら,木,　,神よし 大みやう めつもん 地火
«1750-1730»,«暦日2»,廿一〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1750-1740»,«暦日0»,廿二〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1750-1750»,«暦日2»,廿三〳,きのえね,やふる,金,　,●
«1750-1760»,«暦日0»,廿四〳,きのとのうし,あやふ,,　,神よし  つめとりよし
«1750-1770»,«暦日2»,廿五〳,ひのえとら,なる,火,　,きこ  つめとりよし
«1750-1780»,«暦日0»,廿六〳,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
«1750-1790»,«暦日2»,廿七〳,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
«1750-1800»,«暦日0»,廿八〳,つちのとのみ,とつ,,　,十し
«1750-1810»,«暦日2»,廿九〳,かのえむま,たつ,土,はんけしやう,下しきうの時  むきかりよし
«1750-1820»,«暦日0»,卅〳,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
«1750-1830»,«月序»,六月,小,建,癸未,張宿　氐　土よう
«1750-1840»,«暦日2»,一〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1750-1850»,«暦日0»,二〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1750-1860»,«暦日2»,三〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1750-1870»,«暦日0»,四〳,きのとのい,さたん,,　,ちう日
«1750-1880»,«節中»,小暑六月せつむまの一刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1750-1890»,«暦日2»,五〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1750-1900»,«暦日0»,六〳,ひのとのうし,やふる,,　,十し
«1750-1910»,«暦日2»,七〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1750-1920»,«暦日0»,八〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1750-1930»,«暦日2»,九〳,かのえたつ,おさん,金,初伏,めつもん  けんふくよし
«1750-1940»,«暦日0»,十〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1750-1950»,«暦日2»,十一〳,みつのえむま,とつ,木,　,●
«1750-1960»,«暦日0»,十二〳,みつのとのひつし,たつ,,　, たねまきよし
«1750-1970»,«暦日2»,十三〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
«1750-1980»,«暦日0»,十四〳,きのとのとり,みつ,,　,神よし ちいみ
«1750-1990»,«暦日2»,十五〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1750-2000»,«暦日0»,十六〳,ひのとのい,さたん,,とようさるの二刻ニ入,大みやう ちう日
«1750-2010»,«暦日2»,十七〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1750-2020»,«暦日0»,十八〳,つちのとのうし,やふる,,　,十し
«1750-2030»,«暦日1»,十九〳,かのえとら,あやふ,木,中伏, やたて  つめとりよし
«1750-2040»,«節中»,大暑六月中さるの七刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1750-2050»,«暦日1»,廿〳,かのとのう,なる,木,　,神よし 天火 らうしやく
«1750-2060»,«暦日2»,廿一〳,みつのえたつ,おさん,水,　,きしく 大みやう 五む日 めつもん
«1750-2070»,«暦日0»,廿二〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1750-2080»,«暦日2»,廿三〳,きのえむま,とつ,金,　,●
«1750-2090»,«暦日0»,廿四〳,きのとのひつし,たつ,,　,大みやう 五む日
«1750-2100»,«暦日2»,廿五〳,ひのえさる,のそく,火,　,神よし
«1750-2110»,«暦日0»,廿六〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1750-2120»,«暦日2»,廿七〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火 わうまう
«1750-2130»,«暦日0»,廿八〳,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
«1750-2140»,«暦日1»,廿九〳,かのえね,とる,土,　,きこ 下しきたつの時
«1750-2150»,«月序»,七月,大,建,甲申,翼宿　房　日よう
«1750-2160»,«暦日1»,一〳,かのとのうし,やふる,土,　,十し
«1750-2170»,«暦日2»,二〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1750-2180»,«暦日0»,三〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1750-2190»,«暦日2»,四〳,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
«1750-2200»,«暦日0»,五〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1750-2210»,«節中»,立秋七月せついの三刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1750-2220»,«暦日2»,六〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1750-2230»,«暦日0»,七〳,ひのとのひつし,とつ,,　,さい下しき 神よし  いちたちよし
«1750-2240»,«暦日2»,八〳,つちのえさる,たつ,土,　,天しや よろつよし
