«1711-0000»,【 カンマ区切りテキスト形式です。】
«1711-1480»,«暦日2»,四〳,みつのえたつ,ひらく,水,　,さい下しき きしく 大みやう 五む日
«1711-1490»,«暦日0»,五〳,みつのとのみ,とつ,,天一天上,十し
«1711-1500»,«暦日2»,六〳,きのえむま,たつ,金,　,天しや よろつよし
«1711-1510»,«暦日0»,七〳,きのとのひつし,のそく,,夏至五月中いぬの四刻,大みやう 五む日 わうまう  むきかりよし
«1711-1520»,«暦日2»,八〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1711-1530»,«暦日0»,九〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1711-1540»,«暦日2»,十〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1711-1550»,«暦日0»,十一〳,つちのとのい,とる,,　,神よし ちう日
«1711-1560»,«暦日2»,十二〳,かのえね,やふる,土,　,●
«1711-1570»,«暦日0»,十三〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1711-1580»,«暦日2»,十四〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1711-1590»,«暦日0»,十五〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1711-1600»,«暦日2»,十六〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1711-1610»,«暦日0»,十七〳,きのとのみ,とつ,,はんけしやう,十し
«1711-1620»,«暦日2»,十八〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1711-1630»,«暦日0»,十九〳,ひのとのひつし,のそく,,　,神よし ふく日
«1711-1640»,«暦日2»,廿〳,つちのえさる,みつ,土,　,神よし  入学よし
«1711-1650»,«暦日0»,廿一〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1711-1660»,«暦日2»,廿二〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1711-1670»,«暦日0»,廿三〳,かのとのい,さたん,,六月せつうしの一刻ニ入,大みやう ちう日
«1711-1680»,«暦日2»,廿四〳,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
«1711-1690»,«暦日0»,廿五〳,みつのとのうし,やふる,,ま日,十し
«1711-1700»,«暦日2»,廿六〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1711-1710»,«暦日0»,廿七〳,きのとのう,なる,,　,神よし 天火 らうしやく
«1711-1720»,«暦日2»,廿八〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1711-1730»,«暦日0»,廿九〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1711-1740»,«暦日1»,卅〳,つちのえむま,とつ,火,ま日,●
«1711-1750»,«月序»,六月,小,建,乙未,尾宿　井　木よう
«1711-1760»,«暦日1»,一〳,つちのとのひつし,たつ,火,　,大みやう くゑ日 ふく日
«1711-1770»,«暦日2»,二〳,かのえさる,のそく,木,初伏,神よし きしく 大みやう  くさかりよし
«1711-1780»,«暦日0»,三〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1711-1790»,«暦日2»,四〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1711-1800»,«暦日0»,五〳,みつのとのい,さたん,,八せんのおはり|とよううの二刻ニ入,ちう日
«1711-1810»,«暦日2»,六〳,きのえね,とる,金,　,きこ 下しきたつの時
«1711-1820»,«暦日0»,七〳,きのとのうし,やふる,,　,十し
«1711-1830»,«暦日2»,八〳,ひのえとら,あやふ,火,六月中うの六刻, わたまし  つめとりよし
«1711-1840»,«暦日0»,九〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1711-1850»,«暦日2»,十〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1711-1860»,«暦日0»,十一〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1711-1870»,«暦日2»,十二〳,かのえむま,とつ,土,中伏,●
«1711-1880»,«暦日0»,十三〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1711-1890»,«暦日1»,十四〳,みつのえさる,のそく,金,　,大みやう
«1711-1900»,«食記»,月そく皆つくる
«1711-1910»,«暦日1»,十五〳,みつのとのとり,みつ,金,　,神よし 大みやう ちいみ  みそすつくりよし
«1711-1920»,«暦日2»,十六〳,きのえいぬ,たいら,火,　,大くわ 地火 わうまう  わたましよし
«1711-1930»,«暦日0»,十七〳,きのとのい,さたん,,　,ちう日
«1711-1940»,«暦日2»,十八〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1711-1950»,«暦日0»,十九〳,ひのとのうし,やふる,,　,十し
«1711-1960»,«暦日2»,廿〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1711-1970»,«暦日0»,廿一〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1711-1980»,«暦日2»,廿二〳,かのえたつ,おさん,金,　,めつもん  けんふくよし
«1711-1990»,«暦日0»,廿三〳,かのとのみ,おさん,,立秋七月せつむまの三刻ニ入,大くわ ちう日
«1711-2000»,«暦日2»,廿四〳,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
«1711-2010»,«暦日0»,廿五〳,みつのとのひつし,とつ,,　
«1711-2020»,«暦日2»,廿六〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1711-2030»,«暦日0»,廿七〳,きのとのとり,のそく,,　,十し
«1711-2040»,«暦日2»,廿八〳,ひのえいぬ,みつ,土,　,五む日
«1711-2050»,«暦日0»,廿九〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1711-2060»,«月序»,七月,大,建,丙申,箕宿　鬼　金よう
«1711-2070»,«暦日2»,一〳,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
«1711-2080»,«暦日0»,二〳,つちのとのうし,とる,,　,●
«1711-2090»,«暦日2»,三〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1711-2100»,«暦日0»,四〳,かのとのう,あやふ,,　,神よし
«1711-2110»,«暦日2»,五〳,みつのえたつ,なる,水,　,さい下しき 大みやう 五む日 ちいみ
