«1700-0000»,【 カンマ区切りテキスト形式です。】
«1700-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1700-1370»,«暦日0»,廿二〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1700-1380»,«暦日2»,廿三〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1700-1390»,«暦日0»,廿四〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1700-1400»,«暦日2»,廿五〳,つちのえね,やふる,火,　,●
«1700-1410»,«暦日0»,廿六〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1700-1420»,«暦日2»,廿七〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1700-1430»,«暦日0»,廿八〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1700-1440»,«暦日1»,廿九〳,みつのえたつ,ひらく,水,入梅,大みやう 五む日
«1700-1450»,«月序»,五月,小,建,壬午,室宿　斗　木よう
«1700-1460»,«暦日1»,一〳,みつのとのみ,とつ,水,天一天上,十し
«1700-1470»,«暦日2»,二〳,きのえむま,たつ,金,　,天しや よろつよし
«1700-1480»,«暦日0»,三〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1700-1490»,«暦日2»,四〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1700-1500»,«暦日0»,五〳,ひのとのとり,たいら,,　,ふく日 めつもん 地火 わうまう
«1700-1510»,«暦日2»,六〳,つちのえいぬ,さたん,木,夏至五月中とらの五刻, かまぬり 田うへよし
«1700-1520»,«暦日0»,七〳,つちのとのい,とる,,　,神よし ちう日
«1700-1530»,«暦日2»,八〳,かのえね,やふる,土,　,●
«1700-1540»,«暦日0»,九〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1700-1550»,«暦日2»,十〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1700-1560»,«暦日0»,十一〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1700-1570»,«暦日2»,十二〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1700-1580»,«暦日0»,十三〳,きのとのみ,とつ,,　,十し
«1700-1590»,«暦日2»,十四〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1700-1600»,«暦日0»,十五〳,ひのとのひつし,のそく,,　,神よし ふく日
«1700-1610»,«暦日2»,十六〳,つちのえさる,みつ,土,はんけしやう,神よし きしく  入学よし
«1700-1620»,«暦日0»,十七〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1700-1630»,«暦日2»,十八〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1700-1640»,«暦日0»,十九〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1700-1650»,«暦日2»,廿〳,みつのえね,やふる,木,八せんのはしめ,●
«1700-1660»,«暦日0»,廿一〳,みつのとのうし,やふる,,六月せつみの二刻ニ入|ま日,十し
«1700-1670»,«暦日2»,廿二〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1700-1680»,«暦日0»,廿三〳,きのとのう,なる,,　,神よし 天火 らうしやく
«1700-1690»,«暦日2»,廿四〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1700-1700»,«暦日0»,廿五〳,ひのとのみ,ひらく,,　,さい下しき くゑ日 ちう日
«1700-1710»,«暦日2»,廿六〳,つちのえむま,とつ,火,ま日,●
«1700-1720»,«暦日0»,廿七〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1700-1730»,«暦日2»,廿八〳,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
«1700-1740»,«暦日0»,廿九〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1700-1750»,«月序»,六月,大,建,癸未,壁宿　牛　金よう
«1700-1760»,«暦日2»,一〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1700-1770»,«暦日0»,二〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1700-1780»,«暦日2»,三〳,きのえね,とる,金,　,きこ 下しきたつの時
«1700-1790»,«暦日0»,四〳,きのとのうし,やふる,,とようひつしの二刻ニ入,十し
«1700-1800»,«暦日2»,五〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
«1700-1810»,«暦日0»,六〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1700-1820»,«暦日2»,七〳,つちのえたつ,おさん,木,六月中ひつしの七刻,五む日 ふく日 めつもん
«1700-1830»,«暦日0»,八〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1700-1840»,«暦日2»,九〳,かのえむま,とつ,土,中伏,●
«1700-1850»,«暦日0»,十〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1700-1860»,«暦日2»,十一〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1700-1870»,«暦日0»,十二〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1700-1880»,«暦日2»,十三〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1700-1890»,«暦日0»,十四〳,きのとのい,さたん,,　,ちう日
«1700-1900»,«暦日2»,十五〳,ひのえね,とる,水,　,きしく きこ わうまう 下しきたつの時
«1700-1910»,«暦日0»,十六〳,ひのとのうし,やふる,,　,十し
«1700-1920»,«暦日2»,十七〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1700-1930»,«暦日0»,十八〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1700-1940»,«暦日2»,十九〳,かのえたつ,おさん,金,　,めつもん  けんふくよし
