《1831-0000》,# カンマ区切りテキスト形式です。
《1831-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1831-0020》,# ・表の区画内での改行は“/”で表記します。
《1831-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1831-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1831-0050》,# 外部リンク
《1831-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/113 ～ 117
《1831-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1831g　(GitHub上データを表成型)
《1831-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1831h　(翻刻編集データを表成型 - 未実装)
《1831-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1831-0100》,《版元》,出版地○○,出版元□□□,　
《1831-1180》,《暦日1》,廿九／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1831-1190》,《月序》,四月,小,建,癸巳,婁宿　井　木よう
《1831-1200》,《暦日1》,一／,みつのとのひつし,みつ,木,　,くゑ日
《1831-1210》,《暦日2》,二／,きのえさる,たいら,水,十方くれニ入,神よし きしく 大みやう ちいみ 大くわ 地火
《1831-1220》,《暦日0》,三／,きのとのとり,さたん,,　,十し
《1831-1230》,《暦日2》,四／,ひのえいぬ,とる,土,　,五む日 ふく日 わうまう  くさかりよし
《1831-1240》,《暦日0》,五／,ひのとのい,やふる,,　,大みやう ちう日
《1831-1250》,《暦日2》,六／,つちのえね,あやふ,火,　, けんふくよし
《1831-1260》,《暦日0》,七／,つちのとのうし,なる,,　,きこ  つめとりよし
《1831-1270》,《暦日2》,八／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1831-1280》,《暦日0》,九／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1831-1290》,《暦日2》,十／,みつのえたつ,とつ,水,　,さい下しき 大みやう 五む日 ふく日
《1831-1300》,《暦日0》,十一／,みつのとのみ,たつ,,天一天上,●
《1831-1310》,《暦日1》,十二／,きのえむま,のそく,金,　,天しや よろつよし
《1831-1320》,《節中》,小満四月中むまの七刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1831-1330》,《暦日1》,十三／,きのとのひつし,みつ,金,　,大みやう 五む日 くゑ日
《1831-1340》,《暦日2》,十四／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1831-1350》,《暦日0》,十五／,ひのとのとり,さたん,,　,十し
《1831-1360》,《暦日2》,十六／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1831-1370》,《暦日0》,十七／,つちのとのい,やふる,,　,くゑ日 ちう日
《1831-1380》,《暦日2》,十八／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1831-1390》,《暦日0》,十九／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1831-1400》,《暦日2》,廿／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1831-1410》,《暦日0》,廿一／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
