《1859-0000》,# カンマ区切りテキスト形式です。
《1859-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1859-0020》,# ・表の区画内での改行は“/”で表記します。
《1859-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1859-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1859-0050》,# 外部リンク
《1859-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/56 ～ 64
《1859-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1859g　(GitHub上データを表成型)
《1859-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1859h　(翻刻編集データを表成型 - 未実装)
《1859-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1859-0100》,《版元》,出版地○○,出版元□□□,　
《1859-1200》,《月序》,四月,小,建,己巳,婁宿　觜　火よう
《1859-1210》,《暦日1》,一／,かのとのうし,おさん,土,　,十し
《1859-1220》,《暦日2》,二／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1859-1230》,《暦日0》,三／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1859-1240》,《暦日1》,四／,きのえたつ,とつ,火,　,きしく 大みやう
《1859-1250》,《節中》,立夏四月せつ朝四時六分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1859-1260》,《暦日1》,五／,きのとのみ,たつ,火,　,●
《1859-1270》,《暦日2》,六／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1859-1280》,《暦日0》,七／,ひのとのひつし,みつ,,　,くゑ日
《1859-1290》,《暦日2》,八／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1859-1300》,《暦日0》,九／,つちのとのとり,さたん,,　,十し
《1859-1310》,《暦日2》,十／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1859-1320》,《暦日0》,十一／,かのとのい,やふる,,　,大みやう 天おん ちう日 わうまう  さひらきよし
《1859-1330》,《暦日2》,十二／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1859-1340》,《暦日0》,十三／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1859-1350》,《暦日2》,十四／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1859-1360》,《暦日0》,十五／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1859-1370》,《暦日2》,十六／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1859-1380》,《暦日0》,十七／,ひのとのみ,たつ,,　,●
《1859-1390》,《暦日2》,十八／,つちのえむま,のそく,火,ま日,くゑ日
《1859-1400》,《暦日0》,十九／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1859-1410》,《暦日1》,廿／,かのえさる,たいら,木,　,さい下しき 神よし 大みやう 月とく ちいみ 大くわ 地火
《1859-1420》,《節中》,小満四月中今暁九時三分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1859-1430》,《暦日1》,廿一／,かのとのとり,さたん,木,　,十し
《1859-1440》,《暦日2》,廿二／,みつのえいぬ,とる,水,ま日,ふく日
《1859-1450》,《暦日0》,廿三／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1859-1460》,《暦日2》,廿四／,きのえね,あやふ,金,　,天おん
《1859-1470》,《暦日0》,廿五／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1859-1480》,《暦日2》,廿六／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1859-1490》,《暦日0》,廿七／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1859-1500》,《暦日2》,廿八／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1859-1510》,《暦日0》,廿九／,つちのとのみ,たつ,,　,●
《1859-1520》,《月序》,五月,小,建,庚午,胃宿　參　水よう
《1859-1530》,《暦日2》,一／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1859-1540》,《暦日0》,二／,かのとのひつし,みつ,,　,大みやう くゑ日
《1859-1550》,《暦日2》,三／,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
《1859-1560》,《暦日0》,四／,みつのとのとり,さたん,,　,十し
《1859-1570》,《暦日2》,五／,きのえいぬ,とる,火,　, やたて くらたてよし
《1859-1580》,《暦日0》,六／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1859-1590》,《節中》,芒種五月せつ昼八時五分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1859-1600》,《暦日2》,七／,ひのえね,やふる,水,　,●
《1859-1610》,《暦日0》,八／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1859-1620》,《暦日2》,九／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
