《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1230》,《暦日2》,四／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1240》,《暦日0》,五／,かのとのひつし,みつ,,　,大みやう くゑ日
《1250》,《暦日2》,六／,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
《1260》,《暦日0》,七／,みつのとのとり,さたん,,　,十し
《1270》,《暦日2》,八／,きのえいぬ,とる,火,　, やたて くらたてよし
《1280》,《暦日0》,九／,きのとのい,やふる,,　,月とく ちう日
《1290》,《暦日2》,十／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1300》,《暦日0》,十一／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1310》,《節中》,小満四月中さるの初刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1320》,《暦日2》,十二／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1330》,《暦日0》,十三／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1340》,《暦日2》,十四／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1350》,《暦日0》,十五／,かのとのみ,たつ,,　,●
《1360》,《暦日2》,十六／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1370》,《暦日0》,十七／,みつのとのひつし,みつ,,　,くゑ日
《1380》,《暦日2》,十八／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1390》,《暦日0》,十九／,きのとのとり,さたん,,　,十し
《1400》,《暦日2》,廿／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1410》,《暦日0》,廿一／,ひのとのい,やふる,,　,大みやう ちう日
《1420》,《暦日2》,廿二／,つちのえね,あやふ,火,　, けんふくよし
《1430》,《暦日0》,廿三／,つちのとのうし,なる,,　,きこ  つめとりよし
《1440》,《暦日2》,廿四／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1450》,《暦日0》,廿五／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1460》,《暦日1》,廿六／,みつのえたつ,ひらく,水,入梅,大みやう 五む日
《1470》,《節中》,芒種五月せついぬの六刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1480》,《暦日1》,廿七／,みつのとのみ,とつ,水,天一天上,十し
《1490》,《暦日2》,廿八／,きのえむま,たつ,金,　,天しや よろつよし
《1500》,《暦日0》,廿九／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1510》,《暦日1》,卅／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1520》,《月序》,五月,小,建,丙午,胃宿　觜　火よう
《1530》,《暦日1》,一／,ひのとのとり,たいら,火,　,神よし ふく日 めつもん 地火
《1540》,《暦日2》,二／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1550》,《暦日0》,三／,つちのとのい,とる,,　,神よし ちう日
《1560》,《暦日2》,四／,かのえね,やふる,土,　,●
《1570》,《暦日0》,五／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1580》,《暦日2》,六／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1590》,《暦日0》,七／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1600》,《暦日2》,八／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1610》,《暦日0》,九／,きのとのみ,とつ,,　,十し
《1620》,《暦日2》,十／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1630》,《暦日0》,十一／,ひのとのひつし,のそく,,　,ふく日 わうまう
《1640》,《暦日1》,十二／,つちのえさる,みつ,土,　,神よし  入学よし
《1650》,《節中》,夏至五月中今暁うしの二刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1660》,《暦日1》,十三／,つちのとのとり,たいら,土,　,神よし 大みやう 天おん めつもん 地火
《1670》,《暦日2》,十四／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1680》,《暦日0》,十五／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1690》,《暦日2》,十六／,みつのえね,やふる,木,八せんのはしめ,●
《1700》,《暦日0》,十七／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1710》,《暦日2》,十八／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1720》,《暦日0》,十九／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1730》,《暦日2》,廿／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1740》,《暦日0》,廿一／,ひのとのみ,とつ,,　,十し
《1750》,《暦日2》,廿二／,つちのえむま,たつ,火,はんけしやう/ま日,くゑ日 下しきうの時
《1760》,《暦日0》,廿三／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1770》,《暦日2》,廿四／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1780》,《暦日0》,廿五／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1790》,《暦日2》,廿六／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1800》,《暦日0》,廿七／,みつのとのい,さたん,,八せんのおはり,ちう日
《1810》,《節中》,小暑六月せつうの八刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1820》,《暦日2》,廿八／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1830》,《暦日0》,廿九／,きのとのうし,やふる,,　,十し
《1840》,《月序》,六月,大,建,丁未,昴宿　參　水よう
《1850》,《暦日2》,一／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1860》,《暦日0》,二／,ひのとのう,なる,,　,さい下しき 神よし 天おん 天火 らうしやく
《1870》,《暦日2》,三／,つちのえたつ,おさん,木,　,きしく 天おん 五む日 ふく日 めつもん
《1880》,《暦日0》,四／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1890》,《暦日2》,五／,かのえむま,とつ,土,初伏,●
《1900》,《暦日0》,六／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1910》,《暦日2》,七／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1920》,《暦日0》,八／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1930》,《暦日2》,九／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1940》,《暦日0》,十／,きのとのい,さたん,,とようむまの初刻ニ入,ちう日
《1950》,《暦日2》,十一／,ひのえね,とる,水,　,きこ 下しきたつの時
《1960》,《暦日0》,十二／,ひのとのうし,やふる,,　,十し
《1970》,《暦日1》,十三／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1980》,《節中》,大暑六月中むまの五刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1990》,《暦日1》,十四／,つちのとのう,なる,土,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《2000》,《暦日2》,十五／,かのえたつ,おさん,金,中伏,天おん めつもん  けんふくよし
《2010》,《暦日0》,十六／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《2020》,《暦日2》,十七／,みつのえむま,とつ,木,　,●
《2030》,《暦日0》,十八／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《2040》,《暦日2》,十九／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《2050》,《暦日0》,廿／,きのとのとり,みつ,,　,神よし ちいみ
《2060》,《暦日2》,廿一／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火 わうまう
《2070》,《暦日0》,廿二／,ひのとのい,さたん,,　,大みやう ちう日
《2080》,《暦日2》,廿三／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《2090》,《暦日0》,廿四／,つちのとのうし,やふる,,　,十し
《2100》,《暦日2》,廿五／,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
《2110》,《暦日0》,廿六／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2120》,《暦日2》,廿七／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《2130》,《暦日0》,廿八／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2140》,《節中》,立秋七月せつとりの一刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2150》,《暦日2》,廿九／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2160》,《暦日0》,卅／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2170》,《月序》,七月,小,建,戊申,畢宿　鬼　金よう
《2180》,《暦日2》,一／,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
《2190》,《暦日0》,二／,ひのとのとり,のそく,,　,十し
《2200》,《暦日2》,三／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2210》,《暦日0》,四／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2220》,《暦日2》,五／,かのえね,さたん,土,末伏,神よし ふく日
《2230》,《暦日0》,六／,かのとのうし,とる,,　,●
《2240》,《暦日2》,七／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《2250》,《暦日0》,八／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2260》,《暦日2》,九／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《2270》,《暦日0》,十／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2280》,《暦日2》,十一／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2290》,《暦日0》,十二／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《2300》,《暦日1》,十三／,つちのえさる,たつ,土,　,天しや よろつよし
《2310》,《節中》,処暑七月中いの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2320》,《暦日1》,十四／,つちのとのとり,のそく,土,　,十し
《2330》,《暦日2》,十五／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《2340》,《暦日0》,十六／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《2350》,《暦日2》,十七／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《2360》,《暦日0》,十八／,みつのとのうし,とる,,ま日,●
《2370》,《暦日2》,十九／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2380》,《暦日0》,廿／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2390》,《暦日2》,廿一／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《2400》,《暦日0》,廿二／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《2410》,《暦日2》,廿三／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2420》,《暦日0》,廿四／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《2430》,《暦日2》,廿五／,かのえさる,たつ,木,二百十日,大みやう くゑ日 ふく日 下しきみの時
《2440》,《暦日0》,廿六／,かのとのとり,のそく,,　,十し
