«1827-0000»,【 カンマ区切りテキスト形式です。】
«1827-0730»,«暦日2»,十八〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1827-0740»,«暦日0»,十九〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1827-0750»,«暦日2»,廿〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1827-0760»,«暦日0»,廿一〳,ひのとのう,たつ,,ひかんニなる,天おん 天火 らうしやく
«1827-0770»,«暦日2»,廿二〳,つちのえたつ,のそく,木,社日,●
«1827-0780»,«暦日0»,廿三〳,つちのとのみ,みつ,,　,十し
«1827-0790»,«暦日2»,廿四〳,かのえむま,たいら,土,　,大くわ 地火 わうまう
«1827-0800»,«暦日0»,廿五〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1827-0810»,«暦日1»,廿六〳,みつのえさる,とる,金,　,神よし きしく 大みやう  入学よし
«1827-0820»,«節中»,春分二月中さるの六刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1827-0830»,«暦日1»,廿七〳,みつのとのとり,やふる,金,　,大みやう  やたてよし
«1827-0840»,«暦日2»,廿八〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1827-0850»,«暦日0»,廿九〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1827-0860»,«月序»,三月,大,建,甲辰,鬼宿　翼　火よう
«1827-0870»,«暦日2»,一〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1827-0880»,«暦日0»,二〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1827-0890»,«暦日2»,三〳,つちのえとら,とつ,土,　,天しや よろつよし
«1827-0900»,«暦日0»,四〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1827-0910»,«暦日2»,五〳,かのえたつ,のそく,金,　,●
«1827-0920»,«暦日0»,六〳,かのとのみ,みつ,,　,十し
«1827-0930»,«暦日2»,七〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1827-0940»,«暦日0»,八〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1827-0950»,«暦日2»,九〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1827-0960»,«暦日0»,十〳,きのとのとり,やふる,,　,ふく日
«1827-0970»,«暦日2»,十一〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1827-0980»,«暦日0»,十二〳,ひのとのい,あやふ,,　,●
«1827-0990»,«節中»,清明三月せついの三刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1827-1000»,«暦日2»,十三〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1827-1010»,«暦日0»,十四〳,つちのとのうし,おさん,,　,十し
«1827-1020»,«暦日2»,十五〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1827-1030»,«暦日0»,十六〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1827-1040»,«暦日2»,十七〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1827-1050»,«暦日0»,十八〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1827-1060»,«暦日2»,十九〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
