«1776-0000»,【 カンマ区切りテキスト形式です。】
«1776-0830»,«暦日0»,廿七〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1776-0840»,«暦日2»,廿八〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1776-0850»,«暦日0»,廿九〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1776-0860»,«月序»,三月,大,建,壬辰,翼宿　奎　木よう
«1776-0870»,«暦日2»,一〳,みつのえさる,さたん,金,とようさるの七刻ニ入,大みやう くゑ日
«1776-0880»,«暦日0»,二〳,みつのとのとり,とる,,　,神よし 大みやう
«1776-0890»,«暦日2»,三〳,きのえいぬ,やふる,火,　, くさかりよし
«1776-0900»,«暦日0»,四〳,きのとのい,あやふ,,　,●
«1776-0910»,«節中»,穀雨三月中とりの四刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1776-0920»,«暦日2»,五〳,ひのえね,なる,水,　,きこ
«1776-0930»,«暦日0»,六〳,ひのとのうし,おさん,,　,十し
«1776-0940»,«暦日2»,七〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1776-0950»,«暦日0»,八〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1776-0960»,«暦日2»,九〳,かのえたつ,たつ,金,　,きしく くゑ日 わうまう
«1776-0970»,«暦日0»,十〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1776-0980»,«暦日2»,十一〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1776-0990»,«暦日0»,十二〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1776-1000»,«暦日2»,十三〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1776-1010»,«暦日0»,十四〳,きのとのとり,とる,,　,神よし  くさかりよし
«1776-1020»,«暦日2»,十五〳,ひのえいぬ,やふる,土,八十八や,五む日
«1776-1030»,«暦日0»,十六〳,ひのとのい,あやふ,,　,●
«1776-1040»,«暦日2»,十七〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1776-1050»,«暦日0»,十八〳,つちのとのうし,おさん,,　,十し
«1776-1060»,«暦日1»,十九〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1776-1070»,«節中»,立夏四月せつ今夜ねの初刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1776-1080»,«暦日1»,廿〳,かのとのう,ひらく,木,　,神よし 母倉  やたて ものたちよし
«1776-1090»,«暦日2»,廿一〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1776-1100»,«暦日0»,廿二〳,みつのとのみ,たつ,,天一天上,●
«1776-1110»,«暦日2»,廿三〳,きのえむま,のそく,金,　,天しや よろつよし
«1776-1120»,«暦日0»,廿四〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1776-1130»,«暦日2»,廿五〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1776-1140»,«暦日0»,廿六〳,ひのとのとり,さたん,,　,十し
«1776-1150»,«暦日2»,廿七〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1776-1160»,«暦日0»,廿八〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1776-1170»,«暦日2»,廿九〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1776-1180»,«暦日0»,卅〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
