《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1290》,《暦日2》,十／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1300》,《暦日0》,十一／,つちのとのみ,たつ,,　,●
《1310》,《暦日1》,十二／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1320》,《節中》,小満四月中昼九時日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1330》,《暦日1》,十三／,かのとのひつし,みつ,土,　,大みやう くゑ日
《1340》,《暦日2》,十四／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1350》,《暦日0》,十五／,みつのとのとり,さたん,,　,十し
《1360》,《暦日2》,十六／,きのえいぬ,とる,火,　, やたて くらたてよし
《1370》,《暦日0》,十七／,きのとのい,やふる,,　,月とく ちう日
《1380》,《暦日2》,十八／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1390》,《暦日0》,十九／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1400》,《暦日2》,廿／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1410》,《暦日0》,廿一／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1420》,《暦日2》,廿二／,かのえたつ,とつ,金,　,きしく 天おん 月とく  けんふくよし
《1430》,《暦日0》,廿三／,かのとのみ,たつ,,　,●
《1440》,《暦日2》,廿四／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1450》,《暦日0》,廿五／,みつのとのひつし,みつ,,　,くゑ日
《1460》,《暦日2》,廿六／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1470》,《暦日0》,廿七／,きのとのとり,さたん,,　,十し
《1480》,《暦日1》,廿八／,ひのえいぬ,さたん,土,　,さい下しき 月とく 五む日  むきかりよし
《1490》,《節中》,芒種五月せつ今暁七時六分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1500》,《暦日1》,廿九／,ひのとのい,とる,土,　,大みやう ちう日 ふく日
《1510》,《月序》,五月,大,建,甲午,室宿　氐　土よう
《1520》,《暦日2》,一／,つちのえね,やふる,火,　,●
《1530》,《暦日0》,二／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1540》,《暦日2》,三／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1550》,《暦日0》,四／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1560》,《暦日2》,五／,みつのえたつ,ひらく,水,入梅,大みやう 五む日
《1570》,《暦日0》,六／,みつのとのみ,とつ,,天一天上,十し
《1580》,《暦日2》,七／,きのえむま,たつ,金,　,天しや よろつよし
《1590》,《暦日0》,八／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1600》,《暦日2》,九／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1610》,《暦日0》,十／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1620》,《暦日2》,十一／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1630》,《暦日0》,十二／,つちのとのい,とる,,　,神よし ちう日
《1640》,《暦日2》,十三／,かのえね,やふる,土,　,●
《1650》,《暦日0》,十四／,かのとのうし,あやふ,,　,月とく 五む日 わうまう  つめとりよし
《1660》,《節中》,夏至五月中暮六時五分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
