«1834-0000»,【 カンマ区切りテキスト形式です。】
«1834-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1834-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1834-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1834-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1834-0050»,【 外部リンク　】
«1834-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/126 ～ 130】
«1834-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1834h　(翻刻編集終了データを表成型して表示します)】
«1834-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1834ht (翻刻編集中データを表成型して表示します)】
«1834-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1834-0100»,«版元»,出版地○○,出版元□□□,　
«1834-1300»,«暦日2»,十一〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1834-1310»,«暦日0»,十二〳,ひのとのひつし,みつ,,　,さい下しき くゑ日
«1834-1320»,«暦日2»,十三〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1834-1330»,«暦日0»,十四〳,つちのとのとり,さたん,,　,十し
«1834-1340»,«暦日1»,十五〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1834-1350»,«節中»,小満四月中うの五刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1834-1360»,«暦日1»,十六〳,かのとのい,やふる,金,　,神よし 大みやう 天おん ちう日  さひらきよし
«1834-1370»,«暦日2»,十七〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1834-1380»,«暦日0»,十八〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1834-1390»,«暦日2»,十九〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1834-1400»,«暦日0»,廿〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1834-1410»,«暦日2»,廿一〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1834-1420»,«暦日0»,廿二〳,ひのとのみ,たつ,,　,●
«1834-1430»,«暦日2»,廿三〳,つちのえむま,のそく,火,ま日,くゑ日
«1834-1440»,«暦日0»,廿四〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1834-1450»,«暦日2»,廿五〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1834-1460»,«暦日0»,廿六〳,かのとのとり,さたん,,　,十し
«1834-1470»,«暦日2»,廿七〳,みつのえいぬ,とる,水,ま日,ふく日
«1834-1480»,«暦日0»,廿八〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1834-1490»,«暦日1»,廿九〳,きのえね,あやふ,金,　,きしく 天おん
«1834-1500»,«月序»,五月,大,建,庚午,星宿　柳　土よう
«1834-1510»,«暦日1»,一〳,きのとのうし,あやふ,金,　,神よし 天おん  つめとりよし
«1834-1520»,«節中»,芒種五月せつむまの二刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1834-1530»,«暦日2»,二〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1834-1540»,«暦日0»,三〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1834-1550»,«暦日2»,四〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1834-1560»,«暦日0»,五〳,つちのとのみ,とつ,,　,十し
«1834-1570»,«暦日2»,六〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1834-1580»,«暦日0»,七〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1834-1590»,«暦日2»,八〳,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
«1834-1600»,«暦日0»,九〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1834-1610»,«暦日2»,十〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1834-1620»,«暦日0»,十一〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1834-1630»,«暦日2»,十二〳,ひのえね,やふる,水,　,●
«1834-1640»,«暦日0»,十三〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1834-1650»,«暦日2»,十四〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1834-1660»,«暦日0»,十五〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1834-1670»,«暦日1»,十六〳,かのえたつ,ひらく,金,　,天おん わうまう
«1834-1680»,«節中»,夏至五月中さるの七刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1834-1690»,«食記»,月帯食
«1834-1700»,«暦日1»,十七〳,かのとのみ,とつ,金,　,十し
«1834-1710»,«暦日2»,十八〳,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
«1834-1720»,«暦日0»,十九〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1834-1730»,«暦日2»,廿〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1834-1740»,«暦日0»,廿一〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1834-1750»,«暦日2»,廿二〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1834-1760»,«暦日0»,廿三〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1834-1770»,«暦日2»,廿四〳,つちのえね,やふる,火,　,●
«1834-1780»,«暦日0»,廿五〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1834-1790»,«暦日2»,廿六〳,かのえとら,なる,木,はんけしやう,母倉 きこ  井ほり  つめとりよし
«1834-1800»,«暦日0»,廿七〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1834-1810»,«暦日2»,廿八〳,みつのえたつ,ひらく,水,　,きしく 大みやう 五む日
«1834-1820»,«暦日0»,廿九〳,みつのとのみ,とつ,,天一天上,十し
«1834-1830»,«暦日1»,卅〳,きのえむま,たつ,金,　,天しや よろつよし
«1834-1840»,«月序»,六月,小,建,辛未,張宿　張　月よう
«1834-1850»,«暦日1»,一〳,きのとのひつし,たつ,金,　,大みやう 五む日
«1834-1860»,«節中»,小暑六月せついの四刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1834-1870»,«暦日2»,二〳,ひのえさる,のそく,火,　,神よし
«1834-1880»,«暦日0»,三〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1834-1890»,«暦日2»,四〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1834-1900»,«暦日0»,五〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1834-1910»,«暦日2»,六〳,かのえね,とる,土,初伏,きこ 下しきたつの時
«1834-1920»,«暦日0»,七〳,かのとのうし,やふる,,　,十し
«1834-1930»,«暦日2»,八〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1834-1940»,«暦日0»,九〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1834-1950»,«暦日2»,十〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1834-1960»,«暦日0»,十一〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1834-1970»,«暦日2»,十二〳,ひのえむま,とつ,水,　,●
«1834-1980»,«暦日0»,十三〳,ひのとのひつし,たつ,,　,さい下しき くゑ日
«1834-1990»,«暦日2»,十四〳,つちのえさる,のそく,土,とよう今暁うしの五刻ニ入,神よし ふく日  たねまきよし
«1834-2000»,«暦日0»,十五〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1834-2010»,«暦日2»,十六〳,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
«1834-2020»,«暦日0»,十七〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1834-2030»,«節中»,大暑六月中今暁とらの一刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1834-2040»,«暦日2»,十八〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1834-2050»,«暦日0»,十九〳,みつのとのうし,やふる,,ま日,十し
