《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/69 ～ 73
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1821g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1821h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0860》,《暦日0》,卅／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《0870》,《月序》,三月,小,建,壬辰,箕宿　翼　火よう
《0880》,《暦日2》,一／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《0890》,《暦日0》,二／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《0900》,《暦日2》,三／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0910》,《暦日0》,四／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0920》,《暦日1》,五／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《0930》,《節中》,清明三月せつみの八刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《0940》,《暦日1》,六／,ひのとのみ,のそく,土,　,母倉 月とく ちう日  いちたちよし
《0950》,《暦日2》,七／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《0960》,《暦日0》,八／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《0970》,《暦日2》,九／,かのえさる,さたん,木,　,大みやう くゑ日
《0980》,《暦日0》,十／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《0990》,《暦日2》,十一／,みつのえいぬ,やふる,水,ま日,月とく
《1000》,《暦日0》,十二／,みつのとのい,あやふ,,八せんのおはり,●
《1010》,《暦日2》,十三／,きのえね,なる,金,　,くゑ日 きこ
《1020》,《暦日0》,十四／,きのとのうし,おさん,,　,十し
《1030》,《暦日2》,十五／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1040》,《暦日0》,十六／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1050》,《暦日2》,十七／,つちのえたつ,たつ,木,とようさるの初刻ニ入,五む日 くゑ日 ふく日
《1060》,《暦日0》,十八／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1070》,《暦日2》,十九／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1080》,《暦日0》,廿／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1090》,《節中》,穀雨三月中さるの五刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1100》,《暦日2》,廿一／,みつのえさる,さたん,金,　,大みやう くゑ日
《1110》,《暦日0》,廿二／,みつのとのとり,とる,,　,神よし 大みやう
《1120》,《暦日2》,廿三／,きのえいぬ,やふる,火,　, くさかりよし
《1130》,《暦日0》,廿四／,きのとのい,あやふ,,　,●
《1140》,《暦日2》,廿五／,ひのえね,なる,水,　,きしく きこ わうまう
《1150》,《暦日0》,廿六／,ひのとのうし,おさん,,　,十し
《1160》,《暦日2》,廿七／,つちのえとら,ひらく,土,　,天しや よろつよし
《1170》,《暦日0》,廿八／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1180》,《暦日1》,廿九／,かのえたつ,たつ,金,　,くゑ日
《1190》,《月序》,四月,小,建,癸巳,斗宿　軫　水よう
《1200》,《暦日1》,一／,かのとのみ,のそく,金,　,天おん 母倉 ちう日
《1210》,《暦日2》,二／,みつのえむま,みつ,木,八十八や,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1220》,《暦日0》,三／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1230》,《暦日2》,四／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1240》,《暦日0》,五／,きのとのとり,とる,,　,神よし  くさかりよし
《1250》,《暦日1》,六／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1260》,《節中》,立夏四月せついの一刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1270》,《暦日1》,七／,ひのとのい,やふる,土,　,大みやう ちう日
《1280》,《暦日2》,八／,つちのえね,あやふ,火,　, けんふくよし
《1290》,《暦日0》,九／,つちのとのうし,なる,,　,きこ  つめとりよし
《1300》,《暦日2》,十／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1310》,《暦日0》,十一／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1320》,《暦日2》,十二／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1330》,《暦日0》,十三／,みつのとのみ,たつ,,天一天上,●
《1340》,《暦日2》,十四／,きのえむま,のそく,金,　,天しや よろつよし
《1350》,《暦日0》,十五／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1360》,《暦日2》,十六／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1370》,《暦日0》,十七／,ひのとのとり,さたん,,　,十し
《1380》,《暦日2》,十八／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1390》,《暦日0》,十九／,つちのとのい,やふる,,　,くゑ日 ちう日
《1400》,《暦日2》,廿／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1410》,《暦日0》,廿一／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1420》,《暦日1》,廿二／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1430》,《節中》,小満四月中今暁うしの七刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1440》,《暦日1》,廿三／,みつのとのう,ひらく,金,　,神よし 母倉  かといて さひらきよし
《1450》,《暦日2》,廿四／,きのえたつ,とつ,火,　,きしく 大みやう
《1460》,《暦日0》,廿五／,きのとのみ,たつ,,　,●
《1470》,《暦日2》,廿六／,ひのえむま,のそく,水,　,さい下しき 大みやう くゑ日 ふく日
《1480》,《暦日0》,廿七／,ひのとのひつし,みつ,,　,くゑ日
《1490》,《暦日2》,廿八／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1500》,《暦日0》,廿九／,つちのとのとり,さたん,,　,十し
《1510》,《月序》,五月,大,建,甲午,牛宿　角　木よう
《1520》,《暦日2》,一／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1530》,《暦日0》,二／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1540》,《暦日2》,三／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1550》,《暦日0》,四／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1560》,《暦日2》,五／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1570》,《暦日0》,六／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1580》,《暦日2》,七／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1590》,《暦日0》,八／,ひのとのみ,とつ,,　,十し
《1600》,《節中》,芒種五月せつたつの三刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1610》,《暦日2》,九／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1620》,《暦日0》,十／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1630》,《暦日2》,十一／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1640》,《暦日0》,十二／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1650》,《暦日2》,十三／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1660》,《暦日0》,十四／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1670》,《暦日2》,十五／,きのえね,やふる,金,　,●
《1680》,《暦日0》,十六／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1690》,《暦日2》,十七／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1700》,《暦日0》,十八／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1710》,《暦日2》,十九／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1720》,《暦日0》,廿／,つちのとのみ,とつ,,　,十し
《1730》,《暦日2》,廿一／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1740》,《暦日0》,廿二／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1750》,《暦日1》,廿三／,みつのえさる,みつ,金,　,きしく 大みやう わうまう  くさかりよし
《1760》,《節中》,夏至五月中ひつしの初刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1770》,《暦日1》,廿四／,みつのとのとり,たいら,金,　,神よし 大みやう ふく日 めつもん 地火
《1780》,《暦日2》,廿五／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1790》,《暦日0》,廿六／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1800》,《暦日2》,廿七／,ひのえね,やふる,水,　,●
《1810》,《暦日0》,廿八／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1820》,《暦日2》,廿九／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1830》,《暦日0》,卅／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1840》,《月序》,六月,小,建,乙未,女宿　氐　土よう
《1850》,《暦日2》,一／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1860》,《暦日0》,二／,かのとのみ,とつ,,　,十し
《1870》,《暦日2》,三／,みつのえむま,たつ,木,はんけしやう,大みやう 天おん 下しきうの時
《1880》,《暦日0》,四／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1890》,《暦日2》,五／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1900》,《暦日0》,六／,きのとのとり,たいら,,　,神よし めつもん 地火
《1910》,《暦日2》,七／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1920》,《暦日0》,八／,ひのとのい,さたん,,　,大みやう ちう日
《1930》,《節中》,小暑六月せつとりの五刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1940》,《暦日2》,九／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1950》,《暦日0》,十／,つちのとのうし,やふる,,　,十し
《1960》,《暦日2》,十一／,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
《1970》,《暦日0》,十二／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1980》,《暦日2》,十三／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1990》,《暦日0》,十四／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《2000》,《暦日2》,十五／,きのえむま,とつ,金,　,●
《2010》,《暦日0》,十六／,きのとのひつし,たつ,,　,大みやう 五む日
《2020》,《暦日2》,十七／,ひのえさる,のそく,火,　,神よし
《2030》,《暦日0》,十八／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《2040》,《暦日2》,十九／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2050》,《暦日0》,廿／,つちのとのい,さたん,,とよういの六刻ニ入,月とく ちう日 ふく日  ふねのりよし
《2060》,《暦日2》,廿一／,かのえね,とる,土,初伏,きしく きこ 下しきたつの時
《2070》,《暦日0》,廿二／,かのとのうし,やふる,,　,十し
《2080》,《暦日1》,廿三／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2090》,《節中》,大暑六月中今夜ねの二刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2100》,《暦日1》,廿四／,みつのとのう,なる,金,　,神よし 天火 らうしやく
《2110》,《暦日2》,廿五／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《2120》,《暦日0》,廿六／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《2130》,《暦日2》,廿七／,ひのえむま,とつ,水,　,●
《2140》,《暦日0》,廿八／,ひのとのひつし,たつ,,　,くゑ日
《2150》,《暦日1》,廿九／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2160》,《月序》,七月,大,建,丙申,虛宿　房　日よう
《2170》,《暦日1》,一／,つちのとのとり,みつ,土,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《2180》,《暦日2》,二／,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火 わうまう
《2190》,《暦日0》,三／,かのとのい,さたん,,　,大みやう 天おん ちう日
《2200》,《暦日2》,四／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《2210》,《暦日0》,五／,みつのとのうし,やふる,,ま日,十し
《2220》,《暦日2》,六／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《2230》,《暦日0》,七／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2240》,《暦日2》,八／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《2250》,《暦日0》,九／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《2260》,《暦日1》,十／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2270》,《節中》,立秋七月せつ今暁とらの七刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《2280》,《暦日1》,十一／,つちのとのひつし,とつ,火,　,神よし 大みやう 母倉  みそすつくりよし
《2290》,《暦日2》,十二／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
《2300》,《暦日0》,十三／,かのとのとり,のそく,,　,十し
《2310》,《暦日2》,十四／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《2320》,《暦日0》,十五／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2330》,《暦日2》,十六／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2340》,《暦日0》,十七／,きのとのうし,とる,,　,●
《2350》,《暦日2》,十八／,ひのえとら,やふる,火,　,天おん わうまう  けんふく  つめとりよし
《2360》,《暦日0》,十九／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2370》,《暦日2》,廿／,つちのえたつ,なる,木,　,きしく 天おん 母倉 五む日 ちいみ  いちたちよし
《2380》,《暦日0》,廿一／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2390》,《暦日2》,廿二／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2400》,《暦日0》,廿三／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2410》,《暦日2》,廿四／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《2420》,《暦日0》,廿五／,みつのとのとり,のそく,,　,十し
《2430》,《節中》,処暑七月中みの四刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《2440》,《暦日2》,廿六／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2450》,《暦日0》,廿七／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2460》,《暦日2》,廿八／,ひのえね,さたん,水,　, 田かりよし
《2470》,《暦日0》,廿九／,ひのとのうし,とる,,　,●
《2480》,《暦日1》,卅／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2490》,《月序》,八月,小,建,丁酉,危宿　尾　火よう
《2500》,《暦日1》,一／,つちのとのう,あやふ,土,　,神よし 大みやう 天おん  みそすつくりよし
《2510》,《暦日2》,二／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《2520》,《暦日0》,三／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2530》,《暦日2》,四／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2540》,《暦日0》,五／,みつのとのひつし,とつ,,　,天おん 母倉
《2550》,《暦日2》,六／,きのえさる,たつ,水,二百十日/十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2560》,《暦日0》,七／,きのとのとり,のそく,,　,十し
《2570》,《暦日2》,八／,ひのえいぬ,みつ,土,　,母倉 五む日
《2580》,《暦日0》,九／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2590》,《暦日1》,十／,つちのえね,たいら,火,　,大くわ 地火
《2600》,《節中》,白露八月せつさるの一刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
