«1785-0000»,【 カンマ区切りテキスト形式です。】
«1785-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1785-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1785-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1785-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1785-0050»,【 外部リンク　】
«1785-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/193 ～ 197】
«1785-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1785h　(翻刻編集終了データを表成型して表示します)】
«1785-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1785ht (翻刻編集中データを表成型して表示します)】
«1785-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1785-0100»,«版元»,出版地○○,出版元□□□,　
«1785-0780»,«暦日0»,廿三〳,みつのとのう,たつ,,　,天火 らうしやく
«1785-0790»,«暦日2»,廿四〳,きのえたつ,のそく,火,　,●
«1785-0800»,«暦日0»,廿五〳,きのとのみ,みつ,,　,十し
«1785-0810»,«暦日2»,廿六〳,ひのえむま,たいら,水,　,さい下しき 神よし 大みやう 大くわ 地火
«1785-0820»,«暦日0»,廿七〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1785-0830»,«節中»,清明三月せつさるの七刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1785-0840»,«暦日2»,廿八〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1785-0850»,«暦日0»,廿九〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1785-0860»,«月序»,三月,大,建,庚辰,鬼宿　胃　土よう
«1785-0870»,«暦日2»,一〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1785-0880»,«暦日0»,二〳,かのとのい,あやふ,,　,●
«1785-0890»,«暦日2»,三〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1785-0900»,«暦日0»,四〳,みつのとのうし,おさん,,ま日,十し
«1785-0910»,«暦日2»,五〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1785-0920»,«暦日0»,六〳,きのとのう,とつ,,　,神よし  ものたちよし
«1785-0930»,«暦日2»,七〳,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
«1785-0940»,«暦日0»,八〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1785-0950»,«暦日2»,九〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1785-0960»,«暦日0»,十〳,つちのとのひつし,たいら,,とよういぬの八刻ニ入,神よし 大みやう ふく日 めつもん 地火
«1785-0970»,«暦日2»,十一〳,かのえさる,さたん,木,　,大みやう くゑ日
«1785-0980»,«暦日0»,十二〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1785-0990»,«暦日1»,十三〳,みつのえいぬ,やふる,水,ま日,月とく
«1785-1000»,«節中»,穀雨三月中いの四刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1785-1010»,«暦日1»,十四〳,みつのとのい,あやふ,水,八せんのおはり,●
«1785-1020»,«暦日2»,十五〳,きのえね,なる,金,　,くゑ日 きこ
«1785-1030»,«暦日0»,十六〳,きのとのうし,おさん,,　,十し
«1785-1040»,«暦日2»,十七〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1785-1050»,«暦日0»,十八〳,ひのとのう,とつ,,　,くゑ日 わうまう  たねまきよし
«1785-1060»,«暦日2»,十九〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1785-1070»,«暦日0»,廿〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1785-1080»,«暦日2»,廿一〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1785-1090»,«暦日0»,廿二〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1785-1100»,«暦日2»,廿三〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1785-1110»,«暦日0»,廿四〳,みつのとのとり,とる,,八十八や,神よし 大みやう
«1785-1120»,«暦日2»,廿五〳,きのえいぬ,やふる,火,　, くさかりよし
«1785-1130»,«暦日0»,廿六〳,きのとのい,あやふ,,　,●
«1785-1140»,«暦日2»,廿七〳,ひのえね,なる,水,　,きこ
«1785-1150»,«暦日0»,廿八〳,ひのとのうし,おさん,,　,十し
«1785-1160»,«暦日1»,廿九〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1785-1170»,«節中»,立夏四月せつ今暁とらの一刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1785-1180»,«暦日1»,卅〳,つちのとのう,ひらく,土,　,神よし 大みやう 天おん 母倉  入学よし
«1785-1190»,«月序»,四月,小,建,辛巳,柳宿　畢　月よう
«1785-1200»,«暦日2»,一〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1785-1210»,«暦日0»,二〳,かのとのみ,たつ,,　,●
«1785-1220»,«暦日2»,三〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1785-1230»,«暦日0»,四〳,みつのとのひつし,みつ,,　,くゑ日
«1785-1240»,«暦日2»,五〳,きのえさる,たいら,水,十方くれニ入,神よし きしく 大みやう ちいみ 大くわ 地火
«1785-1250»,«暦日0»,六〳,きのとのとり,さたん,,　,十し
«1785-1260»,«暦日2»,七〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1785-1270»,«暦日0»,八〳,ひのとのい,やふる,,　,大みやう ちう日
«1785-1280»,«暦日2»,九〳,つちのえね,あやふ,火,　, けんふくよし
«1785-1290»,«暦日0»,十〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1785-1300»,«暦日2»,十一〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1785-1310»,«暦日0»,十二〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1785-1320»,«暦日2»,十三〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1785-1330»,«暦日0»,十四〳,みつのとのみ,たつ,,天一天上,●
«1785-1340»,«節中»,小満四月中たつの六刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1785-1350»,«暦日2»,十五〳,きのえむま,のそく,金,　,天しや よろつよし
«1785-1360»,«暦日0»,十六〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1785-1370»,«暦日2»,十七〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1785-1380»,«暦日0»,十八〳,ひのとのとり,さたん,,　,十し
«1785-1390»,«暦日2»,十九〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1785-1400»,«暦日0»,廿〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1785-1410»,«暦日2»,廿一〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1785-1420»,«暦日0»,廿二〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
