«1697-0000»,【 カンマ区切りテキスト形式です。】
«1697-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1697-2410»,«暦日2»,六〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1697-2420»,«暦日0»,七〳,きのとのとり,のそく,,　,十し
«1697-2430»,«暦日2»,八〳,ひのえいぬ,みつ,土,　,五む日
«1697-2440»,«暦日0»,九〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1697-2450»,«暦日2»,十〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1697-2460»,«暦日0»,十一〳,つちのとのうし,とる,,　,●
«1697-2470»,«暦日2»,十二〳,かのえとら,やふる,木,　,さい下しき ふく日  つめとりよし
«1697-2480»,«暦日0»,十三〳,かのとのう,あやふ,,　,神よし
«1697-2490»,«暦日2»,十四〳,みつのえたつ,なる,水,　,きしく 大みやう 五む日 ちいみ
«1697-2500»,«暦日0»,十五〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1697-2510»,«暦日2»,十六〳,きのえむま,ひらく,金,二百十日,神よし ふく日 天火 らうしやく  かといてよし
«1697-2520»,«暦日0»,十七〳,きのとのひつし,とつ,,　,大みやう 五む日
«1697-2530»,«暦日2»,十八〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1697-2540»,«暦日0»,十九〳,ひのとのとり,のそく,,　,十し
«1697-2550»,«暦日2»,廿〳,つちのえいぬ,のそく,木,八月せつひつしの初刻ニ入,ちいみ  ふねのり 田かりよし
«1697-2560»,«暦日0»,廿一〳,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
«1697-2570»,«暦日2»,廿二〳,かのえね,たいら,土,　,神よし 大くわ 地火
«1697-2580»,«暦日0»,廿三〳,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
«1697-2590»,«暦日2»,廿四〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1697-2600»,«暦日0»,廿五〳,みつのとのう,やふる,,　, くらたて 田かりよし
«1697-2610»,«暦日2»,廿六〳,きのえたつ,あやふ,火,二百廿日,大みやう  けんふく わたましよし
«1697-2620»,«暦日0»,廿七〳,きのとのみ,なる,,　,十し
«1697-2630»,«暦日2»,廿八〳,ひのえむま,おさん,水,　,大みやう めつもん
«1697-2640»,«暦日0»,廿九〳,ひのとのひつし,ひらく,,　,●
«1697-2650»,«月序»,八月,大,建,己酉,斗宿　虛　日よう
«1697-2660»,«暦日2»,一〳,つちのえさる,とつ,土,社日,天しや よろつよし
«1697-2670»,«暦日0»,二〳,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
«1697-2680»,«暦日2»,三〳,かのえいぬ,のそく,金,　,大みやう ちいみ
«1697-2690»,«暦日0»,四〳,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
«1697-2700»,«暦日2»,五〳,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
«1697-2710»,«暦日0»,六〳,みつのとのうし,さたん,,秋分八月中とりの五刻|ま日,神よし  たねまき 竹木こり  つめとりよし
«1697-2720»,«暦日2»,七〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1697-2730»,«暦日0»,八〳,きのとのう,やふる,,ひかんニなる,くゑ日 ふく日 わうまう
«1697-2740»,«暦日2»,九〳,ひのえたつ,あやふ,土,ま日,大みやう
«1697-2750»,«暦日0»,十〳,ひのとのみ,なる,,　,十し
«1697-2760»,«暦日2»,十一〳,つちのえむま,おさん,火,ま日,めつもん
«1697-2770»,«暦日0»,十二〳,つちのとのひつし,ひらく,,　,●
«1697-2780»,«暦日2»,十三〳,かのえさる,とつ,木,　,神よし きしく 大みやう  入学よし
«1697-2790»,«暦日0»,十四〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1697-2800»,«暦日2»,十五〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1697-2810»,«暦日0»,十六〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1697-2820»,«暦日2»,十七〳,きのえね,たいら,金,　,大くわ 地火  わたましよし
«1697-2830»,«暦日0»,十八〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1697-2840»,«暦日2»,十九〳,ひのえとら,とる,火,　,きこ  つめとりよし
«1697-2850»,«暦日0»,廿〳,ひのとのう,やふる,,　, 田かりよし
«1697-2860»,«暦日2»,廿一〳,つちのえたつ,やふる,木,かん露九月せつ夜ねの二刻ニ入,五む日 ふく日
«1697-2870»,«暦日0»,廿二〳,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
«1697-2880»,«暦日2»,廿三〳,かのえむま,なる,土,　,神よし  みそすつくりよし
