«1828-0000»,【 カンマ区切りテキスト形式です。】
«1828-1640»,«暦日2»,十二〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1828-1650»,«暦日0»,十三〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1828-1660»,«暦日2»,十四〳,みつのえね,やふる,木,八せんのはしめ,●
«1828-1670»,«暦日0»,十五〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1828-1680»,«暦日2»,十六〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1828-1690»,«暦日0»,十七〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1828-1700»,«暦日2»,十八〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1828-1710»,«暦日0»,十九〳,ひのとのみ,とつ,,　,十し
«1828-1720»,«暦日2»,廿〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1828-1730»,«暦日0»,廿一〳,つちのとのひつし,のそく,,はんけしやう,神よし 大みやう  みそすつくり 田うへよし
«1828-1740»,«暦日2»,廿二〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1828-1750»,«暦日0»,廿三〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1828-1760»,«暦日2»,廿四〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1828-1770»,«暦日0»,廿五〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1828-1780»,«暦日1»,廿六〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1828-1790»,«節中»,小暑六月せつむまの初刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1828-1800»,«暦日1»,廿七〳,きのとのうし,やふる,金,　,十し
«1828-1810»,«暦日2»,廿八〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1828-1820»,«暦日0»,廿九〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1828-1830»,«暦日1»,卅〳,つちのえたつ,おさん,木,　,きしく 天おん 五む日 ふく日 めつもん
«1828-1840»,«月序»,六月,大,建,己未,女宿　柳　土よう
«1828-1850»,«暦日1»,一〳,つちのとのみ,ひらく,木,　,くゑ日 ちう日 ふく日
«1828-1860»,«暦日2»,二〳,かのえむま,とつ,土,初伏,●
«1828-1870»,«暦日0»,三〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1828-1880»,«暦日2»,四〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1828-1890»,«暦日0»,五〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1828-1900»,«暦日2»,六〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1828-1910»,«暦日0»,七〳,きのとのい,さたん,,　,ちう日
«1828-1920»,«暦日2»,八〳,ひのえね,とる,水,とようさるの一刻ニ入,きこ 下しきたつの時
«1828-1930»,«暦日0»,九〳,ひのとのうし,やふる,,　,十し
«1828-1940»,«暦日2»,十〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1828-1950»,«暦日0»,十一〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1828-1960»,«節中»,大暑六月中さるの五刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1828-1970»,«暦日2»,十二〳,かのえたつ,おさん,金,中伏,天おん めつもん  けんふくよし
«1828-1980»,«暦日0»,十三〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1828-1990»,«暦日2»,十四〳,みつのえむま,とつ,木,　,●
«1828-2000»,«暦日0»,十五〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1828-2010»,«暦日2»,十六〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1828-2020»,«暦日0»,十七〳,きのとのとり,みつ,,　,神よし ちいみ
«1828-2030»,«暦日2»,十八〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1828-2040»,«暦日0»,十九〳,ひのとのい,さたん,,　,大みやう ちう日 わうまう
«1828-2050»,«暦日2»,廿〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
