«1760-0000»,【 カンマ区切りテキスト形式です。】
«1760-0890»,«暦日2»,三〳,つちのえさる,さたん,土,とようさるの六刻ニ入,きしく くゑ日 ふく日
«1760-0900»,«暦日0»,四〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1760-0910»,«暦日2»,五〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1760-0920»,«暦日0»,六〳,かのとのい,あやふ,,　,●
«1760-0930»,«節中»,穀雨三月中とりの二刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1760-0940»,«暦日2»,七〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1760-0950»,«暦日0»,八〳,みつのとのうし,おさん,,ま日,十し
«1760-0960»,«暦日2»,九〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1760-0970»,«暦日0»,十〳,きのとのう,とつ,,　,神よし  ものたちよし
«1760-0980»,«暦日2»,十一〳,ひのえたつ,たつ,土,ま日,大みやう わうまう  わたましよし
«1760-0990»,«暦日0»,十二〳,ひのとのみ,のそく,,　,さい下しき 母倉 月とく ちう日  いちたちよし
«1760-1000»,«暦日2»,十三〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1760-1010»,«暦日0»,十四〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1760-1020»,«暦日2»,十五〳,かのえさる,さたん,木,　,大みやう くゑ日
«1760-1030»,«暦日0»,十六〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1760-1040»,«暦日2»,十七〳,みつのえいぬ,やふる,水,八十八や|ま日,月とく
«1760-1050»,«暦日0»,十八〳,みつのとのい,あやふ,,八せんのおはり,●
«1760-1060»,«暦日2»,十九〳,きのえね,なる,金,　,くゑ日 きこ
«1760-1070»,«暦日0»,廿〳,きのとのうし,おさん,,　,十し
«1760-1080»,«暦日1»,廿一〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1760-1090»,«節中»,立夏四月せついの八刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1760-1100»,«暦日1»,廿二〳,ひのとのう,ひらく,火,　,神よし 天おん 母倉  わたましよし
«1760-1110»,«暦日2»,廿三〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1760-1120»,«暦日0»,廿四〳,つちのとのみ,たつ,,　,●
«1760-1130»,«暦日2»,廿五〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1760-1140»,«暦日0»,廿六〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1760-1150»,«暦日2»,廿七〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1760-1160»,«暦日0»,廿八〳,みつのとのとり,さたん,,　,十し
«1760-1170»,«暦日1»,廿九〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1760-1180»,«月序»,四月,小,建,辛巳,房宿　井　木よう
«1760-1190»,«暦日1»,一〳,きのとのい,やふる,火,　,月とく ちう日
«1760-1200»,«暦日2»,二〳,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
«1760-1210»,«暦日0»,三〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1760-1220»,«暦日2»,四〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1760-1230»,«暦日0»,五〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1760-1240»,«暦日2»,六〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1760-1250»,«暦日0»,七〳,かのとのみ,たつ,,　,●
«1760-1260»,«暦日1»,八〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1760-1270»,«節中»,小満四月中今暁とらの四刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1760-1280»,«暦日1»,九〳,みつのとのひつし,みつ,木,　,くゑ日
«1760-1290»,«暦日2»,十〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1760-1300»,«暦日0»,十一〳,きのとのとり,さたん,,　,十し
«1760-1310»,«暦日2»,十二〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1760-1320»,«暦日0»,十三〳,ひのとのい,やふる,,　,大みやう ちう日
«1760-1330»,«暦日2»,十四〳,つちのえね,あやふ,火,　, けんふくよし
«1760-1340»,«暦日0»,十五〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1760-1350»,«暦日2»,十六〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1760-1360»,«暦日0»,十七〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1760-1370»,«暦日2»,十八〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1760-1380»,«暦日0»,十九〳,みつのとのみ,たつ,,天一天上,●
«1760-1390»,«暦日2»,廿〳,きのえむま,のそく,金,　,天しや よろつよし
«1760-1400»,«暦日0»,廿一〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1760-1410»,«暦日2»,廿二〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1760-1420»,«暦日0»,廿三〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1760-1430»,«節中»,芒種五月せつみの一刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1760-1440»,«暦日2»,廿四〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1760-1450»,«暦日0»,廿五〳,つちのとのい,とる,,　,神よし ちう日
«1760-1460»,«暦日2»,廿六〳,かのえね,やふる,土,　,●
«1760-1470»,«暦日0»,廿七〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1760-1480»,«暦日2»,廿八〳,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
«1760-1490»,«暦日0»,廿九〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1760-1500»,«月序»,五月,大,建,壬午,心宿　鬼　金よう
«1760-1510»,«暦日1»,一〳,きのえたつ,ひらく,火,　,きしく 大みやう
«1760-1520»,«食記»,日帯そく
«1760-1530»,«暦日1»,二〳,きのとのみ,とつ,火,　,十し
«1760-1540»,«暦日2»,三〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1760-1550»,«暦日0»,四〳,ひのとのひつし,のそく,,　,神よし ふく日
«1760-1560»,«暦日2»,五〳,つちのえさる,みつ,土,　,神よし  入学よし
«1760-1570»,«暦日0»,六〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1760-1580»,«暦日2»,七〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1760-1590»,«暦日0»,八〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1760-1600»,«暦日1»,九〳,みつのえね,やふる,木,八せんのはしめ,●
«1760-1610»,«節中»,夏至五月中ひつしの六刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1760-1620»,«暦日1»,十〳,みつのとのうし,あやふ,木,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1760-1630»,«暦日2»,十一〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1760-1640»,«暦日0»,十二〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1760-1650»,«暦日2»,十三〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1760-1660»,«暦日0»,十四〳,ひのとのみ,とつ,,　,十し
«1760-1670»,«暦日2»,十五〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1760-1680»,«暦日0»,十六〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1760-1690»,«暦日2»,十七〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1760-1700»,«暦日0»,十八〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1760-1710»,«暦日2»,十九〳,みつのえいぬ,さたん,水,はんけしやう|ま日, むきかりよし
«1760-1720»,«暦日0»,廿〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1760-1730»,«暦日2»,廿一〳,きのえね,やふる,金,　,●
«1760-1740»,«暦日0»,廿二〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1760-1750»,«暦日2»,廿三〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1760-1760»,«暦日0»,廿四〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1760-1770»,«節中»,小暑六月せついぬの三刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
