《1701-0000》,# カンマ区切りテキスト形式です。
《1701-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1701-0990》,《暦日0》,十六／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1701-1000》,《暦日2》,十七／,きのえたつ,たつ,火,　,大みやう くゑ日
《1701-1010》,《暦日0》,十八／,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
《1701-1020》,《暦日2》,十九／,ひのえむま,みつ,水,　,さい下しき 神よし 大みやう 天火 らうしやく
《1701-1030》,《暦日0》,廿／,ひのとのひつし,たいら,,　,めつもん 地火 わうまう
《1701-1040》,《暦日2》,廿一／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1701-1050》,《暦日0》,廿二／,つちのとのとり,とる,,　,神よし 大みやう ふく日
《1701-1060》,《暦日2》,廿三／,かのえいぬ,やふる,金,　,大みやう
《1701-1070》,《暦日0》,廿四／,かのとのい,あやふ,,　,●
《1701-1080》,《暦日2》,廿五／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1701-1090》,《暦日0》,廿六／,みつのとのうし,おさん,,八十八や/ま日,十し
《1701-1100》,《暦日2》,廿七／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1701-1110》,《暦日0》,廿八／,きのとのう,とつ,,　,神よし  ものたちよし
《1701-1120》,《暦日2》,廿九／,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
《1701-1130》,《暦日0》,卅／,ひのとのみ,たつ,,立夏四月せつとりの五刻ニ入,●
《1701-1140》,《月序》,四月,小,建,癸巳,柳宿　星　日よう
《1701-1150》,《暦日2》,一／,つちのえむま,のそく,火,ま日,くゑ日
《1701-1160》,《暦日0》,二／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1701-1170》,《暦日2》,三／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1701-1180》,《暦日0》,四／,かのとのとり,さたん,,　,十し
《1701-1190》,《暦日2》,五／,みつのえいぬ,とる,水,ま日,ふく日
《1701-1200》,《暦日0》,六／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1701-1210》,《暦日2》,七／,きのえね,あやふ,金,　,わうまう
《1701-1220》,《暦日0》,八／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1701-1230》,《暦日2》,九／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1701-1240》,《暦日0》,十／,ひのとのう,ひらく,,　,神よし  わたましよし
《1701-1250》,《暦日2》,十一／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1701-1260》,《暦日0》,十二／,つちのとのみ,たつ,,　,●
《1701-1270》,《暦日2》,十三／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1701-1280》,《暦日0》,十四／,かのとのひつし,みつ,,　,大みやう くゑ日
《1701-1290》,《暦日2》,十五／,みつのえさる,たいら,金,四月中夜ねの二刻,神よし 大みやう ちいみ 大くわ ふく日 地火
《1701-1300》,《暦日0》,十六／,みつのとのとり,さたん,,　,十し
《1701-1310》,《暦日2》,十七／,きのえいぬ,とる,火,　, やたて くらたてよし
《1701-1320》,《暦日0》,十八／,きのとのい,やふる,,　,ちう日
《1701-1330》,《暦日2》,十九／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1701-1340》,《暦日0》,廿／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1701-1350》,《暦日2》,廿一／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1701-1360》,《暦日0》,廿二／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1701-1370》,《暦日2》,廿三／,かのえたつ,とつ,金,　, けんふくよし
《1701-1380》,《暦日0》,廿四／,かのとのみ,たつ,,　,●
《1701-1390》,《暦日2》,廿五／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1701-1400》,《暦日0》,廿六／,みつのとのひつし,みつ,,　,くゑ日
《1701-1410》,《暦日2》,廿七／,きのえさる,たいら,水,十方くれニ入,神よし きしく 大みやう ちいみ 大くわ 地火
《1701-1420》,《暦日0》,廿八／,きのとのとり,さたん,,　,十し
《1701-1430》,《暦日1》,廿九／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1701-1440》,《月序》,五月,大,建,甲午,星宿　張　月よう
《1701-1450》,《暦日1》,一／,ひのとのい,やふる,土,　,大みやう ちう日
《1701-1460》,《暦日2》,二／,つちのえね,やふる,火,五月せつとらの七刻ニ入,●
《1701-1470》,《暦日0》,三／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1701-1480》,《暦日2》,四／,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
《1701-1490》,《暦日0》,五／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1701-1500》,《暦日2》,六／,みつのえたつ,ひらく,水,入梅,大みやう 五む日
《1701-1510》,《暦日0》,七／,みつのとのみ,とつ,,天一天上,十し
《1701-1520》,《暦日2》,八／,きのえむま,たつ,金,　,天しや よろつよし
《1701-1530》,《暦日0》,九／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1701-1540》,《暦日2》,十／,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
《1701-1550》,《暦日0》,十一／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1701-1560》,《暦日2》,十二／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1701-1570》,《暦日0》,十三／,つちのとのい,とる,,　,神よし ちう日
《1701-1580》,《暦日2》,十四／,かのえね,やふる,土,　,●
《1701-1590》,《暦日0》,十五／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1701-1600》,《暦日2》,十六／,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
《1701-1610》,《暦日0》,十七／,みつのとのう,おさん,,夏至五月中みの四刻,ちいみ 大くわ ふく日 わうまう
《1701-1620》,《暦日2》,十八／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1701-1630》,《暦日0》,十九／,きのとのみ,とつ,,　,十し
《1701-1640》,《暦日2》,廿／,ひのえむま,たつ,水,　,さい下しき 大みやう くゑ日 下しきうの時
《1701-1650》,《暦日0》,廿一／,ひのとのひつし,のそく,,　,神よし ふく日
《1701-1660》,《暦日2》,廿二／,つちのえさる,みつ,土,　,神よし  入学よし
《1701-1670》,《暦日0》,廿三／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1701-1680》,《暦日2》,廿四／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1701-1690》,《暦日0》,廿五／,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
《1701-1700》,《暦日2》,廿六／,みつのえね,やふる,木,八せんのはしめ,●
《1701-1710》,《暦日0》,廿七／,みつのとのうし,あやふ,,はんけしやう/ま日,神よし ふく日  むきかり  つめとりよし
《1701-1720》,《暦日2》,廿八／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1701-1730》,《暦日0》,廿九／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1701-1740》,《暦日1》,卅／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1701-1750》,《月序》,六月,小,建,乙未,張宿　軫　水よう
《1701-1760》,《暦日1》,一／,ひのとのみ,とつ,土,　,十し
《1701-1770》,《暦日2》,二／,つちのえむま,とつ,火,六月せつさるの一刻ニ入/ま日,●
《1701-1780》,《暦日0》,三／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1701-1790》,《暦日2》,四／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
《1701-1800》,《暦日0》,五／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1701-1810》,《暦日2》,六／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1701-1820》,《暦日0》,七／,みつのとのい,さたん,,八せんのおはり,ちう日
《1701-1830》,《暦日2》,八／,きのえね,とる,金,　,きこ 下しきたつの時
《1701-1840》,《暦日0》,九／,きのとのうし,やふる,,　,十し
《1701-1850》,《暦日2》,十／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《1701-1860》,《暦日0》,十一／,ひのとのう,なる,,　,神よし 天火 らうしやく
《1701-1870》,《暦日2》,十二／,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
《1701-1880》,《暦日0》,十三／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1701-1890》,《暦日2》,十四／,かのえむま,とつ,土,初伏/とよういぬの二刻ニ入,●
《1701-1900》,《暦日0》,十五／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1701-1910》,《暦日2》,十六／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1701-1920》,《暦日0》,十七／,みつのとのとり,みつ,,六月中いぬの六刻,神よし 大みやう ちいみ  みそすつくりよし
《1701-1930》,《暦日2》,十八／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
《1701-1940》,《暦日0》,十九／,きのとのい,さたん,,　,ちう日
《1701-1950》,《暦日2》,廿／,ひのえね,とる,水,　,きこ 下しきたつの時
《1701-1960》,《暦日0》,廿一／,ひのとのうし,やふる,,　,十し
《1701-1970》,《暦日2》,廿二／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1701-1980》,《暦日0》,廿三／,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
《1701-1990》,《暦日2》,廿四／,かのえたつ,おさん,金,中伏,きしく めつもん  けんふくよし
《1701-2000》,《暦日0》,廿五／,かのとのみ,ひらく,,　,ちう日 わうまう  ものたちよし
《1701-2010》,《暦日2》,廿六／,みつのえむま,とつ,木,　,●
《1701-2020》,《暦日0》,廿七／,みつのとのひつし,たつ,,　, たねまきよし
《1701-2030》,《暦日2》,廿八／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
《1701-2040》,《暦日0》,廿九／,きのとのとり,みつ,,　,神よし ちいみ
《1701-2050》,《月序》,七月,大,建,丙申,翼宿　角　木よう
《1701-2060》,《暦日2》,一／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1701-2070》,《暦日0》,二／,ひのとのい,さたん,,　,大みやう ちう日
《1701-2080》,《暦日2》,三／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1701-2090》,《暦日0》,四／,つちのとのうし,とる,,立秋七月せつうしの三刻ニ入,●
《1701-2100》,《暦日2》,五／,かのえとら,やふる,木,末伏,ふく日  つめとりよし
《1701-2110》,《暦日0》,六／,かのとのう,あやふ,,　,神よし
《1701-2120》,《暦日2》,七／,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
《1701-2130》,《暦日0》,八／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1701-2140》,《暦日2》,九／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1701-2150》,《暦日0》,十／,きのとのひつし,とつ,,　,大みやう 五む日
《1701-2160》,《暦日2》,十一／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
