«1702-0000»,【 カンマ区切りテキスト形式です。】
«1702-0960»,«暦日0»,十四〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1702-0970»,«暦日2»,十五〳,ひのえさる,さたん,火,　,くゑ日
«1702-0980»,«暦日0»,十六〳,ひのとのとり,とる,,　,神よし  いちたちよし
«1702-0990»,«暦日2»,十七〳,つちのえいぬ,やふる,木,　,ふく日
«1702-1000»,«暦日0»,十八〳,つちのとのい,あやふ,,　,●
«1702-1010»,«暦日2»,十九〳,かのえね,なる,土,　,神よし きこ
«1702-1020»,«暦日0»,廿〳,かのとのうし,おさん,,　,十し
«1702-1030»,«暦日2»,廿一〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1702-1040»,«暦日0»,廿二〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1702-1050»,«暦日2»,廿三〳,きのえたつ,たつ,火,とようとりの三刻ニ入,大みやう くゑ日
«1702-1060»,«暦日0»,廿四〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1702-1070»,«暦日2»,廿五〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1702-1080»,«暦日0»,廿六〳,ひのとのひつし,たいら,,三月中とりの七刻,さい下しき 神よし めつもん 地火
«1702-1090»,«暦日2»,廿七〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1702-1100»,«暦日0»,廿八〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1702-1110»,«暦日2»,廿九〳,かのえいぬ,やふる,金,　,大みやう
«1702-1120»,«暦日0»,卅〳,かのとのい,あやふ,,　,●
«1702-1130»,«月序»,四月,大,建,乙巳,斗宿　奎　木よう
«1702-1140»,«暦日2»,一〳,みつのえね,なる,木,八せんのはしめ,きこ わうまう
«1702-1150»,«暦日0»,二〳,みつのとのうし,おさん,,ま日,十し
«1702-1160»,«暦日2»,三〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1702-1170»,«暦日0»,四〳,きのとのう,とつ,,　,神よし  ものたちよし
«1702-1180»,«暦日2»,五〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1702-1190»,«暦日0»,六〳,ひのとのみ,のそく,,　,ちう日  いちたちよし
«1702-1200»,«暦日2»,七〳,つちのえむま,みつ,火,八十八や|ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1702-1210»,«暦日0»,八〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1702-1220»,«暦日2»,九〳,かのえさる,さたん,木,　,きしく 大みやう くゑ日
«1702-1230»,«暦日0»,十〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1702-1240»,«暦日2»,十一〳,みつのえいぬ,やふる,水,ま日
«1702-1250»,«暦日0»,十二〳,みつのとのい,やふる,,立夏四月せつねの四刻ニ入|八せんのおはり,くゑ日 ちう日
«1702-1260»,«暦日2»,十三〳,きのえね,あやふ,金,　
«1702-1270»,«暦日0»,十四〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1702-1280»,«暦日2»,十五〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1702-1290»,«暦日0»,十六〳,ひのとのう,ひらく,,　,神よし  わたましよし
«1702-1300»,«暦日2»,十七〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1702-1310»,«暦日0»,十八〳,つちのとのみ,たつ,,　,●
«1702-1320»,«暦日2»,十九〳,かのえむま,のそく,土,　,わうまう  さひらき みそすつくりよし
«1702-1330»,«暦日0»,廿〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1702-1340»,«暦日2»,廿一〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1702-1350»,«暦日0»,廿二〳,みつのとのとり,さたん,,　,十し
«1702-1360»,«暦日2»,廿三〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1702-1370»,«暦日0»,廿四〳,きのとのい,やふる,,　,ちう日
«1702-1380»,«暦日2»,廿五〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1702-1390»,«暦日0»,廿六〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1702-1400»,«暦日2»,廿七〳,つちのえとら,おさん,土,四月中うの一刻,めつもん  たねまき  つめとりよし
«1702-1410»,«暦日0»,廿八〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1702-1420»,«暦日2»,廿九〳,かのえたつ,とつ,金,　, けんふくよし
«1702-1430»,«暦日0»,卅〳,かのとのみ,たつ,,　,●
«1702-1440»,«月序»,五月,小,建,丙午,牛宿　胃　土よう
«1702-1450»,«暦日2»,一〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1702-1460»,«暦日0»,二〳,みつのとのひつし,みつ,,　,くゑ日
«1702-1470»,«暦日2»,三〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1702-1480»,«暦日0»,四〳,きのとのとり,さたん,,　,十し
«1702-1490»,«暦日2»,五〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1702-1500»,«暦日0»,六〳,ひのとのい,やふる,,　,大みやう ちう日
«1702-1510»,«暦日2»,七〳,つちのえね,あやふ,火,　,きしく  けんふくよし
«1702-1520»,«暦日0»,八〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1702-1530»,«暦日2»,九〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1702-1540»,«暦日0»,十〳,かのとのう,ひらく,,　,神よし  やたて ものたちよし
«1702-1550»,«暦日2»,十一〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1702-1560»,«暦日0»,十二〳,みつのとのみ,とつ,,五月せつみの六刻ニ入|天一天上,十し
«1702-1570»,«暦日2»,十三〳,きのえむま,たつ,金,　,天しや よろつよし
«1702-1580»,«暦日0»,十四〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1702-1590»,«暦日2»,十五〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1702-1600»,«暦日0»,十六〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1702-1610»,«暦日2»,十七〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1702-1620»,«暦日0»,十八〳,つちのとのい,とる,,　,神よし ちう日
«1702-1630»,«暦日2»,十九〳,かのえね,やふる,土,　,●
«1702-1640»,«暦日0»,廿〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1702-1650»,«暦日2»,廿一〳,みつのえとら,なる,金,入梅,大みやう きこ  くさかり  つめとりよし
«1702-1660»,«暦日0»,廿二〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1702-1670»,«暦日2»,廿三〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1702-1680»,«暦日0»,廿四〳,きのとのみ,とつ,,　,十し
«1702-1690»,«暦日2»,廿五〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1702-1700»,«暦日0»,廿六〳,ひのとのひつし,のそく,,　,さい下しき 神よし ふく日
«1702-1710»,«暦日2»,廿七〳,つちのえさる,みつ,土,夏至五月中さるの三刻,わうまう  入学よし
«1702-1720»,«暦日0»,廿八〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1702-1730»,«暦日1»,廿九〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1702-1740»,«月序»,六月,大,建,丁未,女宿　昴　日よう
«1702-1750»,«暦日1»,一〳,かのとのい,とる,金,　,神よし 大みやう ちう日  入学よし
«1702-1760»,«暦日2»,二〳,みつのえね,やふる,木,八せんのはしめ,●
«1702-1770»,«暦日0»,三〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1702-1780»,«暦日2»,四〳,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
«1702-1790»,«暦日0»,五〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1702-1800»,«暦日2»,六〳,ひのえたつ,ひらく,土,ま日,きしく 大みやう  けんふく いちたちよし
«1702-1810»,«暦日0»,七〳,ひのとのみ,とつ,,　,十し
«1702-1820»,«暦日2»,八〳,つちのえむま,たつ,火,はんけしやう|ま日,くゑ日 下しきうの時
«1702-1830»,«暦日0»,九〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1702-1840»,«暦日2»,十〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
