《1851-0000》,# カンマ区切りテキスト形式です。
《1851-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1851-1030》,《暦日2》,十五／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1851-1040》,《暦日0》,十六／,みつのとのう,とつ,,とよう夜五時三分ニ入,神よし  けんふく かといてよし
《1851-1050》,《暦日2》,十七／,きのえたつ,たつ,火,　,きしく 大みやう くゑ日
《1851-1060》,《暦日0》,十八／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1851-1070》,《暦日2》,十九／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1851-1080》,《暦日0》,廿／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1851-1090》,《節中》,穀雨三月中今暁八時二分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1851-1100》,《暦日2》,廿一／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1851-1110》,《暦日0》,廿二／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1851-1120》,《暦日2》,廿三／,かのえいぬ,やふる,金,　,大みやう 天おん
《1851-1130》,《暦日0》,廿四／,かのとのい,あやふ,,　,●
《1851-1140》,《暦日2》,廿五／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1851-1150》,《暦日0》,廿六／,みつのとのうし,おさん,,ま日,十し
《1851-1160》,《暦日2》,廿七／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1851-1170》,《暦日0》,廿八／,きのとのう,とつ,,　,神よし  ものたちよし
《1851-1180》,《暦日1》,廿九／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1851-1190》,《月序》,四月,大,建,癸巳,房宿　斗　木よう
《1851-1200》,《暦日1》,一／,ひのとのみ,のそく,土,　,母倉 月とく ちう日  いちたちよし
《1851-1210》,《暦日2》,二／,つちのえむま,みつ,火,八十八や/ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1851-1220》,《暦日0》,三／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1851-1230》,《暦日2》,四／,かのえさる,さたん,木,　,大みやう くゑ日
《1851-1240》,《暦日0》,五／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1851-1250》,《暦日1》,六／,みつのえいぬ,とる,水,ま日,ふく日
《1851-1260》,《節中》,立夏四月せつ昼九時三分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1851-1270》,《暦日1》,七／,みつのとのい,やふる,水,八せんのおはり,くゑ日 ちう日
《1851-1280》,《暦日2》,八／,きのえね,あやふ,金,　,天おん
《1851-1290》,《暦日0》,九／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1851-1300》,《暦日2》,十／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1851-1310》,《暦日0》,十一／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1851-1320》,《暦日2》,十二／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1851-1330》,《暦日0》,十三／,つちのとのみ,たつ,,　,●
《1851-1340》,《暦日2》,十四／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1851-1350》,《暦日0》,十五／,かのとのひつし,みつ,,　,大みやう くゑ日
《1851-1360》,《暦日2》,十六／,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
《1851-1370》,《暦日0》,十七／,みつのとのとり,さたん,,　,十し
《1851-1380》,《暦日2》,十八／,きのえいぬ,とる,火,　, やたて くらたてよし
《1851-1390》,《暦日0》,十九／,きのとのい,やふる,,　,月とく ちう日
《1851-1400》,《暦日2》,廿／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1851-1410》,《暦日0》,廿一／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1851-1420》,《暦日1》,廿二／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1851-1430》,《節中》,小満四月中今暁八時四分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1851-1440》,《暦日1》,廿三／,つちのとのう,ひらく,土,　,神よし 大みやう 天おん 母倉  入学よし
《1851-1450》,《暦日2》,廿四／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1851-1460》,《暦日0》,廿五／,かのとのみ,たつ,,　,●
《1851-1470》,《暦日2》,廿六／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1851-1480》,《暦日0》,廿七／,みつのとのひつし,みつ,,　,くゑ日
《1851-1490》,《暦日2》,廿八／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1851-1500》,《暦日0》,廿九／,きのとのとり,さたん,,　,十し
《1851-1510》,《暦日1》,卅／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1851-1520》,《月序》,五月,小,建,甲午,心宿　女　土よう
《1851-1530》,《暦日1》,一／,ひのとのい,やふる,土,　,大みやう ちう日
《1851-1540》,《暦日2》,二／,つちのえね,あやふ,火,　, けんふくよし
《1851-1550》,《暦日0》,三／,つちのとのうし,なる,,　,きこ  つめとりよし
《1851-1560》,《暦日2》,四／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1851-1570》,《暦日0》,五／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1851-1580》,《暦日2》,六／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1851-1590》,《暦日0》,七／,みつのとのみ,とつ,,天一天上,十し
《1851-1600》,《節中》,芒種五月せつ夕七時一分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1851-1610》,《暦日2》,八／,きのえむま,たつ,金,　,天しや よろつよし
《1851-1620》,《暦日0》,九／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1851-1630》,《暦日2》,十／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1851-1640》,《暦日0》,十一／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1851-1650》,《暦日2》,十二／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1851-1660》,《暦日0》,十三／,つちのとのい,とる,,　,神よし ちう日
《1851-1670》,《暦日2》,十四／,かのえね,やふる,土,　,●
《1851-1680》,《暦日0》,十五／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1851-1690》,《暦日2》,十六／,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
《1851-1700》,《暦日0》,十七／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1851-1710》,《暦日2》,十八／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1851-1720》,《暦日0》,十九／,きのとのみ,とつ,,　,十し
《1851-1730》,《暦日2》,廿／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1851-1740》,《暦日0》,廿一／,ひのとのひつし,のそく,,　,神よし ふく日
《1851-1750》,《暦日2》,廿二／,つちのえさる,みつ,土,　,わうまう  入学よし
《1851-1760》,《暦日0》,廿三／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1851-1770》,《節中》,夏至五月中朝四時四分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1851-1780》,《暦日2》,廿四／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1851-1790》,《暦日0》,廿五／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1851-1800》,《暦日2》,廿六／,みつのえね,やふる,木,八せんのはしめ,●
《1851-1810》,《暦日0》,廿七／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1851-1820》,《暦日2》,廿八／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1851-1830》,《暦日0》,廿九／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1851-1840》,《月序》,六月,小,建,乙未,尾宿　虛　日よう
《1851-1850》,《暦日2》,一／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1851-1860》,《暦日0》,二／,ひのとのみ,とつ,,　,十し
《1851-1870》,《暦日2》,三／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1851-1880》,《暦日0》,四／,つちのとのひつし,のそく,,はんけしやう,神よし 大みやう  みそすつくり 田うへよし
《1851-1890》,《暦日2》,五／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1851-1900》,《暦日0》,六／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1851-1910》,《暦日2》,七／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1851-1920》,《暦日0》,八／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1851-1930》,《暦日2》,九／,きのえね,やふる,金,　,●
《1851-1940》,《暦日0》,十／,きのとのうし,やふる,,　,十し
《1851-1950》,《節中》,小暑六月せつ明六時ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1851-1960》,《暦日2》,十一／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1851-1970》,《暦日0》,十二／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1851-1980》,《暦日2》,十三／,つちのえたつ,おさん,木,　,きしく 天おん 五む日 ふく日 めつもん
《1851-1990》,《暦日0》,十四／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1851-2000》,《暦日2》,十五／,かのえむま,とつ,土,初伏,●
《1851-2010》,《暦日0》,十六／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1851-2020》,《暦日2》,十七／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1851-2030》,《暦日0》,十八／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1851-2040》,《暦日2》,十九／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1851-2050》,《暦日0》,廿／,きのとのい,さたん,,　,ちう日
