《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0970》,《暦日0》,十／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《0980》,《暦日2》,十一／,みつのえいぬ,やふる,水,ま日,月とく
《0990》,《暦日0》,十二／,みつのとのい,あやふ,,八せんのおはり,●
《1000》,《暦日2》,十三／,きのえね,なる,金,　,きしく くゑ日 きこ
《1010》,《暦日0》,十四／,きのとのうし,おさん,,　,十し
《1020》,《暦日2》,十五／,ひのえとら,ひらく,火,八十八や,くゑ日 ちいみ
《1030》,《暦日0》,十六／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1040》,《暦日2》,十七／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1050》,《暦日0》,十八／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1060》,《暦日1》,十九／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1070》,《節中》,立夏四月せつひつしの一刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1080》,《暦日1》,廿／,かのとのひつし,みつ,土,　,大みやう くゑ日
《1090》,《暦日2》,廿一／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1100》,《暦日0》,廿二／,みつのとのとり,さたん,,　,十し
《1110》,《暦日2》,廿三／,きのえいぬ,とる,火,　, やたて くらたてよし
《1120》,《暦日0》,廿四／,きのとのい,やふる,,　,月とく ちう日
《1130》,《暦日2》,廿五／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1140》,《暦日0》,廿六／,ひのとのうし,なる,,　,大みやう きこ わうまう  ものたち  つめとりよし
《1150》,《暦日2》,廿七／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1160》,《暦日0》,廿八／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1170》,《暦日2》,廿九／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1180》,《暦日0》,卅／,かのとのみ,たつ,,　,●
《1190》,《月序》,四月,小,建,辛巳,房宿　室　火よう
《1200》,《暦日2》,一／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1210》,《暦日0》,二／,みつのとのひつし,みつ,,　,くゑ日
《1220》,《暦日2》,三／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1230》,《暦日0》,四／,きのとのとり,さたん,,　,十し
《1240》,《節中》,小満四月中とりの六刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1250》,《暦日2》,五／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1260》,《暦日0》,六／,ひのとのい,やふる,,　,大みやう ちう日
《1270》,《暦日2》,七／,つちのえね,あやふ,火,　, けんふくよし
《1280》,《暦日0》,八／,つちのとのうし,なる,,　,きこ  つめとりよし
《1290》,《暦日2》,九／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1300》,《暦日0》,十／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1310》,《暦日2》,十一／,みつのえたつ,とつ,水,　,さい下しき きしく 大みやう 五む日 ふく日
《1320》,《暦日0》,十二／,みつのとのみ,たつ,,天一天上,●
《1330》,《暦日2》,十三／,きのえむま,のそく,金,　,天しや よろつよし
《1340》,《暦日0》,十四／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1350》,《暦日2》,十五／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1360》,《暦日0》,十六／,ひのとのとり,さたん,,　,十し
《1370》,《暦日2》,十七／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1380》,《暦日0》,十八／,つちのとのい,やふる,,　,くゑ日 ちう日
《1390》,《暦日1》,十九／,かのえね,やふる,土,　,●
《1400》,《節中》,芒種五月せつ今夜ねの三刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
