《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0950》,《節中》,清明三月せつ朝四時八分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《0960》,《暦日2》,九／,つちのえさる,さたん,土,　,くゑ日 ふく日
《0970》,《暦日0》,十／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《0980》,《暦日2》,十一／,かのえいぬ,やふる,金,　,大みやう 天おん
《0990》,《暦日0》,十二／,かのとのい,あやふ,,　,●
《1000》,《暦日2》,十三／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1010》,《暦日0》,十四／,みつのとのうし,おさん,,ま日,十し
《1020》,《暦日2》,十五／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1030》,《暦日0》,十六／,きのとのう,とつ,,　,神よし  ものたちよし
《1040》,《暦日2》,十七／,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
《1050》,《暦日0》,十八／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1060》,《暦日2》,十九／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1070》,《暦日0》,廿／,つちのとのひつし,たいら,,とよう昼八時六分ニ入,神よし 大みやう ふく日 めつもん 地火
《1080》,《暦日2》,廿一／,かのえさる,さたん,木,　,大みやう くゑ日
《1090》,《暦日0》,廿二／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1100》,《暦日1》,廿三／,みつのえいぬ,やふる,水,ま日,月とく
《1110》,《節中》,穀雨三月中暮六時一分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1120》,《暦日1》,廿四／,みつのとのい,あやふ,水,八せんのおはり,●
《1130》,《暦日2》,廿五／,きのえね,なる,金,　,くゑ日 きこ
《1140》,《暦日0》,廿六／,きのとのうし,おさん,,　,十し
《1150》,《暦日2》,廿七／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1160》,《暦日0》,廿八／,ひのとのう,とつ,,　,さい下しき くゑ日 わうまう  たねまきよし
《1170》,《暦日1》,廿九／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1180》,《月序》,四月,大,建,己巳,危宿　斗　木よう
《1190》,《暦日1》,一／,つちのとのみ,のそく,木,　,神よし 母倉 ちう日 ふく日  かといてよし
《1200》,《暦日2》,二／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1210》,《暦日0》,三／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1220》,《暦日2》,四／,みつのえさる,さたん,金,　,大みやう くゑ日
《1230》,《暦日0》,五／,みつのとのとり,とる,,　,神よし 大みやう
《1240》,《暦日2》,六／,きのえいぬ,やふる,火,八十八や, くさかりよし
《1250》,《暦日0》,七／,きのとのい,あやふ,,　,●
《1260》,《暦日2》,八／,ひのえね,なる,水,　,きこ
《1270》,《暦日0》,九／,ひのとのうし,おさん,,　,十し
《1280》,《暦日1》,十／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1290》,《節中》,立夏四月せつ明六時六分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1300》,《暦日1》,十一／,つちのとのう,ひらく,土,　,神よし 大みやう 天おん 母倉  入学よし
《1310》,《暦日2》,十二／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1320》,《暦日0》,十三／,かのとのみ,たつ,,　,●
《1330》,《暦日2》,十四／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1340》,《暦日0》,十五／,みつのとのひつし,みつ,,　,くゑ日
《1350》,《暦日1》,十六／,きのえさる,たいら,水,十方くれニ入,きしく 大みやう ちいみ 大くわ 地火
《1360》,《食記》,月そくニ分半
《1370》,《暦日1》,十七／,きのとのとり,さたん,水,　,十し
