《1839-0000》,# カンマ区切りテキスト形式です。
《1839-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1839-0020》,# ・表の区画内での改行は“/”で表記します。
《1839-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1839-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1839-0050》,# 外部リンク
《1839-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/147 ～ 150
《1839-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1839g　(GitHub上データを表成型)
《1839-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1839h　(翻刻編集データを表成型 - 未実装)
《1839-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1839-0100》,《版元》,出版地○○,出版元□□□,　
《1839-1150》,《暦日0》,廿七／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1839-1160》,《暦日2》,廿八／,きのえね,あやふ,金,　,天おん
《1839-1170》,《暦日0》,廿九／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1839-1180》,《月序》,四月,小,建,己巳,軫宿　心　月よう
《1839-1190》,《暦日2》,一／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1839-1200》,《暦日0》,二／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1839-1210》,《暦日2》,三／,つちのえたつ,とつ,木,　,五む日 くゑ日 わうまう
《1839-1220》,《暦日0》,四／,つちのとのみ,たつ,,　,●
《1839-1230》,《暦日2》,五／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1839-1240》,《暦日0》,六／,かのとのひつし,みつ,,　,大みやう くゑ日
《1839-1250》,《暦日2》,七／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1839-1260》,《暦日0》,八／,みつのとのとり,さたん,,　,十し
《1839-1270》,《暦日2》,九／,きのえいぬ,とる,火,　, やたて くらたてよし
《1839-1280》,《暦日0》,十／,きのとのい,やふる,,　,月とく ちう日
《1839-1290》,《暦日1》,十一／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1839-1300》,《節中》,小満四月中むまの一刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1839-1310》,《暦日1》,十二／,ひのとのうし,なる,水,　,大みやう きこ  ものたち  つめとりよし
《1839-1320》,《暦日2》,十三／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1839-1330》,《暦日0》,十四／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1839-1340》,《暦日2》,十五／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1839-1350》,《暦日0》,十六／,かのとのみ,たつ,,　,●
《1839-1360》,《暦日2》,十七／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1839-1370》,《暦日0》,十八／,みつのとのひつし,みつ,,　,くゑ日
《1839-1380》,《暦日2》,十九／,きのえさる,たいら,水,十方くれニ入,神よし きしく 大みやう ちいみ 大くわ 地火
《1839-1390》,《暦日0》,廿／,きのとのとり,さたん,,　,十し
《1839-1400》,《暦日2》,廿一／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1839-1410》,《暦日0》,廿二／,ひのとのい,やふる,,　,大みやう ちう日
《1839-1420》,《暦日2》,廿三／,つちのえね,あやふ,火,　, けんふくよし
《1839-1430》,《暦日0》,廿四／,つちのとのうし,なる,,　,きこ  つめとりよし
《1839-1440》,《暦日2》,廿五／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1839-1450》,《暦日0》,廿六／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1839-1460》,《節中》,芒種五月せつさるの六刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1839-1470》,《暦日2》,廿七／,みつのえたつ,ひらく,水,入梅,大みやう 五む日
《1839-1480》,《暦日0》,廿八／,みつのとのみ,とつ,,天一天上,十し
《1839-1490》,《暦日1》,廿九／,きのえむま,たつ,金,　,天しや よろつよし
《1839-1500》,《月序》,五月,大,建,庚午,角宿　尾　火よう
《1839-1510》,《暦日1》,一／,きのとのひつし,のそく,金,　,大みやう 五む日  むきかりよし
《1839-1520》,《暦日2》,二／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1839-1530》,《暦日0》,三／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1839-1540》,《暦日2》,四／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1839-1550》,《暦日0》,五／,つちのとのい,とる,,　,神よし ちう日
《1839-1560》,《暦日2》,六／,かのえね,やふる,土,　,●
《1839-1570》,《暦日0》,七／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1839-1580》,《暦日2》,八／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1839-1590》,《暦日0》,九／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1839-1600》,《暦日2》,十／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1839-1610》,《暦日0》,十一／,きのとのみ,とつ,,　,十し
《1839-1620》,《暦日1》,十二／,ひのえむま,たつ,水,　,大みやう くゑ日 わうまう 下しきうの時
《1839-1630》,《節中》,夏至五月中いの三刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1839-1640》,《暦日1》,十三／,ひのとのひつし,のそく,水,　,神よし ふく日
《1839-1650》,《暦日2》,十四／,つちのえさる,みつ,土,　,神よし  入学よし
《1839-1660》,《暦日0》,十五／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1839-1670》,《暦日2》,十六／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1839-1680》,《暦日0》,十七／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1839-1690》,《暦日2》,十八／,みつのえね,やふる,木,八せんのはしめ,●
《1839-1700》,《暦日0》,十九／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1839-1710》,《暦日2》,廿／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1839-1720》,《暦日0》,廿一／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1839-1730》,《暦日2》,廿二／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1839-1740》,《暦日0》,廿三／,ひのとのみ,とつ,,はんけしやう,十し
《1839-1750》,《暦日2》,廿四／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1839-1760》,《暦日0》,廿五／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1839-1770》,《暦日2》,廿六／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1839-1780》,《暦日0》,廿七／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1839-1790》,《暦日1》,廿八／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1839-1800》,《節中》,小暑六月せつ今暁とらの初刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1839-1810》,《暦日1》,廿九／,みつのとのい,さたん,水,八せんのおはり,ちう日
《1839-1820》,《暦日1》,卅／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1839-1830》,《月序》,六月,小,建,辛未,亢宿　斗　木よう
《1839-1840》,《暦日1》,一／,きのとのうし,やふる,金,　,十し
《1839-1850》,《暦日2》,二／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1839-1860》,《暦日0》,三／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1839-1870》,《暦日2》,四／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1839-1880》,《暦日0》,五／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1839-1890》,《暦日2》,六／,かのえむま,とつ,土,初伏,●
《1839-1900》,《暦日0》,七／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1839-1910》,《暦日2》,八／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1839-1920》,《暦日0》,九／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1839-1930》,《暦日2》,十／,きのえいぬ,たいら,火,とようたつの一刻ニ入,月とく 大くわ 地火  わたましよし
《1839-1940》,《暦日0》,十一／,きのとのい,さたん,,　,ちう日
《1839-1950》,《暦日2》,十二／,ひのえね,とる,水,　,きこ 下しきたつの時
《1839-1960》,《暦日0》,十三／,ひのとのうし,やふる,,　,十し
《1839-1970》,《節中》,大暑六月中たつの五刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1839-1980》,《暦日2》,十四／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1839-1990》,《暦日0》,十五／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1839-2000》,《暦日2》,十六／,かのえたつ,おさん,金,中伏,きしく 天おん めつもん  けんふくよし
《1839-2010》,《暦日0》,十七／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《1839-2020》,《暦日2》,十八／,みつのえむま,とつ,木,　,●
《1839-2030》,《暦日0》,十九／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1839-2040》,《暦日2》,廿／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《1839-2050》,《暦日0》,廿一／,きのとのとり,みつ,,　,ちいみ わうまう
《1839-2060》,《暦日2》,廿二／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1839-2070》,《暦日0》,廿三／,ひのとのい,さたん,,　,大みやう ちう日
《1839-2080》,《暦日2》,廿四／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1839-2090》,《暦日0》,廿五／,つちのとのうし,やふる,,　,十し
《1839-2100》,《暦日2》,廿六／,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
《1839-2110》,《暦日0》,廿七／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1839-2120》,《暦日1》,廿八／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《1839-2130》,《節中》,立秋七月せつひつしの二刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1839-2140》,《暦日1》,廿九／,みつのとのみ,おさん,水,天一天上,大くわ ちう日  たねまきよし
《1839-2150》,《月序》,七月,大,建,壬申,氐宿　牛　金よう
《1839-2160》,《暦日2》,一／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1839-2170》,《暦日0》,二／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《1839-2180》,《暦日2》,三／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1839-2190》,《暦日0》,四／,ひのとのとり,のそく,,　,十し
《1839-2200》,《暦日2》,五／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1839-2210》,《暦日0》,六／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1839-2220》,《暦日2》,七／,かのえね,さたん,土,末伏,さい下しき ふく日 わうまう
《1839-2230》,《暦日0》,八／,かのとのうし,とる,,　,●
《1839-2240》,《暦日2》,九／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《1839-2250》,《暦日0》,十／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1839-2260》,《暦日2》,十一／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1839-2270》,《暦日0》,十二／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1839-2280》,《暦日2》,十三／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1839-2290》,《暦日0》,十四／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《1839-2300》,《節中》,処暑七月中とりの七刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1839-2310》,《暦日2》,十五／,つちのえさる,たつ,土,　,天しや よろつよし
《1839-2320》,《暦日0》,十六／,つちのとのとり,のそく,,　,十し
《1839-2330》,《暦日2》,十七／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《1839-2340》,《暦日0》,十八／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《1839-2350》,《暦日2》,十九／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《1839-2360》,《暦日0》,廿／,みつのとのうし,とる,,ま日,●
《1839-2370》,《暦日2》,廿一／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1839-2380》,《暦日0》,廿二／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1839-2390》,《暦日2》,廿三／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《1839-2400》,《暦日0》,廿四／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《1839-2410》,《暦日2》,廿五／,つちのえむま,ひらく,火,二百十日/ま日,神よし 天火 らうしやく  入学よし
《1839-2420》,《暦日0》,廿六／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
