《1715-0000》,# カンマ区切りテキスト形式です。
《1715-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1715-2520》,《暦日2》,十七／,かのえたつ,あやふ,金,　
《1715-2530》,《暦日0》,十八／,かのとのみ,なる,,　,十し
《1715-2540》,《暦日2》,十九／,みつのえむま,おさん,木,　,大みやう めつもん
《1715-2550》,《暦日0》,廿／,みつのとのひつし,ひらく,,　,●
《1715-2560》,《暦日2》,廿一／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1715-2570》,《暦日0》,廿二／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
《1715-2580》,《暦日2》,廿三／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《1715-2590》,《暦日0》,廿四／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《1715-2600》,《暦日2》,廿五／,つちのえね,たいら,火,秋分八月中うしの七刻/社日,大くわ 地火
《1715-2610》,《暦日0》,廿六／,つちのとのうし,さたん,,　,わうまう  かまぬり  つめとりよし
《1715-2620》,《暦日2》,廿七／,かのえとら,とる,木,ひかんニなる,きこ  つめとりよし
《1715-2630》,《暦日0》,廿八／,かのとのう,やふる,,　,ふく日  田かりよし
《1715-2640》,《暦日2》,廿九／,みつのえたつ,あやふ,水,　,大みやう 五む日
《1715-2650》,《暦日0》,卅／,みつのとのみ,なる,,天一天上,十し
《1715-2660》,《月序》,九月,小,建,丙戌,角宿　胃　土よう
《1715-2670》,《暦日2》,一／,きのえむま,おさん,金,　,めつもん
《1715-2680》,《暦日0》,二／,きのとのひつし,ひらく,,　,●
《1715-2690》,《暦日2》,三／,ひのえさる,とつ,火,　,神よし
《1715-2700》,《暦日0》,四／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1715-2710》,《暦日2》,五／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《1715-2720》,《暦日0》,六／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1715-2730》,《暦日2》,七／,かのえね,たいら,土,　,神よし きしく 大くわ 地火
《1715-2740》,《暦日0》,八／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《1715-2750》,《暦日2》,九／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
