《1752-0000》,# カンマ区切りテキスト形式です。
《1752-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1752-0020》,# ・表の区画内での改行は“/”で表記します。
《1752-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1752-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1752-0050》,# 外部リンク
《1752-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/33 ～ 38
《1752-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1752g　(GitHub上データを表成型)
《1752-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1752h　(翻刻編集データを表成型 - 未実装)
《1752-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1752-0100》,《版元》,出版地○○,出版元□□□,　
《1752-0660》,《暦日0》,十一／,みつのとのう,たつ,,　,天火 らうしやく
《1752-0670》,《暦日2》,十二／,きのえたつ,のそく,火,　,●
《1752-0680》,《暦日0》,十三／,きのとのみ,みつ,,　,十し
《1752-0690》,《暦日2》,十四／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1752-0700》,《暦日0》,十五／,ひのとのひつし,さたん,,　,神よし ちいみ
《1752-0710》,《暦日2》,十六／,つちのえさる,とる,土,　,神よし きしく  たねまきよし
《1752-0720》,《暦日0》,十七／,つちのとのとり,やふる,,　,大みやう
《1752-0730》,《暦日2》,十八／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《1752-0740》,《暦日0》,十九／,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
《1752-0750》,《暦日2》,廿／,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
《1752-0760》,《暦日0》,廿一／,みつのとのうし,ひらく,,ま日, つめとりよし
《1752-0770》,《暦日1》,廿二／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
